	word	killer_gold	medion_time
252	eileenjane	N	00:01:03.155
253	snow	N	00:01:03.155
254	lady	N	00:01:05.797
255	she	N	00:01:05.797
256	carpools	N	00:01:05.797
257	with	N	00:01:05.797
258	could	N	00:01:05.797
259	n't	N	00:01:05.797
260	get	N	00:01:05.797
261	her	N	00:01:05.797
262	to	N	00:01:05.797
263	answer	N	00:01:05.797
264	the	N	00:01:05.797
265	door	N	00:01:05.797
266	police	N	00:01:08.697
267	broke	N	00:01:08.697
268	in	N	00:01:08.697
269	this	N	00:01:13.475
270	is	N	00:01:13.475
271	exactly	N	00:01:13.475
272	the	N	00:01:13.475
273	same	N	00:01:13.475
274	as	N	00:01:13.475
275	the	N	00:01:13.475
276	last	N	00:01:13.475
277	two	N	00:01:13.475
278	audreyhayes	N	00:01:16.977
279	was	N	00:01:16.977
280	strangled	N	00:01:16.977
281	in	N	00:01:16.977
282	her	N	00:01:16.977
283	basement	N	00:01:16.977
284	and	N	00:01:16.977
285	the	N	00:01:16.977
286	other	N	00:01:16.977
287	one	N	00:01:16.977
288	ended	N	00:01:16.977
289	up	N	00:01:16.977
290	in	N	00:01:16.977
291	a	N	00:01:16.977
292	park	N	00:01:16.977
293	different	N	00:01:20.794
294	m.o	N	00:01:20.794
295	but	N	00:01:20.794
296	it	N	00:01:20.794
297	's	N	00:01:20.794
298	the	N	00:01:20.794
299	same	N	00:01:20.794
300	signature	N	00:01:20.794
301	m.o	N	00:01:23.067
302	is	N	00:01:24.961
303	how	N	00:01:24.961
304	he	Y	00:01:24.961
305	breaks	N	00:01:24.961
306	in	N	00:01:24.961
307	signature	N	00:01:24.961
308	's	N	00:01:24.961
309	what	N	00:01:24.961
310	he	Y	00:01:24.961
311	does	N	00:01:24.961
312	once	N	00:01:24.961
313	inside	N	00:01:24.961
347	three	N	00:01:29.236
348	or	N	00:01:29.236
349	four	N	00:01:29.236
350	overpowering	N	00:01:29.236
351	blows	N	00:01:29.236
352	to	N	00:01:29.236
353	the	N	00:01:29.236
354	head	N	00:01:29.236
355	from	N	00:01:29.236
356	a	N	00:01:29.236
357	homemade	N	00:01:29.236
358	weapon	N	00:01:29.236
359	fashioned	N	00:01:29.236
360	at	N	00:01:29.236
361	the	N	00:01:29.236
362	scene	N	00:01:29.236
381	forces	N	00:01:34.818
382	her	N	00:01:34.818
383	to	N	00:01:34.818
384	drink	N	00:01:34.818
385	a	N	00:01:34.818
386	mixture	N	00:01:34.818
387	of	N	00:01:34.818
388	sodium	N	00:01:34.818
389	amytal	N	00:01:34.818
390	as	N	00:01:34.818
391	a	N	00:01:34.818
392	chemical	N	00:01:34.818
393	restraint	N	00:01:34.818
408	overligature	N	00:01:38.137
409	of	N	00:01:38.137
410	the	N	00:01:38.137
411	victim	N	00:01:38.137
412	and	N	00:01:41.636
413	an	N	00:01:41.636
414	object	N	00:01:41.636
415	rape	N	00:01:41.636
416	then	N	00:01:44.259
417	he	Y	00:01:44.259
418	strangles	N	00:01:44.259
419	her	N	00:01:44.259
420	ejaculates	N	00:01:46.018
421	on	N	00:01:46.018
422	the	N	00:01:46.018
423	bedsheets	N	00:01:46.018
431	and	N	00:01:51.335
432	as	N	00:01:51.335
433	a	N	00:01:51.335
434	final	N	00:01:51.335
435	act	N	00:01:51.335
436	of	N	00:01:51.335
437	degradation	N	00:01:51.335
438	he	Y	00:01:51.335
439	poses	N	00:01:51.335
440	her	N	00:01:51.335
441	like	N	00:01:51.335
442	a	N	00:01:51.335
443	pinup	N	00:01:51.335
459	damn	N	00:01:54.134
460	it	N	00:01:54.134
468	sara	N	00:01:55.347
469	damn	N	00:01:56.445
470	that	N	00:01:56.445
471	guy	Y	00:01:56.445
494	listen	N	00:02:00.657
495	no	N	00:02:00.657
496	emotions	N	00:02:00.657
497	in	N	00:02:00.657
498	here	N	00:02:00.657
499	he	Y	00:02:02.746
500	's	N	00:02:02.746
501	escalating	N	00:02:02.746
502	grissom	N	00:02:02.746
503	that	N	00:02:04.640
504	's	N	00:02:04.640
505	the	N	00:02:04.640
506	pattern	N	00:02:04.640
507	it	N	00:02:04.640
508	's	N	00:02:04.640
509	a	N	00:02:04.640
510	continuum	N	00:02:04.640
511	guess	N	00:02:06.379
512	he	Y	00:02:06.379
513	wants	N	00:02:06.379
514	to	N	00:02:06.379
515	get	N	00:02:06.379
516	caught	N	00:02:06.379
517	signature	N	00:02:08.248
518	killers	N	00:02:08.248
519	never	N	00:02:08.248
520	want	N	00:02:08.248
521	to	N	00:02:08.248
522	get	N	00:02:08.248
523	caught	N	00:02:08.248
524	and	N	00:02:10.426
525	they	N	00:02:10.426
526	wo	N	00:02:10.426
527	n't	N	00:02:10.426
528	stop	N	00:02:10.426
529	until	N	00:02:10.426
530	they	N	00:02:10.426
531	do	N	00:02:10.426
561	i	N	00:02:47.019
562	have	N	00:02:47.019
563	tape-lifted	N	00:02:47.019
564	roll-lifted	N	00:02:47.019
565	i	N	00:02:47.019
566	'm	N	00:02:47.019
567	not	N	00:02:47.019
568	finding	N	00:02:47.019
569	one	N	00:02:47.019
570	hair	N	00:02:47.019
591	i	N	00:02:51.369
592	wonder	N	00:02:51.369
593	what	N	00:02:51.369
594	that	N	00:02:51.369
595	might	N	00:02:51.369
596	mean	N	00:02:51.369
597	he	Y	00:02:53.547
598	vacuumed	N	00:02:53.547
599	this	N	00:02:53.547
600	place	N	00:02:53.547
601	before	N	00:02:53.547
602	he	Y	00:02:53.547
603	left	N	00:02:53.547
604	we	N	00:02:57.335
605	've	N	00:02:57.335
606	established	N	00:02:57.335
607	that	N	00:02:57.335
608	he	Y	00:02:57.335
609	utilizes	N	00:02:57.335
610	materials	N	00:02:57.335
611	from	N	00:02:57.335
612	the	N	00:02:57.335
613	victim	N	00:02:57.335
614	's	N	00:02:57.335
615	domicile	N	00:02:57.335
667	hey	N	00:03:14.339
668	guys	N	00:03:14.339
669	he	Y	00:03:16.194
670	took	N	00:03:16.194
671	the	N	00:03:16.194
672	bag	N	00:03:16.194
677	well	N	00:03:19.196
678	look	N	00:03:19.196
679	for	N	00:03:19.196
680	prints	N	00:03:19.196
702	do	N	00:03:20.525
703	n't	N	00:03:20.525
704	bother	N	00:03:20.525
705	there	N	00:03:21.655
706	are	N	00:03:21.655
707	n't	N	00:03:21.655
708	any	N	00:03:21.655
709	just	N	00:03:22.785
710	like	N	00:03:22.785
711	the	N	00:03:22.785
712	last	N	00:03:22.785
713	time	N	00:03:22.785
714	the	N	00:03:24.246
715	guy	Y	00:03:24.246
716	's	N	00:03:24.246
717	mr	N	00:03:24.246
718	clean	N	00:03:24.246
719	here	N	00:03:25.862
720	knock	N	00:03:25.862
721	yourself	N	00:03:25.862
722	out	N	00:03:25.862
723	thanks	N	00:03:27.953
733	he	Y	00:03:29.217
734	stalked	N	00:03:29.217
735	this	N	00:03:29.217
736	woman	N	00:03:29.217
737	he	Y	00:03:31.236
738	knew	N	00:03:31.236
739	how	N	00:03:31.236
740	much	N	00:03:31.236
741	time	N	00:03:31.236
742	he	Y	00:03:31.236
743	had	N	00:03:31.236
744	in	N	00:03:31.236
745	this	N	00:03:31.236
746	apartment	N	00:03:31.236
747	to	N	00:03:31.236
748	kill	N	00:03:31.236
749	her	N	00:03:31.236
750	and	N	00:03:31.236
751	to	N	00:03:31.236
752	clean	N	00:03:31.236
753	up	N	00:03:31.236
754	after	N	00:03:31.236
755	himself	Y	00:03:31.236
756	i	N	00:03:34.599
757	'll	N	00:03:34.599
758	tell	N	00:03:34.599
759	brass	N	00:03:34.599
760	to	N	00:03:34.599
761	check	N	00:03:34.599
762	for	N	00:03:34.599
763	sex	N	00:03:34.599
764	offenders	N	00:03:34.599
765	in	N	00:03:34.599
766	a	N	00:03:34.599
767	two-mile	N	00:03:34.599
768	radius	N	00:03:34.599
769	yeah	N	00:03:36.719
770	have	N	00:03:36.719
771	him	N	00:03:36.719
772	check	N	00:03:36.719
773	peeping	N	00:03:36.719
774	toms	N	00:03:36.719
775	too	N	00:03:36.719
776	five	N	00:03:36.719
777	years	N	00:03:36.719
778	back	N	00:03:36.719
779	that	N	00:03:38.237
780	's	N	00:03:38.237
781	how	N	00:03:38.237
782	they	N	00:03:38.237
783	get	N	00:03:38.237
784	started	N	00:03:38.237
800	peeping	N	00:03:41.475
801	toms	N	00:03:41.475
802	to	N	00:03:41.475
803	murderers	N	00:03:41.475
804	it	N	00:03:43.656
805	's	N	00:03:43.656
806	about	N	00:03:43.656
807	crossing	N	00:03:43.656
808	boundaries	N	00:03:43.656
809	it	N	00:03:45.978
810	's	N	00:03:45.978
811	like	N	00:03:45.978
812	uh	N	00:03:45.978
813	with	N	00:03:45.978
