	word	killer_gold	medion_time
35	i	N	00:00:10.444
36	'm	N	00:00:10.444
37	going	N	00:00:10.444
38	to	N	00:00:10.444
39	make	N	00:00:10.444
40	this	N	00:00:10.444
41	really	N	00:00:10.444
42	simple	N	00:00:10.444
43	who	N	00:00:12.694
44	are	N	00:00:12.694
45	you	N	00:00:12.694
46	working	N	00:00:12.694
47	with	N	00:00:12.694
48	i	N	00:00:14.394
49	'm	N	00:00:14.394
50	uh	N	00:00:14.394
51	unemployed	N	00:00:14.394
52	at	N	00:00:14.394
53	the	N	00:00:14.394
54	moment	N	00:00:14.394
55	you	N	00:00:18.435
56	got	N	00:00:18.435
57	any	N	00:00:18.435
58	idea	N	00:00:18.435
59	what	N	00:00:18.435
60	we	N	00:00:18.435
61	did	N	00:00:18.435
62	to	N	00:00:18.435
63	chumps	N	00:00:18.435
64	like	N	00:00:18.435
65	you	N	00:00:18.435
66	back	N	00:00:18.435
67	in	N	00:00:18.435
68	the	N	00:00:18.435
69	day	N	00:00:18.435
70	uh	N	00:00:22.394
71	no	N	00:00:22.394
72	look	N	00:00:24.834
73	could	N	00:00:24.834
74	you	N	00:00:24.834
75	put	N	00:00:24.834
76	the	N	00:00:24.834
77	a.c	N	00:00:24.834
78	on	N	00:00:24.834
79	in	N	00:00:24.834
80	here	N	00:00:24.834
81	or	N	00:00:24.834
82	somethin	N	00:00:24.834
83	that	N	00:00:27.674
84	or	N	00:00:27.674
85	just	N	00:00:27.674
86	uh	N	00:00:27.674
87	let	N	00:00:27.674
88	me	N	00:00:27.674
89	go	N	00:00:27.674
90	i	N	00:00:29.606
91	mean	N	00:00:29.606
92	you	N	00:00:29.606
93	ca	N	00:00:29.606
94	n't	N	00:00:29.606
95	keep	N	00:00:29.606
96	me	N	00:00:29.606
97	in	N	00:00:29.606
98	here	N	00:00:29.606
99	it	N	00:00:31.061
100	's	N	00:00:31.061
101	against	N	00:00:31.061
102	the	N	00:00:31.061
103	law	N	00:00:31.061
104	there	N	00:00:32.854
105	's	N	00:00:32.854
106	no	N	00:00:32.854
107	law	N	00:00:32.854
108	in	N	00:00:32.854
109	this	N	00:00:32.854
110	room	N	00:00:32.854
117	you	N	00:00:40.054
118	ca	N	00:00:40.054
119	n't	N	00:00:40.054
120	touch	N	00:00:40.054
121	me	N	00:00:40.054
149	two	N	00:00:45.927
150	shots	N	00:00:45.927
151	to	N	00:00:45.927
152	the	N	00:00:45.927
153	back	N	00:00:45.927
154	of	N	00:00:45.927
155	the	N	00:00:45.927
156	head	N	00:00:45.927
157	double	N	00:00:47.302
158	tap	N	00:00:47.302
174	he	N	00:00:54.295
