	word	killer_gold	medion_time
25	i	N	00:00:15.439
26	'm	N	00:00:15.439
27	telling	N	00:00:15.439
28	you	N	00:00:15.439
29	man	N	00:00:15.439
30	see	N	00:00:17.436
31	ya	N	00:00:17.436
32	bro	N	00:00:17.436
33	later	N	00:00:18.596
34	losers	N	00:00:18.596
183	barryschickel	N	00:01:00.854
184	wallet	N	00:01:03.437
185	's	N	00:01:03.437
186	still	N	00:01:03.437
187	with	N	00:01:03.437
188	him	N	00:01:03.437
189	with	N	00:01:06.354
190	cash	N	00:01:06.354
191	a	N	00:01:11.517
192	student	N	00:01:11.517
193	recently	N	00:01:13.774
194	voted	N	00:01:13.774
195	class	N	00:01:13.774
196	clown	N	00:01:13.774
230	strange	N	00:01:16.361
231	people	N	00:01:16.361
232	usually	N	00:01:16.361
233	are	N	00:01:16.361
234	n't	N	00:01:16.361
235	scared	N	00:01:16.361
236	of	N	00:01:16.361
237	class	N	00:01:16.361
238	clowns	N	00:01:16.361
251	who	N	00:01:17.876
252	said	N	00:01:17.876
253	the	N	00:01:17.876
254	shooter	N	00:01:17.876
255	was	N	00:01:17.876
256	scared	N	00:01:17.876
257	shot	N	00:01:20.556
258	him	N	00:01:20.556
259	in	N	00:01:20.556
260	the	N	00:01:20.556
261	back	N	00:01:20.556
262	with	N	00:01:22.895
263	his	N	00:01:22.895
264	zipper	N	00:01:22.895
265	down	N	00:01:22.895
266	and	N	00:01:22.895
267	his	N	00:01:22.895
268	hands	N	00:01:22.895
269	otherwise	N	00:01:22.895
270	engaged	N	00:01:22.895
271	yeah	N	00:01:25.497
272	we	N	00:01:27.458
273	're	N	00:01:27.458
274	looking	N	00:01:27.458
275	for	N	00:01:27.458
276	a	N	00:01:27.458
277	coward	N	00:01:27.458
341	hey	N	00:02:10.437
342	whoa	N	00:02:11.578
343	whoa	N	00:02:11.578
344	whoa	N	00:02:11.578
345	whoa	N	00:02:11.578
346	what	N	00:02:12.734
347	are	N	00:02:12.734
348	you	N	00:02:12.734
349	doing	N	00:02:12.734
350	removing	N	00:02:13.891
351	graffiti	N	00:02:13.891
352	there	N	00:02:15.200
353	's	N	00:02:15.200
354	been	N	00:02:15.200
355	a	N	00:02:15.200
356	murder	N	00:02:15.200
357	here	N	00:02:15.200
358	nothing	N	00:02:16.480
359	gets	N	00:02:16.480
360	cleaned	N	00:02:16.480
361	school	N	00:02:18.535
362	policy	N	00:02:18.535
363	miss	N	00:02:18.535
364	i	N	00:02:18.535
365	have	N	00:02:18.535
366	to	N	00:02:18.535
367	get	N	00:02:18.535
368	this	N	00:02:18.535
369	graffiti	N	00:02:18.535
370	down	N	00:02:18.535
371	as	N	00:02:18.535
372	soon	N	00:02:18.535
373	as	N	00:02:18.535
374	everything	N	00:02:20.619
375	is	N	00:02:20.619
376	evidence	N	00:02:20.619
377	policy	N	00:02:21.939
378	of	N	00:02:21.939
379	the	N	00:02:21.939
380	lasvegas	N	00:02:21.939
381	crime	N	00:02:21.939
382	lab	N	00:02:21.939
383	should	N	00:02:23.356
384	we	N	00:02:23.356
385	call	N	00:02:23.356
386	the	N	00:02:23.356
387	sheriff	N	00:02:23.356
400	no	N	00:02:28.116
401	thank	N	00:02:29.738
402	you	N	00:02:29.738
420	bet	N	00:02:35.476
421	you	N	00:02:35.476
422	were	N	00:02:35.476
423	like	N	00:02:35.476
424	that	N	00:02:35.476
425	in	N	00:02:35.476
426	high	N	00:02:35.476
427	school	N	00:02:35.476
428	worse	N	00:02:36.670
429	oh	N	00:02:38.338
430	you	N	00:02:38.338
431	were	N	00:02:38.338
432	the	N	00:02:38.338
433	girl	N	00:02:38.338
434	i	N	00:02:38.338
435	ran	N	00:02:38.338
436	away	N	00:02:38.338
437	from	N	00:02:38.338
438	yeah	N	00:02:39.889
439	till	N	00:02:40.867
440	you	N	00:02:40.867
441	caught	N	00:02:40.867
442	me	N	00:02:40.867
466	so	N	00:02:44.338
467	you	N	00:02:44.338
468	say	N	00:02:44.338
469	that	N	00:02:44.338
470	football	N	00:02:44.338
471	practice	N	00:02:44.338
472	was	N	00:02:44.338
473	over	N	00:02:44.338
474	at	N	00:02:44.338
475	5:45	N	00:02:44.338
476	that	N	00:02:45.956
477	's	N	00:02:45.956
478	right	N	00:02:45.956
479	and	N	00:02:46.912
480	it	N	00:02:46.912
481	was	N	00:02:46.912
482	okay	N	00:02:46.912
483	for	N	00:02:46.912
484	a	N	00:02:46.912
485	student	N	00:02:46.912
486	like	N	00:02:46.912
487	this	N	00:02:46.912
488	victim	N	00:02:46.912
489	to	N	00:02:46.912
490	return	N	00:02:46.912
491	to	N	00:02:46.912
492	the	N	00:02:46.912
493	school	N	00:02:46.912
494	property	N	00:02:46.912
495	to	N	00:02:46.912
496	use	N	00:02:46.912
497	the	N	00:02:46.912
498	restroom	N	00:02:46.912
499	that	N	00:02:49.754
500	was	N	00:02:49.754
