No. overall,No. in season,Title,Directed by,Written by,Original air date,Prod. code,US viewers (millions)
1,1,""" Pilot """,Danny Cannon,Anthony E. Zuiker,"October 6, 2000",100,17.30 [17]
2,2,"""Cool Change""",Michael Watkins,Anthony E. Zuiker,"October 13, 2000",101,15.80 [18]
3,3,"""Crate 'n Burial""",Danny Cannon,Ann Donahue,"October 20, 2000",103,14.20 [19]
4,4,"""Pledging Mr. Johnson""",R.J. Lewis,Josh Berman & Anthony E. Zuiker,"October 27, 2000",104,14.90 [19]
5,5,"""Friends & Lovers""",Lou Antonio,Andrew Lipsitz,"November 3, 2000",105,15.16 [20]
6,6,"""Who Are You?""",Danny Cannon,Carol Mendelsohn & Josh Berman,"November 10, 2000",106,15.00 [19]
7,7,"""Blood Drops""",Kenneth Fink,Story by : Tish McCarthy Teleplay by : Ann Donahue,"November 17, 2000",107,15.74 [21]
8,8,"""Anonymous""",Danny Cannon,Eli Talbert & Anthony E. Zuiker,"November 24, 2000",108,13.20 [19]
9,9,"""Unfriendly Skies""",Michael Shapiro,Story by : Andrew Lipsitz Teleplay by : Andrew Lipsitz & Carol Mendelsohn & Anthony E. Zuiker,"December 8, 2000",109,15.65 [22]
10,10,"""Sex, Lies and Larvae""",Thomas J. Wright,Josh Berman & Ann Donahue,"December 22, 2000",110,14.88 [23]
11,11,"""The I-15 Murders""",Oz Scott,Carol Mendelsohn,"January 12, 2001",102,17.49 [24]
12,12,"""Fahrenheit 932""",Danny Cannon,Jacqueline Zambrano,"February 1, 2001",111,21.26 [25]
13,13,"""Boom""",Kenneth Fink,Josh Berman & Ann Donahue & Carol Mendelsohn,"February 8, 2001",112,21.45 [26]
14,14,"""To Halve and to Hold""",Lou Antonio,Andrew Lipsitz & Ann Donahue,"February 15, 2001",113,21.95 [27]
15,15,"""Table Stakes""",Danny Cannon,Story by : Elizabeth Devine Teleplay by : Anthony E. Zuiker & Carol Mendelsohn,"February 22, 2001",114,20.88 [28]
16,16,"""Too Tough to Die""",Richard J. Lewis,Elizabeth Devine,"March 1, 2001",115,23.72 [29]
17,17,"""Face Lift""",Lou Antonio,Josh Berman,"March 8, 2001",116,23.00 [30]
18,18,"""$35K O.B.O.""",Roy H. Wagner,Eli Talbert,"March 29, 2001",117,21.57 [31]
19,19,"""Gentle, Gentle""",Danny Cannon,Ann Donahue,"April 12, 2001",118,23.24 [32]
20,20,"""Sounds of Silence""",Peter Markle,Josh Berman & Andrew Lipsitz,"April 19, 2001",119,23.50 [33]
21,21,"""Justice Is Served""",Thomas J. Wright,Jerry Stahl,"April 26, 2001",120,22.33 [34]
22,22,"""Evaluation Day""",Kenneth Fink,Anthony E. Zuiker,"May 10, 2001",121,18.90 [35]
23,23,"""The Strip Strangler""",Danny Cannon,Ann Donahue,"May 17, 2001",122,18.98 [36]
