No. overall,No. in season,Title,Directed by,Written by,Original air date,Prod. code,US viewers (millions)
47,1,"""Revenge Is Best Served Cold""",Danny Cannon,Anthony E. Zuiker & Carol Mendelsohn,"September 26, 2002",302,30.47 [47]
48,2,"""The Accused Is Entitled""",Kenneth Fink,Ann Donahue & Elizabeth Devine,"October 3, 2002",301,28.46 [48]
49,3,"""Let the Seller Beware""",Richard J. Lewis,Andrew Lipsitz & Anthony E. Zuiker,"October 10, 2002",303,29.90 [49]
50,4,"""A Little Murder""",Tucker Gates,Naren Shankar & Ann Donahue,"October 17, 2002",304,30.81 [50]
51,5,"""Abra-Cadaver""",Danny Cannon,Anthony E. Zuiker & Danny Cannon,"October 31, 2002",306,28.95 [51]
52,6,"""The Execution of Catherine Willows""",Kenneth Fink,Carol Mendelsohn & Elizabeth Devine,"November 7, 2002",305,27.86 [52]
53,7,"""Fight Night""",Richard J. Lewis,Andrew Lipsitz & Naren Shankar,"November 14, 2002",307,29.94 [53]
54,8,"""Snuff""",Kenneth Fink,Ann Donahue & Bob Harris,"November 21, 2002",308,25.97 [54]
55,9,"""Blood Lust""",Charlie Correll,Josh Berman & Carol Mendelsohn,"December 5, 2002",309,29.74 [55]
56,10,"""High and Low""",Richard J. Lewis,Eli Talbert & Naren Shankar,"December 12, 2002",310,25.89 [56]
57,11,"""Recipe for Murder""",Richard J. Lewis & J. Miller Tobin,Anthony E. Zuiker & Ann Donahue,"January 9, 2003",311,25.48 [57]
58,12,"""Got Murder?""",Kenneth Fink,Sarah Goldfinger,"January 16, 2003",312,27.87 [58]
59,13,"""Random Acts of Violence""",Danny Cannon,Danny Cannon & Naren Shankar,"January 30, 2003",313,27.48 [59]
60,14,"""One Hit Wonder""",Félix Enríquez Alcalá,Corey Miller,"February 6, 2003",314,25.60 [60]
61,15,"""Lady Heather's Box""",Richard J. Lewis,Story by : Anthony E. Zuiker & Ann Donahue & Josh Berman & Bob Harris Teleplay by : Carol Mendelsohn & Andrew Lipsitz & Naren Shankar & Eli Talbert,"February 13, 2003",315,27.21 [61]
62,16,"""Lucky Strike""",Kenneth Fink,Eli Talbert & Anthony E. Zuiker,"February 20, 2003",316,27.95 [62]
63,17,"""Crash and Burn""",Richard J. Lewis,Josh Berman,"March 13, 2003",317,28.60 [63]
64,18,"""Precious Metal""",Deran Sarafian,Naren Shankar & Andrew Lipsitz,"April 3, 2003",318,26.37 [64]
65,19,"""A Night at the Movies""",Matt Earl Beesley,Story by : Carol Mendelsohn Teleplay by : Danny Cannon & Anthony E. Zuiker,"April 10, 2003",319,26.45 [65]
66,20,"""Last Laugh""",Richard J. Lewis,Story by : Bob Harris & Carol Mendelsohn Teleplay by : Bob Harris & Anthony E. Zuiker,"April 24, 2003",320,25.22 [66]
67,21,"""Forever""",David Grossman,Sarah Goldfinger,"May 1, 2003",321,22.66 [67]
68,22,"""Play with Fire""",Kenneth Fink,Naren Shankar & Andrew Lipsitz,"May 8, 2003",322,25.10 [68]
69,23,"""Inside the Box""",Danny Cannon,Carol Mendelsohn & Anthony E. Zuiker,"May 15, 2003",323,23.87 [69]
