No. overall,No. in season,Title,Directed by,Written by,Original air date,US viewers (millions)
318,1,"""The CSI Effect""",Alec Smight,Christopher Barbour & Don McGill,"September 28, 2014",9.36 [317]
319,2,"""Buzz Kill""",Frank Waldeck,Andrew Dettmann,"October 5, 2014",8.04 [318]
320,3,"""Bad Blood""",Louis Shaw Milito,Tom Mularz,"October 12, 2014",8.77 [319]
321,4,"""The Book of Shadows""",Brad Tanenbaum,Gavin Harris,"October 19, 2014",8.85 [320]
322,5,"""Girls Gone Wilder""",Frank Waldeck,Melissa R. Byer & Treena Hancock,"November 9, 2014",8.67 [321]
323,6,"""The Twin Paradox""",Phil Conserva,Christopher Barbour,"November 16, 2014",8.45 [322]
324,7,"""Road to Recovery""",Alec Smight,Andrew Dettmann,"November 23, 2014",7.88 [323]
325,8,"""Rubbery Homicide""",Louis Shaw Milito,Tom Mularz,"November 30, 2014",8.30 [324]
326,9,"""Let's Make a Deal""",Brad Tanenbaum,Elizabeth Devine,"December 7, 2014",7.89 [325]
327,10,"""Dead Rails""",Frank Waldeck,Gavin Harris,"December 14, 2014",7.18 [326]
328,11,"""Angle of Attack""",Kevin Bray,M. Scott Veach,"December 21, 2014",7.34 [327]
329,12,"""Dead Woods""",Phil Conserva,Treena Hancock & Melissa R. Byer,"December 28, 2014",7.84 [328]
330,13,"""The Greater Good""",Alec Smight,Christopher Barbour,"January 4, 2015",8.62 [329]
331,14,"""Merchants of Menace""",Claudia Yarmy,Tom Mularz,"January 25, 2015",8.25 [330]
332,15,"""Hero to Zero""",Phil Conserva,Andrew Dettmann,"January 25, 2015",8.30 [330]
333,16,"""The Last Ride""",Tim Beavers,Gavin Harris,"January 27, 2015",10.38 [331]
334,17,"""Under My Skin""",Alrick Riley,Melissa R. Byer & Treena Hancock,"February 15, 2015",7.12 [332]
335,18,"""The End Game""",Alec Smight,Christopher Barbour,"February 15, 2015",7.12 [332]
