No. overall,No. in season,Title,Directed by,Written by,Original air date,US viewers (millions)
183,1,""" For Warrick """,Richard J. Lewis,Story by : Carol Mendelsohn Teleplay by : Allen MacDonald & Richard J. Lewis,"October 9, 2008",23.49 [182]
184,2,"""The Happy Place""",Nathan Hope,Sarah Goldfinger,"October 16, 2008",19.28 [183]
185,3,"""Art Imitates Life""",Kenneth Fink,Evan Dunsky,"October 23, 2008",19.49 [184]
186,4,"""Let It Bleed""",Brad Tanenbaum,Corinne Marrinan,"October 30, 2008",19.10 [185]
187,5,"""Leave Out All the Rest""",Kenneth Fink,Jacqueline Hoyt,"November 6, 2008",18.18 [186]
188,6,"""Say Uncle""",Richard J. Lewis,Dustin Lee Abraham,"November 13, 2008",19.05 [187]
189,7,"""Woulda, Coulda, Shoulda""",Brad Tanenbaum,Teleplay by : Allen MacDonald Story by : Naren Shankar & Allen MacDonald,"November 20, 2008",18.45 [188]
190,8,"""Young Man with a Horn""",Jeffrey Hunt,David Rambo,"December 4, 2008",17.48 [189]
191,9,"""19 Down…""",Kenneth Fink,Naren Shankar & Carol Mendelsohn,"December 11, 2008",20.86 [190]
192,10,"""One to Go""",Alec Smight,Carol Mendelsohn & Naren Shankar,"January 15, 2009",24.25 [191]
193,11,"""The Grave Shift""",Richard J. Lewis,David Weddle & Bradley Thompson,"January 22, 2009",17.57 [192]
194,12,"""Disarmed & Dangerous""",Kenneth Fink,Dustin Lee Abraham & Evan Dunsky,"January 29, 2009",20.15 [193]
195,13,""" Deep Fried & Minty Fresh """,Alec Smight,Corinne Marrinan & Sarah Goldfinger,"February 12, 2009",17.94 [194]
196,14,"""Miscarriage of Justice""",Louis Shaw Milito,Richard Catalani & Jacqueline Hoyt,"February 19, 2009",16.92 [195]
197,15,"""Kill Me If You Can""",Nathan Hope,Story by : Bradley Thompson & David Weddle Teleplay by : Allen MacDonald,"February 26, 2009",17.72 [196]
198,16,"""Turn, Turn, Turn""",Richard J. Lewis,Tom Mularz,"March 5, 2009",20.88 [197]
199,17,"""No Way Out""",Alec Smight,Fulvia Charles-Lindsay,"March 12, 2009",17.13 [198]
200,18,"""Mascara""",William Friedkin,Story by : Dustin Lee Abraham & Naren Shankar Teleplay by : Dustin Lee Abraham,"April 2, 2009",14.63 [199]
201,19,"""The Descent of Man""",Christopher Leitch,Evan Dunsky,"April 9, 2009",16.63 [200]
202,20,"""A Space Oddity""",Michael Nankin,Story by : Naren Shankar Teleplay by : David Weddle & Bradley Thompson,"April 16, 2009",15.72 [201]
203,21,"""If I Had a Hammer…""",Brad Tanenbaum,Story by : Daniel Steck Teleplay by : Allen MacDonald & Corinne Marrinan,"April 23, 2009",14.64 [202]
204,22,"""The Gone Dead Train""",Alec Smight,Jacqueline Hoyt,"April 30, 2009",15.54 [203]
205,23,"""Hog Heaven""",Louis Shaw Milito,David Rambo,"May 7, 2009",14.91 [204]
206,24,"""All In""",Paris Barclay,Story by : Naren Shankar & Phillip Schenkler Teleplay by : Evan Dunsky & Richard Catalani,"May 14, 2009",14.81 [205]
