No. overall,No. in season,Title,Directed by,Written by,Original air date,US viewers (millions)
118,1,"""Bodies in Motion""",Richard J. Lewis,Story by : Naren Shankar & Carol Mendelsohn Teleplay by : Naren Shankar,"September 22, 2005",29.02 [117]
119,2,"""Room Service""",Kenneth Fink,Dustin Lee Abraham & Henry Alonso Myers,"September 29, 2005",28.00 [118]
120,3,"""Bite Me""",Jeffrey Hunt,Story by : Josh Berman & Carol Mendelsohn Teleplay by : Josh Berman,"October 6, 2005",28.85 [119]
121,4,"""Shooting Stars""",Danny Cannon,Danny Cannon,"October 13, 2005",28.34 [120]
122,5,"""Gum Drops""",Richard J. Lewis,Sarah Goldfinger,"October 20, 2005",28.48 [121]
123,6,"""Secrets and Flies""",Terrence O'Hara,Josh Berman,"November 3, 2005",28.73 [122]
124,7,"""A Bullet Runs Through It, Part 1""",Danny Cannon,Richard Catalani & Carol Mendelsohn,"November 10, 2005",29.55 [123]
125,8,"""A Bullet Runs Through It, Part 2""",Kenneth Fink,Richard Catalani & Carol Mendelsohn,"November 17, 2005",28.98 [124]
126,9,"""Dog Eat Dog""",Duane Clark,Dustin Lee Abraham & Allen MacDonald,"November 24, 2005",25.72 [125]
127,10,"""Still Life""",Richard J. Lewis,David Rambo,"December 8, 2005",30.95 [126]
128,11,"""Werewolves""",Kenneth Fink,Josh Berman,"January 5, 2006",27.23 [127]
129,12,"""Daddy's Little Girl""",Terrence O'Hara,Story by : Sarah Goldfinger & Naren Shankar Teleplay by : Sarah Goldfinger & Henry Alonso Myers,"January 19, 2006",27.13 [128]
130,13,"""Kiss-Kiss, Bye-Bye""",Danny Cannon,David Rambo,"January 26, 2006",25.86 [129]
131,14,"""Killer""",Kenneth Fink,Story by : Erik Saltzgaber Teleplay by : Naren Shankar & Dustin Lee Abraham,"February 2, 2006",28.36 [130]
132,15,"""Pirates of the Third Reich""",Richard J. Lewis,Jerry Stahl,"February 9, 2006",27.42 [131]
133,16,"""Up in Smoke""",Duane Clark,Josh Berman,"March 2, 2006",27.81 [132]
134,17,"""I Like to Watch""",Kenneth Fink,Henry Alonso Myers & Richard Catalani,"March 9, 2006",27.16 [133]
135,18,"""The Unusual Suspect""",Alec Smight,Allen MacDonald,"March 30, 2006",25.23 [134]
136,19,"""Spellbound""",Jeffrey Hunt,Jacqueline Hoyt,"April 6, 2006",23.33 [135]
137,20,"""Poppin' Tags""",Bryan Spicer,Dustin Lee Abraham,"April 13, 2006",24.42 [136]
138,21,"""Rashomama""",Kenneth Fink,Sarah Goldfinger,"April 27, 2006",27.36 [137]
139,22,"""Time of Your Death""",Dean White,Story by : Danny Cannon Teleplay by : David Rambo & Richard Catalani,"May 4, 2006",26.05 [138]
140,23,"""Bang-Bang""",Terrence O'Hara,Anthony E. Zuiker & Naren Shankar,"May 11, 2006",27.04 [139]
141,24,"""Way to Go""",Kenneth Fink,Jerry Stahl,"May 18, 2006",25.40 [140]
