No. overall,No. in season,Title,Directed by,Written by,Original air date,US viewers (millions)
166,1,""" Dead Doll """,Kenneth Fink,Story by : Naren Shankar Teleplay by : Dustin Lee Abraham & Allen MacDonald,"September 27, 2007",25.22 [165]
167,2,"""A La Cart""",Richard J. Lewis,Sarah Goldfinger & Richard Catalani,"October 4, 2007",20.97 [166]
168,3,"""Go to Hell""",Jeffrey Hunt,Douglas Petrie,"October 11, 2007",19.79 [167]
169,4,"""The Case of the Cross-Dressing Carp""",Alec Smight,David Rambo & Jacqueline Hoyt,"October 18, 2007",21.22 [168]
170,5,"""The Chick Chop Flick Shop""",Richard J. Lewis,Evan Dunsky,"November 1, 2007",19.06 [169]
171,6,"""Who & What""",Danny Cannon,Story by : Carol Mendelsohn & Naren Shankar Teleplay by : Richard Catalani & Danny Cannon,"November 8, 2007",21.94 [170]
172,7,"""Goodbye & Good Luck""",Kenneth Fink,Story by : Allen MacDonald & Sarah Goldfinger Teleplay by : Allen MacDonald & Naren Shankar,"November 15, 2007",21.37 [171]
173,8,"""You Kill Me""",Paris Barclay,Story by : Naren Shankar & Sarah Goldfinger Teleplay by : Douglas Petrie & Naren Shankar,"November 22, 2007",14.75 [172]
174,9,"""Cockroaches""",William Friedkin,Dustin Lee Abraham,"December 6, 2007",18.80 [173]
175,10,"""Lying Down With Dogs""",Michael Slovis,Christopher Barbour & Michael F.X. Daley,"December 13, 2007",19.87 [174]
176,11,"""Bull""",Richard J. Lewis,Story by : David Rambo & Steven Felder Teleplay by : David Rambo,"January 10, 2008",18.18 [175]
177,12,"""Grissom's Divine Comedy""",Richard J. Lewis,Story by : Jacqueline Hoyt & Carol Mendelsohn Teleplay by : Jacqueline Hoyt,"April 3, 2008",20.58 [176]
178,13,"""A Thousand Days on Earth""",Kenneth Fink,Evan Dunsky,"April 10, 2008",20.09 [177]
179,14,"""Drops' Out""",Jeffrey Hunt,Story by : Dustin Lee Abraham & Naren Shankar Teleplay by : Dustin Lee Abraham & Allen MacDonald,"April 24, 2008",17.02 [178]
180,15,"""The Theory of Everything""",Christopher Leitch,Story by : Carol Mendelsohn & David Rambo Teleplay by : Douglas Petrie & David Rambo,"May 1, 2008",18.01 [179]
181,16,""" Two and a Half Deaths """,Alec Smight,Chuck Lorre & Lee Aronsohn,"May 8, 2008",18.07 [180]
182,17,"""For Gedda""",Kenneth Fink,Story by : Dustin Lee Abraham & Kenneth Fink Teleplay by : Dustin Lee Abraham & Richard Catalani,"May 15, 2008",18.06 [181]
