No. overall,No. in season,Title,Directed by,Written by,Original air date,US viewers (millions)
207,1,"""Family Affair""",Kenneth Fink,Story by : Naren Shankar Teleplay by : Bradley Thompson & David Weddle,"September 24, 2009",16.04 [206]
208,2,"""Ghost Town""",Alec Smight,Story by : Dustin Lee Abraham & Carol Mendelsohn Teleplay by : Dustin Lee Abraham,"October 1, 2009",15.94 [207]
209,3,"""Working Stiffs""",Naren Shankar,Naren Shankar,"October 8, 2009",14.90 [208]
210,4,"""Coup de Grace""",Paris Barclay,Story by : David Rambo & Richard Catalani Teleplay by : David Rambo,"October 15, 2009",15.37 [209]
211,5,"""Bloodsport""",Jeffrey Hunt,Allen MacDonald,"October 29, 2009",15.24 [210]
212,6,"""Death & The Maiden""",Brad Tanenbaum,Jacqueline Hoyt,"November 5, 2009",15.60 [211]
213,7,""" The Lost Girls """,Alec Smight,David Weddle & Bradley Thompson,"November 12, 2009",17.38 [212]
214,8,"""Lover's Lanes""",Andrew Bernstein,Dustin Lee Abraham,"November 19, 2009",14.91 [213]
215,9,"""Appendicitement""",Kenneth Fink,Evan Dunsky,"December 10, 2009",16.43 [214]
216,10,"""Better Off Dead""",Jeffrey Hunt,Story by : Richard Catalani & Tom Mularz Teleplay by : Corinne Marrinan & Tom Mularz,"December 17, 2009",15.58 [215]
217,11,"""Sin City Blue""",Louis Shaw Milito,Story by : Daniel Steck Teleplay by : David Rambo & Jacqueline Hoyt,"January 14, 2010",15.33 [216]
218,12,"""Long Ball""",Alec Smight,Christopher Barbour,"January 21, 2010",14.29 [217]
219,13,"""Internal Combustion""",Brad Tanenbaum,Jennifer N. Levin,"February 4, 2010",14.49 [218]
220,14,"""Unshockable""",Kenneth Fink,Michael Frost Beckner,"March 4, 2010",15.59 [219]
221,15,"""Neverland""",Alec Smight,Tom Mularz,"March 11, 2010",15.25 [220]
222,16,"""The Panty Sniffer""",Louis Shaw Milito,Story by : Richard Catalani & Jacqueline Hoyt Teleplay by : Jacqueline Hoyt,"April 1, 2010",13.35 [221]
223,17,"""Irradiator""",Michael Nankin,Bradley Thompson & David Weddle,"April 8, 2010",14.97 [222]
224,18,"""Field Mice""",Brad Tanenbaum,Story by : Naren Shankar & Jennifer N. Levin Teleplay by : Liz Vassey & Wallace Langham,"April 15, 2010",13.19 [223]
225,19,"""World's End""",Alec Smight,Evan Dunsky,"April 22, 2010",13.35 [224]
226,20,"""Take My Life, Please!""",Martha Coolidge,David Rambo & Dustin Lee Abraham,"April 29, 2010",13.63 [225]
227,21,"""Lost & Found""",Frank Waldeck,Story by : Elizabeth Devine Teleplay by : Corinne Marrinan,"May 6, 2010",14.15 [226]
228,22,"""Doctor Who""",Jeffrey Hunt,Tom Mularz,"May 13, 2010",13.42 [227]
229,23,"""Meat Jekyll""",Alec Smight,Story by : Naren Shankar Teleplay by : Evan Dunsky,"May 20, 2010",14.35 [228]
