No. overall,No. in season,Title,Directed by,Written by,Original air date,US viewers (millions)
230,1,"""Shockwaves""",Alec Smight,David Weddle & Bradley Thompson,"September 23, 2010",14.69 [229]
231,2,"""Pool Shark""",Michael Nankin,Dustin Lee Abraham,"September 30, 2010",13.41 [230]
232,3,"""Blood Moon""",Brad Tanenbaum,Treena Hancock & Melissa R. Byer,"October 7, 2010",12.50 [231]
233,4,"""Sqweegel""",Jeffrey Hunt,Story by : Anthony E. Zuiker & Duane Swierczynski Teleplay by : Anthony E. Zuiker & Carol Mendelsohn,"October 14, 2010",14.45 [232]
234,5,"""House of Hoarders""",Alec Smight,Christopher Barbour,"October 21, 2010",14.96 [233]
235,6,"""Cold Blooded""",Louis Shaw Milito,Tom Mularz,"October 28, 2010",14.27 [234]
236,7,"""Bump & Grind""",Michael Nankin,Don McGill,"November 4, 2010",13.96 [235]
237,8,"""Fracked""",Martha Coolidge,Bradley Thompson & David Weddle,"November 11, 2010",12.99 [236]
238,9,"""Wild Life""",Charles Haid,Melissa R. Byer & Treena Hancock,"November 18, 2010",14.15 [237]
239,10,"""418/427""",Frank Waldeck,Michael Frost Beckner,"December 9, 2010",13.17 [238]
240,11,"""Man Up""",Alec Smight,Michael F.X. Daley,"January 6, 2011",14.22 [239]
241,12,"""A Kiss Before Frying""",Brad Tanenbaum,Evan Dunsky,"January 20, 2011",14.34 [240]
242,13,"""The Two Mrs. Grissoms""",Steven Felder,Story by : Christopher Barbour Teleplay by : Treena Hancock & Melissa R. Byer,"February 3, 2011",13.98 [241]
243,14,"""All That Cremains""",Jeffrey Hunt,Dustin Lee Abraham,"February 10, 2011",12.64 [242]
244,15,"""Targets of Obsession""",Alec Smight,David Weddle & Bradley Thompson,"February 17, 2011",13.29 [243]
245,16,"""Turn On, Tune In, Drop Dead""",Paul McCrane,Tom Mularz,"February 24, 2011",12.41 [244]
246,17,"""The List""",Louis Shaw Milito,Richard Catalani,"March 10, 2011",13.39 [245]
247,18,"""Hitting for the Cycle""",Alec Smight,Daniel Steck & Richard Catalani,"March 31, 2011",12.76 [246]
248,19,"""Unleashed""",Brad Tanenbaum,Ed Whitmore & Anthony E. Zuiker,"April 7, 2011",13.06 [247]
249,20,"""Father of the Bride""",Frank Waldeck,Evan Dunsky,"April 28, 2011",10.84 [248]
250,21,"""Cello and Goodbye""",Alec Smight,Christopher Barbour & Don McGill,"May 5, 2011",10.67 [249]
251,22,"""In a Dark, Dark House""",Jeffrey Hunt,Tom Mularz,"May 12, 2011",11.77 [250]
