No. overall,No. in season,Title,Directed by,Written by,Original air date,US viewers (millions)
142,1,"""Built to Kill, Part 1""",Kenneth Fink,Story by : Sarah Goldfinger Teleplay by : David Rambo & Naren Shankar,"September 21, 2006",22.57 [141]
143,2,"""Built to Kill, Part 2""",Kenneth Fink,Story by : David Rambo Teleplay by : Sarah Goldfinger & Naren Shankar,"September 28, 2006",23.77 [142]
144,3,"""Toe Tags""",Jeffrey Hunt,Story by : Allen MacDonald & Carol Mendelsohn Teleplay by : Richard Catalani & Douglas Petrie,"October 5, 2006",21.51 [143]
145,4,"""Fannysmackin'""",Richard J. Lewis,Dustin Lee Abraham,"October 12, 2006",21.85 [144]
146,5,"""Double-Cross""",Michael Slovis,Marlane Meyer,"October 19, 2006",20.49 [145]
147,6,"""Burn Out""",Alec Smight,Jacqueline Hoyt,"November 2, 2006",20.77 [146]
148,7,"""Post-Mortem""",Richard J. Lewis,Story by : Naren Shankar Teleplay by : Dustin Lee Abraham & David Rambo,"November 9, 2006",20.83 [147]
149,8,"""Happenstance""",Jean de Segonzac,Sarah Goldfinger,"November 16, 2006",24.11 [148]
150,9,"""Living Legend""",Martha Coolidge,Story by : Carol Mendelsohn & Douglas Petrie Teleplay by : Douglas Petrie,"November 23, 2006",17.17 [149]
151,10,"""Loco Motives""",Kenneth Fink,Evan Dunsky,"December 7, 2006",23.25 [150]
152,11,"""Leaving Las Vegas""",Richard J. Lewis,Story by : Allen MacDonald & Carol Mendelsohn Teleplay by : Allen MacDonald,"January 4, 2007",26.12 [151]
153,12,"""Sweet Jane""",Kenneth Fink,Kenneth Fink & Naren Shankar,"January 18, 2007",21.41 [152]
154,13,"""Redrum""",Martha Coolidge,Story by : Richard Catalani & David Rambo Teleplay by : Jacqueline Hoyt & Carol Mendelsohn,"January 25, 2007",21.17 [153]
155,14,"""Meet Market""",Paris Barclay,Dustin Lee Abraham,"February 1, 2007",21.49 [154]
156,15,"""Law of Gravity""",Richard J. Lewis,Story by : Richard Catalani Teleplay by : Richard Catalani & Carol Mendelsohn,"February 8, 2007",22.52 [155]
157,16,"""Monster in the Box""",Jeffrey Hunt,Douglas Petrie & Naren Shankar,"February 15, 2007",22.71 [156]
158,17,"""Fallen Idols""",Christopher Leitch,Marlane Meyer,"February 22, 2007",21.78 [157]
159,18,"""Empty Eyes""",Michael Slovis,Allen MacDonald,"March 29, 2007",22.71 [158]
160,19,"""Big Shots""",Jeff Woolnough,Dustin Lee Abraham,"April 5, 2007",21.69 [159]
161,20,"""Lab Rats""",Brad Tanenbaum,Story by : Naren Shankar & Sarah Goldfinger Teleplay by : Sarah Goldfinger,"April 12, 2007",22.18 [160]
162,21,"""Ending Happy""",Kenneth Fink,Evan Dunsky,"April 26, 2007",20.20 [161]
163,22,"""Leapin' Lizards""",Richard J. Lewis,Story by : Carol Mendelsohn & David Rambo Teleplay by : David Rambo,"May 3, 2007",19.02 [162]
164,23,"""The Good, the Bad and the Dominatrix""",Alec Smight,Jacqueline Hoyt,"May 10, 2007",18.75 [163]
165,24,"""Living Doll""",Kenneth Fink,Naren Shankar & Sarah Goldfinger,"May 17, 2007",20.45 [164]
