No. overall,No. in season,Title,Directed by,Written by,Original air date,US viewers (millions)
296,1,"""The Devil and D.B. Russell""",Alec Smight,Story by : Christopher Barbour Teleplay by : Christopher Barbour & Don McGill,"September 25, 2013",9.12 [295]
297,2,"""Take the Money and Run""",Louis Shaw Milito,Andrew Dettmann,"October 2, 2013",9.66 [296]
298,3,"""Torch Song""",Brad Tanenbaum,Story by : Elizabeth Devine Teleplay by : Tom Mularz,"October 9, 2013",8.82 [297]
299,4,"""Last Supper""",Frank Waldeck,Treena Hancock & Melissa R. Byer,"October 16, 2013",9.45 [298]
300,5,"""Frame by Frame""",Alec Smight,Gavin Harris,"October 23, 2013",10.45 [299]
301,6,"""Passed Pawns""",Phil Conserva,Story by : Michael F.X. Daley Teleplay by : Christopher Barbour,"October 30, 2013",9.50 [300]
302,7,"""Under a Cloud""",Brad Tanenbaum,Elizabeth Devine & Richard Catalani,"November 6, 2013",9.08 [301]
303,8,"""Helpless""",Karen Gaviola,Tom Mularz,"November 13, 2013",10.47 [302]
304,9,"""Check In and Check Out""",Louis Shaw Milito,Andrew Dettmann,"November 20, 2013",11.19 [303]
305,10,"""Girls Gone Wild""",Alec Smight,Melissa R. Byer & Treena Hancock,"November 27, 2013",10.94 [304]
306,11,"""The Lost Reindeer""",Frank Waldeck,Gavin Harris,"December 11, 2013",10.18 [305]
307,12,"""Keep Calm and Carry-On""",Brad Tanenbaum,Thomas Hoppe,"January 15, 2014",10.30 [306]
308,13,"""Boston Brakes""",Eagle Egilsson,Christopher Barbour,"January 22, 2014",9.47 [307]
309,14,"""De Los Muertos""",Louis Shaw Milito,Story by : Richard Catalani Teleplay by : Tom Mularz,"February 5, 2014",11.16 [308]
310,15,"""Love for Sale""",Frank Waldeck,Andrew Dettmann,"February 19, 2014",9.77 [309]
311,16,"""Killer Moves""",Alec Smight,Mary Leah Sutton,"March 5, 2014",9.29 [310]
312,17,"""Long Road Home""",Phil Conserva,Gavin Harris,"March 12, 2014",10.15 [311]
313,18,"""Uninvited""",Brad Tanenbaum,Story by : Treena Hancock & Melissa R. Byer Teleplay by : Elizabeth Devine,"March 19, 2014",10.20 [312]
314,19,"""The Fallen""",Louis Shaw Milito,Deanna Shumaker,"April 2, 2014",9.77 [313]
315,20,"""Consumed""",Karen Gaviola,Tom Mularz,"April 9, 2014",9.11 [314]
316,21,""" Kitty """,Eagle Egilsson,Ann Donahue & Carol Mendelsohn & Anthony E. Zuiker,"April 30, 2014",9.95 [315]
317,22,"""Dead in His Tracks""",Alec Smight,Andrew Dettmann,"May 7, 2014",10.01 [316]
