No. overall,No. in season,Title,Directed by,Written by,Original air date,Prod. code,US viewers (millions)
24,1,"""Burked""",Danny Cannon,Carol Mendelsohn & Anthony E. Zuiker,"September 27, 2001",201,22.30 [37]
25,2,"""Chaos Theory""",Ken Fink,Eli Talbert & Josh Berman,"October 4, 2001",202,19.70 [37]
26,3,"""Overload""",Richard J. Lewis,Josh Berman,"October 11, 2001",203,22.70 [37]
27,4,"""Bully for You""",Thomas J. Wright,Ann Donahue,"October 18, 2001",204,23.00 [37]
28,5,"""Scuba Doobie-Doo""",Jefrey Levy,Andrew Lipsitz & Elizabeth Devine,"October 25, 2001",205,24.70 [37]
29,6,"""Alter Boys""",Danny Cannon,Ann Donahue,"November 1, 2001",206,23.20 [37]
30,7,"""Caged""",Richard J. Lewis,Elizabeth Devine & Carol Mendelsohn,"November 8, 2001",207,25.10 [37]
31,8,"""Slaves of Las Vegas""",Peter Markle,Jerry Stahl,"November 15, 2001",208,25.10 [37]
32,9,"""And Then There Were None""",John Patterson,Story by : Josh Berman Teleplay by : Eli Talbert & Carol Mendelsohn,"November 22, 2001",209,22.80 [37]
33,10,"""Ellie""",Charlie Correll,Anthony E. Zuiker,"December 6, 2001",210,24.00 [37]
34,11,"""Organ Grinder""",Allison Liddi,Ann Donahue & Elizabeth Devine,"December 13, 2001",211,17.50 [37]
35,12,"""You've Got Male""",Charlie Correll,Marc Dube & Corey Miller,"December 20, 2001",212,23.70 [37]
36,13,"""Identity Crisis""",Kenneth Fink,Anthony E. Zuiker & Ann Donahue,"January 17, 2002",213,24.10 [37]
37,14,"""The Finger""",Richard J. Lewis,Danny Cannon & Carol Mendelsohn,"January 31, 2002",214,23.50 [37]
38,15,"""Burden of Proof""",Kenneth Fink,Ann Donahue,"February 7, 2002",215,24.64 [38]
39,16,"""Primum Non Nocere""",Danny Cannon,Andrew Lipsitz,"February 28, 2002",216,28.74 [39]
40,17,"""Felonious Monk""",Kenneth Fink,Jerry Stahl,"March 7, 2002",217,26.73 [40]
41,18,"""Chasing the Bus""",Richard J. Lewis,Eli Talbert,"March 28, 2002",218,25.24 [41]
42,19,"""Stalker""",Peter Markle,Anthony E. Zuiker & Danny Cannon,"April 4, 2002",219,26.78 [42]
43,20,"""Cats in the Cradle""",Richard J. Lewis,Kris Dobkin,"April 25, 2002",220,23.50 [43]
44,21,"""Anatomy of a Lye""",Kenneth Fink,Josh Berman & Andrew Lipsitz,"May 2, 2002",221,26.17 [44]
45,22,""" Cross Jurisdictions """,Danny Cannon,Anthony E. Zuiker & Ann Donahue & Carol Mendelsohn,"May 9, 2002",222,27.12 [45]
46,23,"""The Hunger Artist""",Richard J. Lewis,Jerry Stahl,"May 16, 2002",223,27.00 [46]
