	Unnamed: 0.1	Unnamed: 0	start	end	text	label
0	0	0	00:00:01	00:00:03	This won't help, don't you see?	N
1	1	1	00:00:03	00:00:04	After me, there'll be others.	N
2	2	2	00:00:04	00:00:07	You'll have to go on killing, on and on until they catch you.	N
3	3	3	00:00:07	00:00:09	I won't be the last; there'll be others after me.	N
4	4	4	00:00:10	00:00:13	You can't help yourself because you're mad, mad, mad!	N
5	5	5	00:00:15	00:00:16	No one will question you.	N
6	6	6	00:00:16	00:00:19	They'll say it's just another suicide. ( phone rings )	N
7	7	7	00:00:19	00:00:21	Hello? ( cell phone rings )	N
8	8	8	00:00:21	00:00:23	Hello?! ( ringing continues )	N
9	9	9	00:00:23	00:00:26	Shh!	N
10	10	10	00:00:28	00:00:29	Burgess!	N
11	11	11	00:00:29	00:00:32	Burgess! ( phone hangs up )	N
12	12	12	00:00:32	00:00:33	Burgess! ( ringing )	N
13	13	13	00:00:33	00:00:36	Burgess! ( glass shattering )	N
14	14	14	00:00:36	00:00:38	Excuse me, sir.	N
15	15	15	00:00:38	00:00:42	I'm going to have to ask you to turn the phone off.	N
16	16	16	00:00:42	00:00:43	Sir?	N
17	17	17	00:00:43	00:00:45	I'll have to...	N
18	18	18	00:00:49	00:00:53	Whoo! Theaters are like nightclubs; they should always keep the lights off.	N
19	19	19	00:00:53	00:00:56	This is the last art house left in Vegas.	N
20	20	20	00:00:56	00:01:02	I saw Baraka here, on a double bill with Koyaanisqatsi Was there anyone else here? Sure.	N
21	21	21	00:01:02	00:01:04	With you? No.	N
22	22	22	00:01:04	00:01:06	Thursday night is Noir Night.	N
23	23	23	00:01:06	00:01:12	The poor sap was slumped over like a sack of potatoes, oozing blood like a broken bottle of ketchup.	N
24	24	24	00:01:16	00:01:18	His name is Gus Sugarman.	N
25	25	25	00:01:19	00:01:21	Runs a dental practice in Henderson.	N
26	26	26	00:01:21	00:01:23	Cell phone went off three times during the movie.	N
27	27	27	00:01:23	00:01:26	So, the usher finally came over to shut him up.	N
28	28	28	00:01:26	00:01:28	Yeah, somebody beat him to it.	N
29	29	29	00:01:30	00:01:32	Single puncture wound to the base of the skull.	N
30	30	30	00:01:33	00:01:34	And nobody saw anything?	N
31	31	31	00:01:34	00:01:35	They were watching the movie.	N
32	32	32	00:01:35	00:01:37	Dark room. Loud music. Four exits.	N
33	33	33	00:01:37	00:01:40	Everybody looking the other way.	N
34	34	34	00:01:40	00:01:41	Professional killer?	N
35	35	35	00:01:41	00:01:44	Or a movie buff.	N
36	36	36	00:02:16	00:02:19	It was Build My Gallows High, with Robert Mitchum, 1947.	N
37	37	37	00:02:20	00:02:22	with Robert Mitchum and Jane Greer.	N
38	38	38	00:02:22	00:02:24	And Kirk Douglas. Trust me, the book was Build My Gallows High.	N
39	39	39	00:02:24	00:02:27	Mr. Siskel, Mr. Ebert, may I have a cause of death, please?	N
40	40	40	00:02:27	00:02:31	Puncture wound is small. Not a knife.	N
41	41	41	00:02:31	00:02:40	Seems like it penetrated all the way to the brain stem, and there's some bruising around the mouth.	N
42	42	42	00:02:40	00:02:45	Well, the killer could have stood over him, placed his hand over his mouth, stabbed him in the back of the head.	N
43	43	43	00:02:45	00:02:47	Didn't Telly Savalas do that in The Dirty Dozen?	N
44	44	44	00:02:47	00:02:51	Anthony Quinn did it, too, in Guns of Navaronne. Right.	N
45	45	45	00:02:51	00:02:53	Well, what movie did you see this in?	N
46	46	46	00:02:55	00:02:57	Looks like somebody ripped something off his neck.	N
47	47	47	00:02:57	00:03:00	Small patterns; could have been a chain, maybe, huh?	N
48	48	48	00:03:00	00:03:02	Or necklace. Oh!	N
49	49	49	00:03:03	00:03:04	Butterfingers.	N
50	50	50	00:03:14	00:03:16	What'd you got?	N
51	51	51	00:03:16	00:03:19	Well, whoever called him didn't leave their number.	N
52	52	52	00:03:33	00:03:36	Hey!	N
53	53	53	00:03:36	00:03:39	I wasn't the only one who dropped something tonight.	N
54	54	54	00:03:39	00:03:43	I got a witness.	N
55	55	55	00:03:43	00:03:47	I only noticed 'cause she got up during the best part of the movie, right before the gunfight.	N
56	56	56	00:03:47	00:03:49	Is the gunfight loud?	N
57	57	57	00:03:49	00:03:51	Yeah. I mean it's not THX Surround-sound.	N
58	58	58	00:03:51	00:03:54	This was 1950 and mono optical track.	N
59	59	59	00:03:54	00:03:56	I like how loud this theater keeps it.	N
60	60	60	00:03:56	00:03:57	Perfect moment to do it.	N
61	61	61	00:03:57	00:03:59	Cover up any noise the victim might make.	N
62	62	62	00:03:59	00:04:01	You get a look at her?	N
63	63	63	00:04:01	00:04:09	I drove 40 minutes to see this flick; my eyes were on the screen, but, uh, she was tall, not old... a redhead.	N
64	64	64	00:04:09	00:04:10	Did she come back in?	N
65	65	65	00:04:10	00:04:11	No.	N
66	66	66	00:04:11	00:04:12	And, uh...	N
67	67	67	00:04:12	00:04:14	I-I don't see her here.	N
68	68	68	00:04:15	00:04:17	Did anyone see her coming into the lobby?	N
69	69	69	00:04:17	00:04:19	Well, Manager had left for the night.	N
70	70	70	00:04:19	00:04:21	The usher who found the body had left before we got here.	N
71	71	71	00:04:21	00:04:22	He had been smoking blunts.	N
72	72	72	00:04:22	00:04:24	He was afraid we were going to bust him for marijuana.	N
73	73	73	00:04:25	00:04:28	I'll be tweaking him when I call him for my statement.	N
74	74	74	00:04:28	00:04:33	If you ask me, anybody who leaves their phone on in a movie deserves to get stabbed in the head.	N
75	75	75	00:04:33	00:04:35	That's why nobody ask you.	N
76	76	76	00:04:37	00:04:39	Detective.	N
77	77	77	00:04:39	00:04:40	Guys ...	N
78	78	78	00:04:40	00:04:41	Who called it in?	N
79	79	79	00:04:41	00:04:43	Passing motorist heard gunshots.	N
80	80	80	00:04:43	00:04:46	First Officer did a drive up. Found the scene.	N
81	81	81	00:04:46	00:04:47	Called in the world.	N
82	82	82	00:04:47	00:04:49	I hope you brought extra supplies.	N
83	83	83	00:04:49	00:04:50	Why's that?	N
84	84	84	00:04:50	00:04:53	You're gonna be here awhile.	N
85	85	85	00:04:58	00:05:01	Looks like a war zone.	N
86	86	86	00:05:07	00:05:09	We got an I.D. on the body?	N
87	87	87	00:05:09	00:05:13	No cash, no ID, just a driver's permit.	N
88	88	88	00:05:13	00:05:14	Driver's permit.	N
89	89	89	00:05:14	00:05:16	What is he, 16?	N
90	90	90	00:05:16	00:05:17	Fifteen-and-a-half.	N
91	91	91	00:05:17	00:05:19	Timmy McCallum.	N
92	92	92	00:05:19	00:05:21	Coroner's on his way.	N
93	93	93	00:05:21	00:05:23	Tell them to watch their step.	N
94	94	94	00:05:23	00:05:25	There's casings and blood everywhere.	N
95	95	95	00:05:25	00:05:27	Divide and conquer.	N
96	96	96	00:05:27	00:05:28	Inside or outside?	N
97	97	97	00:05:28	00:05:29	Outside perimeter.	N
98	98	98	00:05:29	00:05:31	I'm Dennis Rodman.	N
99	99	99	00:05:31	00:05:34	I'll take everything below the knees.	N
100	100	100	00:05:34	00:05:39	Question is not what we're going to find on the murder weapon; question is what isn't on it.	N
101	101	101	00:05:39	00:05:41	The sticky substance?	N
102	102	102	00:05:41	00:05:42	Soda.	N
103	103	103	00:05:42	00:05:43	Yellow crumbs?	N
104	104	104	00:05:43	00:05:44	Popcorn.	N
105	105	105	00:05:44	00:05:45	Carpet fibers.	N
106	106	106	00:05:45	00:05:47	It wasn't the cleanest theater in the world.	N
107	107	107	00:05:47	00:05:49	I just want to match the blood to our victim.	N
108	108	108	00:05:49	00:05:51	And you want to know if there's a recoverable print.	N
109	109	109	00:05:51	00:05:52	Uh-huh.	N
110	110	110	00:05:53	00:05:55	You want to race?	N
111	111	111	00:05:55	00:05:56	What's the bet?	N
112	112	112	00:05:57	00:05:59	Hmm...	N
113	113	113	00:06:36	00:06:38	Is that our guy?	N
114	114	114	00:06:39	00:06:42	Phone Company unblocked all his private numbers for us.	N
115	115	115	00:06:42	00:06:43	They can do that now?	N
116	116	116	00:06:43	00:06:47	Yeah. On the left side of the screen are the outgoing calls.	N
117	117	117	00:06:47	00:06:50	On the right, the incoming.	N
118	118	118	00:06:50	00:06:52	What time did the movie start?	N
119	119	119	00:06:52	00:06:54	40.	N
120	120	120	00:06:54	00:06:57	38.	N
121	121	121	00:06:57	00:07:00	555-0110.	N
122	122	122	00:07:00	00:07:02	26 seconds.	N
123	123	123	00:07:02	00:07:04	That sounds like a no answer.	N
124	124	124	00:07:04	00:07:15	Yeah, but 555-0110 was the number 26, 11 Someone needed to talk to him pretty bad.	N
125	125	125	00:07:15	00:07:17	Yeah, well, he was already dead by then.	N
126	126	126	00:07:17	00:07:20	Dr. Robbins was that accurate with the TOD?	N
127	127	127	00:07:20	00:07:22	That's when the gunfire erupted.	N
128	128	128	00:07:22	00:07:23	There was gunfire?	N
129	129	129	00:07:23	00:07:25	In the movie.	N
130	130	130	00:07:25	00:07:27	I'll need an address for that number.	N
131	131	131	00:08:54	00:08:56	Hey, guys.	N
132	132	132	00:08:56	00:08:58	What do you make of this piece of bamboo?	N
133	133	133	00:08:58	00:08:59	I found it on the roof.	N
134	134	134	00:08:59	00:09:00	Bag it.	N
135	135	135	00:09:00	00:09:02	That's funny. Very funny.	N
136	136	136	00:09:09	00:09:11	Did you get the hole in the roof?	N
137	137	137	00:09:11	00:09:12	You find anything else up there?	N
138	138	138	00:09:12	00:09:14	No.	N
139	139	139	00:09:14	00:09:15	Got some shards of glass.	N
140	140	140	00:09:15	00:09:17	Clear in color.	N
141	141	141	00:09:18	00:09:24	Mixed with small pieces of black plastic.	N
142	142	142	00:09:25	00:09:27	You almost finished with that?	N
143	143	143	00:09:27	00:09:28	What's your count?	N
144	144	144	00:09:28	00:09:30	Yeah. 109 rods.	N
145	145	145	00:09:30	00:09:33	109 bullets?	N
146	146	146	00:09:33	00:09:37	How in the world do trajectories occur 15 to 20 feet off the ground?	N
147	147	147	00:09:37	00:09:38	Horizontally?	N
148	148	148	00:09:41	00:09:43	What the hell went on here?	N
149	149	149	00:09:49	00:09:49	Audrey Hilden?	N
150	150	150	00:09:49	00:09:51	Yes.	N
151	151	151	00:09:51	00:09:52	We're with the Crime Lab.	N
152	152	152	00:09:52	00:09:53	Do you know a Gus Sugarman?	N
153	153	153	00:09:55	00:09:58	Why don't you come inside. Please.	N
154	154	154	00:10:00	00:10:02	He was my dentist. That's terrible.	N
155	155	155	00:10:02	00:10:09	He'd asked me to go to the movies, and I said yes, but... it was a late show, and I had to get up early for work.	N
156	156	156	00:10:09	00:10:15	Well, we know that Dr. Sugarman called you at home two minutes before the movie started, and that you didn't pick up.	N
157	157	157	00:10:15	00:10:18	I was screening. I figured he'd get my message.	N
158	158	158	00:10:18	00:10:21	And why did you call him three times in a row, 40 minutes later?	N
159	159	159	00:10:21	00:10:23	I felt bad standing him up.	N
160	160	160	00:10:23	00:10:25	I called to apologize.	N
161	161	161	00:10:25	00:10:29	I figured I'd get his Voice Mail, but when I didn't, I tried again.	N
162	162	162	00:10:29	00:10:30	And you were here alone?	N
163	163	163	00:10:30	00:10:32	Yes.	N
164	164	164	00:10:32	00:10:33	Can anyone verify that?	N
165	165	165	00:10:33	00:10:35	Why?	N
166	166	166	00:10:40	00:10:42	Still screening?	N
167	167	167	00:10:57	00:10:59	Do you see a lot of movies at the Art House Theater?	N
168	168	168	00:10:59	00:11:01	Sure. I love old movies.	N
169	169	169	00:11:01	00:11:04	I see they recently had a Hitchcock Retrospective.	N
170	170	170	00:11:04	00:11:05	I prefer French New Wave.	N
171	171	171	00:11:05	00:11:08	If you'll excuse me now, I have to go to work.	N
172	172	172	00:11:08	00:11:10	We'll be in touch.	N
173	173	173	00:11:17	00:11:19	Geez, what was this kid, tortured?	N
174	174	174	00:11:19	00:11:21	Couple of fractured ribs.	N
175	175	175	00:11:21	00:11:23	Deep purple contusions of the presternal chest wall.	N
176	176	176	00:11:23	00:11:25	Each one around two inches in diameter.	N
177	177	177	00:11:25	00:11:27	I stopped counting around nine.	N
178	178	178	00:11:27	00:11:30	What do you think could've done this? Baseball bat?	N
179	179	179	00:11:30	00:11:33	It's hard to tell. Whatever it was, it had a great deal of velocity.	N
180	180	180	00:11:33	00:11:34	Yeah.	N
181	181	181	00:11:34	00:11:37	single gunshot to the chest.	N
182	182	182	00:11:37	00:11:38	No evidence of gunshot residue.	N
183	183	183	00:11:38	00:11:42	Shot from a distance. Yeah.	N
184	184	184	00:11:50	00:11:52	And at a downward angle...	N
185	185	185	00:11:52	00:11:54	It's, uh...	N
186	186	186	00:11:54	00:11:59	It's about 25 degrees.	N
187	187	187	00:11:59	00:12:00	He was shot from above.	N
188	188	188	00:12:04	00:12:06	Rooftop angle is 45 degrees.	N
189	189	189	00:12:06	00:12:08	This is 25 degrees?	N
190	190	190	00:12:10	00:12:11	It's impossible.	N
191	191	191	00:12:11	00:12:15	If that's the case, he was shot by somebody 10 to 15 feet tall.	N
192	192	192	00:12:15	00:12:17	What else you got?	N
193	193	193	00:12:17	00:12:23	Scabbing abrasions on the elbows, the back and kneecaps.	N
194	194	194	00:12:23	00:12:26	Looks to be harmless boys will be boys stuff.	N
195	195	195	00:12:26	00:12:30	There's nothing harmless about death.	N
196	196	196	00:12:34	00:12:36	Don't tell me-- Greg won the bet.	N
197	197	197	00:12:36	00:12:39	The blood on the screwdriver definitely belongs to your victim.	N
198	198	198	00:12:39	00:12:42	It was incredible how fast he got me back the results.	N
199	199	199	00:12:42	00:12:44	I don't know how he does it.	N
