Unnamed: 0	start	end	text	label
0	00:00:35	00:00:38	Joe! Joe!	N
1	00:00:44	00:00:47	I'm not your damn secretary and your wife's not my boss!	N
2	00:00:47	00:00:49	You hear that, Cheryl?	N
3	00:00:49	00:00:51	This is a company phone.	N
4	00:00:58	00:01:02	If this is an Indian burial ground, I'm totally screwed.	N
5	00:01:02	00:01:05	I'll be in litigation for months.	N
6	00:01:05	00:01:09	I can't make any promises, sir, but I don't think the Paiute wore heels.	N
7	00:01:11	00:01:12	Hey! What's it look like?	N
8	00:01:12	00:01:15	Well...	N
9	00:01:15	00:01:17	The body's been encased in something.	N
10	00:01:18	00:01:20	It's black. It's flexible...	N
11	00:01:21	00:01:23	But it's pretty stubborn.	N
12	00:01:23	00:01:24	I think it's roofing tar.	N
13	00:01:24	00:01:27	It keeps the smell and the animals away.	N
14	00:01:27	00:01:29	It makes our job a lot harder.	N
15	00:01:29	00:01:33	We've got disturbed soil in a three-by-five perimeter.	N
16	00:01:33	00:01:36	Okay.	N
17	00:01:36	00:01:37	Gentlemen!	N
18	00:01:37	00:01:39	Start your shovels!	N
19	00:02:00	00:02:02	Do you think our Jane Doe was buried alive?	N
20	00:02:02	00:02:05	Whoever buried her sure had access to a lot of tar.	N
21	00:02:05	00:02:11	Maybe a construction worker.	N
22	00:02:11	00:02:13	Nick, did you get that last soil sample?	N
23	00:02:13	00:02:17	Yeah, but I think I got something else, too.	N
24	00:02:18	00:02:21	Hey, guys.	N
25	00:02:21	00:02:22	Check this out.	N
26	00:02:22	00:02:24	A third foot.	N
27	00:02:24	00:02:26	Ugh...	N
28	00:02:26	00:02:29	Means there's another body.	N
29	00:02:34	00:02:37	I don't know if she was buried alive, but...	N
30	00:02:37	00:02:39	she wasn't buried alone.	N
31	00:03:38	00:03:39	Two sets of hands.	N
32	00:03:39	00:03:41	Two sets of feet.	N
33	00:03:41	00:03:43	Two skulls, two bodies.	N
34	00:03:43	00:03:45	Both appear to be female.	N
35	00:03:45	00:03:47	Jane Doe Bottom's curled up.	N
36	00:03:47	00:03:49	Jane Doe Top's laid out flat.	N
37	00:03:49	00:03:52	This looks like... barbed wire.	N
38	00:03:52	00:03:53	It's in her mouth.	N
39	00:03:53	00:03:55	Could be a dental appliance.	N
40	00:03:55	00:03:57	Or maybe some kind of torture device.	N
41	00:03:58	00:03:59	You're thinking ritualistic?	N
42	00:03:59	00:04:00	I don't know what I'm thinking.	N
43	00:04:02	00:04:03	Hey.	N
44	00:04:03	00:04:06	They told me you dug up two bodies covered in tar?	N
45	00:04:07	00:04:10	So. How you going to separate them?	N
46	00:04:10	00:04:12	I'm not sure yet.	N
47	00:04:12	00:04:17	Obviously I can't saw through without potentially destroying evidence, so...	N
48	00:04:17	00:04:20	If the tar were harder, I could chisel it.	N
49	00:04:20	00:04:24	If it were softer, we could peel it off.	N
50	00:04:24	00:04:26	I have an idea.	N
51	00:04:26	00:04:33	Of course you do, but last I checked, the backlog on grave was about... mmm... a hundred cases?	N
52	00:04:33	00:04:36	You've been spending too much time with Ecklie.	N
53	00:04:36	00:04:39	I'm off the clock.	N
54	00:04:39	00:04:40	I came in early for this.	N
55	00:04:49	00:04:51	You ever done this before?	N
56	00:04:51	00:04:52	Nope...	N
57	00:04:53	00:04:59	but I do know that tar becomes as brittle as glass at about minus 200 degrees.	N
58	00:05:32	00:05:33	Okay, Mr. Wizard.	N
59	00:05:52	00:05:55	Not much left of her but the clothes.	N
60	00:05:55	00:05:58	Well, let's see what our other one looks like, shall we?	N
61	00:06:22	00:06:24	Huh.	N
62	00:06:26	00:06:27	Oh, boy.	N
63	00:06:27	00:06:29	I gotta get my shift started.	N
64	00:06:29	00:06:30	Good luck with the case.	N
65	00:06:30	00:06:31	No, no, no.	N
66	00:06:32	00:06:35	You're not going to just destroy this skull and split.	N
67	00:06:35	00:06:37	You can make a nice mold from the impression.	N
68	00:06:37	00:06:39	I'm short-handed as it is.	N
69	00:06:39	00:06:41	I think Sara just wrapped a case.	N
70	00:06:41	00:06:43	If you need her, she's yours.	N
71	00:06:52	00:06:54	Wow.	N
72	00:06:54	00:06:56	Look at you, Mr. Straightedge.	N
73	00:06:56	00:06:59	I did not know that your hair could do that.	N
74	00:06:59	00:07:00	I look like a dork.	N
75	00:07:00	00:07:01	No, no.	N
76	00:07:01	00:07:03	No, you look like a pro, which is what you are.	N
77	00:07:03	00:07:06	Let me guess-- a prelim for Sherlock?	N
78	00:07:06	00:07:07	Yep.	N
79	00:07:07	00:07:08	Uh-huh. Who's your judge?	N
80	00:07:08	00:07:11	Uh... Dudley... Anderson?	N
81	00:07:11	00:07:14	Yeah. Well, not the sharpest tool in the shed.	N
82	00:07:15	00:07:17	Speak slowly.	N
83	00:07:17	00:07:18	Use simple terms.	N
84	00:07:18	00:07:19	You're gonna nail it.	N
85	00:07:19	00:07:20	Sara.	N
86	00:07:20	00:07:21	You're mine tonight.	N
87	00:09:52	00:09:55	Ladies and gentlemen, Miss Jane Doe Top.	N
88	00:09:55	00:09:57	Nice job.	N
89	00:09:57	00:09:58	Thanks.	N
90	00:10:02	00:10:03	Thank you, Sara.	N
91	00:10:05	00:10:11	Well, Doc Robbins told me that she had severe trauma to the skull, probably what killed her.	N
92	00:10:11	00:10:14	Well, that would explain the blood David found on her shirt.	N
93	00:10:14	00:10:20	Mia's running DNA right now to find out if it matches the victim, or any suspects, for that matter.	N
94	00:10:20	00:10:22	Remember, now, she had a broken jaw.	N
95	00:10:22	00:10:25	That was 26-gauge stainless steel.	N
96	00:10:25	00:10:27	It's used to surgically wire jawbones shut.	N
97	00:10:29	00:10:31	What's with the fingers?	N
98	00:10:31	00:10:33	Distal phalanges were cut off.	N
99	00:10:33	00:10:35	Both vics, both hands.	N
100	00:10:35	00:10:37	I cast tool marks, Looks like some kind of opposed blade tool.	N
101	00:10:38	00:10:39	Jagged on one side, smooth on the other.	N
102	00:10:39	00:10:43	Well, if it was pre-mortem, that would support torture.	N
103	00:10:43	00:10:47	Yeah, but if it was post, they probably did it to conceal identity.	N
104	00:10:47	00:10:50	Hey, you guys still working on that mass- grave theory?	N
105	00:10:50	00:10:51	Yeah.	N
106	00:10:51	00:10:54	You know what I like about flesh decomposing in soil?	N
107	00:10:54	00:10:55	It's predictable.	N
108	00:10:57	00:11:02	The constituent elements diffuse into the ground over time.	N
109	00:11:02	00:11:05	The longer they're there, the lower the concentrations.	N
110	00:11:05	00:11:08	I tested the soil samples Nick took from around each body.	N
111	00:11:08	00:11:12	Curly Sue was on the bottom for at least five years, and Flat Sally was on top for only two.	N
112	00:11:12	00:11:22	So we've got a killer who digs a grave, dumps a body, covers it with tar, comes back three years later, digs again and dumps another one on top of it?	Y
113	00:11:22	00:11:24	Ten to one, it's domestic abuse.	N
114	00:11:24	00:11:27	Beat up, then shut up.	N
115	00:11:28	00:11:31	You hitting every E.R. in town?	N
116	00:11:31	00:11:32	Seems like it.	N
117	00:11:33	00:11:38	These are all the jaw fractures that came in from two to three years ago. Thank you.	N
118	00:11:38	00:11:41	We don't get as many of these as we used to.	N
119	00:11:41	00:11:45	Domestic violence laws have forced men to get smarter about their hitting.	N
120	00:12:32	00:12:36	Why don't you, uh, you wait for me here, 'kay?	Y
121	00:12:38	00:12:40	Mr. Melton, take a seat.	Y
122	00:12:46	00:12:52	I married, uh, June about a year after Svetlana left.	Y
123	00:12:54	00:12:57	And when was the last time that you saw Svetlana?	Y
124	00:12:57	00:12:59	It was about two years ago.	N
125	00:12:59	00:13:01	She didn't come home one night.	N
126	00:13:02	00:13:05	Next thing I know, the cops are knocking down my door.	Y
127	00:13:05	00:13:09	I thought something happened to her, but they were there to arrest me.	Y
128	00:13:09	00:13:11	For hitting her.	N
129	00:13:11	00:13:12	Are you saying that you didn't?	Y
