Unnamed: 0	start	end	text	label
0	00:00:14	00:00:17	Wow, I love it already.	N
1	00:00:18	00:00:22	I can't believe we're doing this. Is that the lockbox?	Y
2	00:00:22	00:00:24	Broker gave me the combination.	Y
3	00:00:24	00:00:26	He's doing a walk-through in Seven Hills.	N
4	00:00:27	00:00:30	Owners are out.	N
5	00:00:41	00:00:44	Wow.	N
6	00:00:44	00:00:46	Wait till you see the master.	N
7	00:00:54	00:00:56	Oh, my God.	N
8	00:00:56	00:00:58	This is gorgeous.	N
9	00:00:59	00:01:01	Amazing.	N
10	00:01:04	00:01:06	What?	N
11	00:01:06	00:01:08	Want to snoop around?	N
12	00:01:20	00:01:21	Hey.	N
13	00:01:23	00:01:25	What do you think?	N
14	00:01:25	00:01:26	I don't know, yeah. It's nice?	N
15	00:01:26	00:01:28	Looks good.	N
16	00:01:28	00:01:29	Cut it out.	N
17	00:01:29	00:01:31	No, seriously, I think I hear a car.	N
18	00:01:31	00:01:32	Will you relax? No, really.	N
19	00:01:32	00:01:34	You're paranoid.	N
20	00:01:39	00:01:41	Oh, my God.	N
21	00:01:41	00:01:42	I could get used to this place.	Y
22	00:01:42	00:01:43	I bet you could.	Y
23	00:01:43	00:01:44	I could.	N
24	00:01:45	00:01:46	You're an animal.	Y
25	00:01:46	00:01:48	The backyard is the best part of the house.	N
26	00:01:48	00:01:49	Really? Is there a Jacuzzi?	N
27	00:01:54	00:01:57	Oh, my God.	N
28	00:01:57	00:02:00	Looks like something out of a magazine.	N
29	00:02:26	00:02:28	Cal and Monica Newman.	N
30	00:02:28	00:02:31	Owners of the house. My guess, second marriage.	N
31	31	31	00:02:31	00:02:32	'Cause she's a babe and he's...	N
32	00:02:32	00:02:34	He's, uh...	N
33	00:02:34	00:02:35	got a good sense of humor.	N
34	00:02:44	00:02:49	.380 auto caliber.	N
35	00:02:54	00:02:56	Gunshot, right temple.	N
36	00:02:56	00:02:59	Women don't usually shoot themselves in the head do they, Catherine?	N
37	00:02:59	00:03:03	Well, gunshots do a number on your face so typically women prefer pills.	N
38	00:03:04	00:03:06	So what are we calling this, murder, suicide, what?	N
39	00:03:06	00:03:09	Is the husband around?	N
40	00:03:09	00:03:10	No.	N
41	00:03:12	00:03:15	Dead female spouse plus missing husband...	N
42	00:03:15	00:03:17	equals murder.	N
43	00:03:53	00:03:54	Okay, Warrick, hit it.	N
44	00:04:00	00:04:03	White female, multiple bruising...	N
45	00:04:03	00:04:06	Bullet hole to the temple doesn't help.	N
46	00:04:06	00:04:09	.380 auto on the side.	N
47	00:04:09	00:04:13	Yeah, somebody manhandled her pretty good before they killed her.	N
48	00:04:33	00:04:35	Reminds me of my daughter.	N
49	00:04:35	00:04:37	She used throw butts out the window, too.	N
50	00:04:37	00:04:40	The Newmans have kids?	N
51	00:04:40	00:04:43	A kid. Son, 15, Max Newman.	N
52	00:04:43	00:04:45	He's MIA like the father.	N
53	00:04:45	00:04:49	The secretary said he went out for lunch and never came back.	N
54	00:04:49	00:04:51	I checked the garage-- three cars.	N
55	00:04:51	00:04:54	None of the hoods are hot.	N
56	00:04:54	00:04:56	We're missing something.	N
57	00:04:56	00:04:58	Grissom. Mr. Grissom.	N
58	00:04:58	00:05:01	Where would I find Mr. Grissom?	N
59	00:05:02	00:05:03	Great, great. Thank you very much. Mr. Grissom?	N
60	00:05:03	00:05:06	Hi, I'm Augie Heitz.	N
61	00:05:06	00:05:07	This is my listing.	N
62	00:05:08	00:05:09	Someone died, I know.	N
63	00:05:09	00:05:11	It's a terrible thing.	N
64	00:05:11	00:05:14	But we got people knocking down awnings stomping through the flower beds.	N
65	00:05:14	00:05:17	How am I supposed to sell this house?	N
66	00:05:17	00:05:18	You're not.	N
67	00:05:18	00:05:20	It's a crime scene.	N
68	00:05:20	00:05:23	Mr. Heitz, you're Mr. Newman's broker.	N
69	00:05:23	00:05:25	Have you seen your client lately?	N
70	00:05:25	00:05:27	What, you kidding?	N
71	00:05:27	00:05:30	I mean, this is actually the beauty of the service I provide.	N
72	00:05:30	00:05:32	My clients never have to see me.	N
73	00:05:32	00:05:35	They don't even have to be home when I show their house.	N
74	00:05:35	00:05:36	Do you always give out the combination to your lockboxes?	N
75	00:05:37	00:05:38	It's illegal.	N
76	00:05:38	00:05:40	It's a hot market.	N
77	00:05:40	00:05:42	Um...	N
78	00:05:42	00:05:43	You know, I had a fish on the line.	N
79	00:05:43	00:05:46	Potential bidding war.	N
80	00:05:46	00:05:47	Look... ( clears throat )	N
81	00:05:47	00:05:51	I only give out the combination to people that I really trust.	N
82	00:05:55	00:05:56	All right, look, I read rooms for a living.	N
83	00:05:57	00:05:59	That closet was tossed. The carpet lit up.	N
84	00:05:59	00:06:01	So I'm going to ask you again.	Y
85	00:06:01	00:06:03	What were you doing in there besides copulating?	Y
86	00:06:05	00:06:07	It was my idea.	Y
87	00:06:07	00:06:11	Right. Well, we found this laptop on the vanity still on.	N
88	00:06:11	00:06:13	You didn't play with it, too, did you?	Y
89	00:06:18	00:06:20	Hey, Warrick.	N
90	00:06:20	00:06:21	Check this out.	N
91	00:06:24	00:06:26	It's a little thin for blood, isn't it?	N
92	00:06:26	00:06:28	Yeah.	N
93	00:06:31	00:06:34	What do you...?	N
94	00:06:34	00:06:37	Tastes like sugar water.	N
95	00:06:37	00:06:38	Erythrosine.	N
96	00:06:38	00:06:40	Red dye number three.	N
97	00:06:40	00:06:43	Hummingbirds do love the color red.	N
98	00:06:43	00:06:46	You've been watching way too much Discovery Channel.	N
99	00:06:46	00:06:48	This guy needs a girl.	N
100	00:06:49	00:06:51	I'm going to check out the cabana.	N
101	00:06:51	00:06:52	No visible footprints.	N
102	00:06:52	00:06:54	Doesn't mean someone wasn't out here.	N
103	00:06:55	00:06:56	Grab the LS.	N
104	00:06:56	00:06:58	Yeah.	N
105	00:07:00	00:07:01	Hey. Sara.	N
106	00:07:03	00:07:05	I am so sorry.	N
107	00:07:05	00:07:08	I paged you two hours ago.	N
108	00:07:08	00:07:09	Right. Uh, it's my day off.	N
109	00:07:10	00:07:11	I was up in Pahrump at some vineyard.	N
110	00:07:12	00:07:13	You told me to get a life, remember?	N
111	00:07:13	00:07:14	Did I?	N
112	00:07:17	00:07:18	I'm sorry, but I needed you.	N
113	00:07:19	00:07:21	Dispatch called in a 419 at Tuscadero High School.	N
114	00:07:21	00:07:22	You're on your own.	N
115	00:07:22	00:07:24	On my own?	N
116	00:07:24	00:07:27	Solo.	N
117	00:07:31	00:07:33	See you around.	N
118	00:07:34	00:07:36	Solo?	N
119	00:07:38	00:07:42	So does this mean when I come in on my day off I get to work solo?	N
120	00:07:42	00:07:44	Process.	N
121	00:07:51	00:07:54	Whoa.	N
122	00:07:54	00:07:58	I got what looks like two sets of prints.	N
123	00:08:00	00:08:04	Ballpark in a size ten from the house.	N
124	00:08:04	00:08:07	And what looks like a...	N
125	00:08:07	00:08:13	size 12, possibly from the pool.	N
126	00:08:13	00:08:16	There were definitely two guys here, Griss.	N
127	00:08:16	00:08:19	Now we just need to figure out if one of them was Mr. Newman.	N
128	00:08:19	00:08:20	Hey, fellas.	N
129	00:08:20	00:08:24	Looks like the husband pulled a Clark Kent and left all his clothes behind.	N
130	00:08:24	00:08:26	Couldn't have gone far.	N
131	00:08:26	00:08:29	I got his wallet, credit card and keys.	N
132	00:08:31	00:08:32	You hear that?	N
133	00:08:32	00:08:33	What is that?	N
134	00:08:33	00:08:35	Oh, yeah, it's the pool.	N
135	00:08:35	00:08:36	It's been doing it all night.	N
136	00:08:36	00:08:38	Sounds like it's clogged.	N
137	00:08:38	00:08:40	Did someone check this pool?	N
138	00:08:40	00:08:44	First officer said it was clear.	N
139	00:08:44	00:08:46	Does that pool look clear to you?	N
140	00:08:47	00:08:49	Uh... no.	N
141	00:08:51	00:08:54	One of you guys is going in.	N
142	00:09:05	00:09:06	I'll go in the pool.	N
143	00:09:44	00:09:46	Oh, man!	N
144	00:09:46	00:09:48	Male D.B.	N
145	00:09:55	00:09:56	You have dinner yet?	N
146	00:09:56	00:09:58	Yeah. Why?	N
147	00:09:58	00:10:01	You might be seeing it again.	N
148	00:10:04	00:10:06	Mandy Kirk.	N
149	00:10:06	00:10:07	Seventeen.	N
150	00:10:07	00:10:08	Seventeen.	N
151	00:10:08	00:10:09	Senior.	N
152	00:10:09	00:10:11	Janitor found her.	N
153	00:10:11	00:10:13	Hi, David. Hey.	N
154	00:10:20	00:10:22	Eviscerated.	N
155	00:10:22	00:10:23	Maybe a wild animal.	N
156	00:10:23	00:10:26	They picked up a mountain lion last week in Henderson.	N
157	00:10:26	00:10:28	Suburbs are encroaching on the hinterlands.	N
158	00:10:28	00:10:31	We'll know more after the autopsy.	N
159	00:10:31	00:10:35	It's a cheerleader.	N
160	00:10:35	00:10:37	She had to have good lungs.	N
161	00:10:37	00:10:40	How come nobody heard her scream?	N
162	00:10:49	00:10:51	Didn't have to do much of a Y.	N
163	00:10:51	00:10:53	Attack did it for me.	N
164	00:10:53	00:10:54	Died of exsanguination.	N
165	00:10:54	00:10:55	Bled out.	N
166	00:10:55	00:10:58	Trauma to her internal organs.	N
167	00:10:58	00:11:01	Spleen, liver, heart they all sustained multiple mastications.	N
168	00:11:01	00:11:03	Hmm.	N
169	00:11:03	00:11:04	You able to isolate the species?	N
170	00:11:04	00:11:07	From the tooth mark on her left ninth rib.	N
171	00:11:11	00:11:12	Dog maybe?	N
172	00:11:13	00:11:15	Teeth marks are too small for a mountain cat.	N
173	00:11:15	00:11:16	They're human.	N
174	00:11:16	00:11:19	You're lying.	N
175	00:11:22	00:11:27	You can see the bridgework on this impression of a premolar and an adjoining molar.	N
176	00:11:27	00:11:31	Can you tell how old the attacker is?	N
177	00:11:31	00:11:35	Well, I can't give you the exact age but wisdom teeth erupt between 16 and 30.	N
178	00:11:35	00:11:38	And there's no evidence of a wisdom molar on this impression.	N
179	00:11:38	00:11:39	Thanks.	N
180	00:11:42	00:11:43	Oh, one more thing.	N
181	00:11:43	00:11:47	I found an infection in the mucus overlying the large intestine.	N
182	00:11:47	00:11:50	This girl suffered from the E-coli bacteria.	N
183	00:11:50	00:11:52	E-coli?	N
184	00:11:52	00:11:53	Unsanitary conditions?	N
