	start	end	text	label
0	00:01:25	00:01:27	That one's not ours.	N
1	00:01:28	00:01:28	You sure?	N
2	00:01:29	00:01:32	I authorize all cadavers and associated research.	N
3	00:01:32	00:01:33	He's not ours.	N
4	00:01:36	00:01:41	People donate their body to science end up submerged in a pond?	N
5	00:01:41	00:01:42	Crammed in a car?	N
6	00:01:42	00:01:45	Body farm; creepy.	N
7	00:01:45	00:01:47	A body farm is not creepy.	N
8	00:01:47	00:01:50	It's a controlled study of situational decomposition.	N
9	00:01:50	00:01:51	All in all, a very healthy place.	N
10	00:01:51	00:01:54	Tell that to slim hanging from the tree.	N
11	00:01:54	00:01:57	Whoever placed our victim here knew that the body farm existed.	N
12	00:01:57	00:02:00	What they didn't know is each body is tracked by a bunch of scientists.	N
13	00:02:00	00:02:03	Can't just slip a card into the deck.	N
14	00:02:03	00:02:05	Well, he's not in rigor. TSD is under six hours.	N
15	00:02:05	00:02:07	I'll move him as soon as your finished.	N
16	00:02:07	00:02:08	Any I.D.?	N
17	00:02:08	00:02:09	None.	N
18	00:02:09	00:02:11	Okay, I'm going to move him.	N
19	00:02:17	00:02:19	Gunshot wound to the chest.	N
20	00:02:19	00:02:21	Well, look.	N
21	00:02:21	00:02:23	One of your friends.	N
22	00:02:33	00:02:35	It's a carpet beetle.	N
23	00:02:35	00:02:37	It shouldn't be here.	N
24	00:02:37	00:02:39	Vic seem more like a hardwood floors kind of guy to you?	N
25	00:02:39	00:02:44	Carpet beetles are the last to arrive at a corpse-- when it's almost a skeleton.	N
26	00:02:44	00:02:46	I mean, this guy's still fresh.	N
27	00:02:53	00:02:56	David, get this body out of here now!	N
28	00:02:56	00:02:58	We got cross contamination!	N
29	00:03:32	00:03:34	Wow, you got to go to the body farm?	N
30	00:03:34	00:03:35	Yeah.	N
31	00:03:35	00:03:36	I've always wanted to go there.	N
32	00:03:36	00:03:37	What was it like?	N
33	00:03:38	00:03:39	Quiet.	N
34	00:03:39	00:03:41	I hear Grissom goes there all the time.	N
35	00:03:41	00:03:43	Like even on his nights off.	N
36	00:03:43	00:03:46	Why does that not surprise me?	N
37	00:03:48	00:03:51	Man, something stinks in here again.	N
38	00:03:51	00:03:53	What, bad milk? Cottage-cheese bad?	N
39	00:03:53	00:03:56	Worse. It's all over my sandwich.	N
40	00:03:56	00:03:57	Smell that.	N
41	00:04:05	00:04:06	Yeah.	N
42	00:04:07	00:04:09	He's got one of his experiments in there.	N
43	00:04:09	00:04:10	You're kidding me?	N
44	00:04:10	00:04:11	Bugs or blood?	N
45	00:04:11	00:04:12	Not bugs.	N
46	00:04:12	00:04:13	Oh, that's so not cool.	N
47	00:04:13	00:04:14	That's a community fridge.	N
48	00:04:14	00:04:17	Someone has got to talk to Grissom about this.	N
49	00:04:17	00:04:18	Talk to me about what?	N
50	00:04:18	00:04:21	You leaving your experiments in our refrigerator.	N
51	00:04:21	00:04:22	The lab fridge was full.	N
52	00:04:22	00:04:23	I put in last night.	N
53	00:04:23	00:04:24	Well...	N
54	00:04:24	00:04:27	I'm going to test for horizontal motion on bloodstains.	N
55	00:04:27	00:04:29	Vis-a-vis surface textures.	N
56	00:04:29	00:04:32	Hey, any of you guys got any linoleum at home?	N
57	00:04:32	00:04:35	That blood is rank, man.	N
58	00:04:35	00:04:39	I know. That's why the Red Cross gives it to us 'cause it's past its expiration date.	N
59	00:04:42	00:04:45	Anything new on the body farm victim?	N
60	00:04:45	00:04:47	I gave the prints to Identification.	N
