	start	end	text	label
0	00:00:19	00:00:22	I don't wanna go!	N
1	00:00:22	00:00:24	Whoa! Ooh!	N
2	00:00:24	00:00:26	Oh, Mommy.	N
3	00:00:27	00:00:29	We're all going to die.	N
4	00:00:30	00:00:32	Joey, put your seat belt on. NOW.	N
5	00:00:36	00:00:37	Hold on tight, here we go!	N
6	00:01:02	00:01:04	Okay, guys, come on.	N
7	00:01:04	00:01:06	That was so fun.	N
8	00:01:06	00:01:10	All right, ladies and gentlemen, welcome to Pharaoh's Fever.	N
9	00:01:10	00:01:12	Buckle up. Get ready to scream.	N
10	00:01:14	00:01:17	That was so awesome.	N
11	00:01:17	00:01:20	Um, we'll ride it in a minute.	N
12	00:01:20	00:01:25	Um, four King Tut burgers, uh, two Nile River ice teas and two milks.	N
13	00:01:25	00:01:28	Milk is nasty. Yeah.	N
14	00:01:58	00:02:02	So, Dr. Thrillseeker, you ever been on this roller coaster?	N
15	00:02:02	00:02:04	Pharaoh's Fever, yeah...	N
16	00:02:05	00:02:08	but my ride ended at the platform.	N
17	00:02:10	00:02:11	What do you know?	N
18	00:02:12	00:02:14	Six dead.	N
19	00:02:14	00:02:20	Park full of eyewitnesses saw the train fly off the tracks. 401B.	N
20	00:02:20	00:02:21	Accident with injury.	N
21	00:02:21	00:02:22	Uh-huh.	N
22	00:02:22	00:02:24	It's also a 418B.	N
23	00:02:24	00:02:27	A runaway?	N
24	00:02:28	00:02:30	A runaway train.	N
25	00:03:08	00:03:09	Hey.	N
26	00:03:09	00:03:10	Sorry we're late.	N
27	00:03:10	00:03:13	There was a news van blocking the entrance.	N
28	00:03:13	00:03:16	This is the first time a roller coaster has derailed in Clark County.	N
29	00:03:16	00:03:20	Huge criminal and civil liabilities issues, so keep it quiet.	N
30	00:03:20	00:03:22	Photograph the scene.	N
31	00:03:22	00:03:24	Bag and tag all the detritus.	N
32	00:03:25	00:03:26	Forklift anything bigger than Greg.	N
33	00:03:26	00:03:32	We're going to put up a tent on the other side of the parking lot for accident reconstruction. Questions?	N
34	00:03:32	00:03:37	Yeah. What's that guy doing so far away from the others?	N
35	00:03:38	00:03:41	Curious, isn't it?	N
36	00:03:41	00:03:46	So, when he asks if anybody has any questions, he's not really asking?	N
37	00:03:46	00:03:54	Well, I don't know much about roller coaster accidents, but in auto collisions, the victims found furthest away from the car usually weren't wearing a seat belt.	N
38	00:03:54	00:03:56	That'd be my bet.	N
39	00:04:01	00:04:04	Okay, let's go to work.	N
40	00:04:04	00:04:05	What should I do?	N
41	00:04:05	00:04:10	Photo-evidence log-- just record everything we collect, okay?	N
42	00:04:25	00:04:28	Couple of mountain bikers called in the body.	N
43	00:04:28	00:04:30	Coroner just arrived.	N
44	00:04:32	00:04:34	Hi, David.	N
45	00:04:34	00:04:36	Hey.	N
46	00:04:37	00:04:38	Tessa Press.	N
47	00:04:38	00:04:41	School I.D. was in her pocket.	N
48	00:04:41	00:04:42	She's 13.	N
49	00:04:42	00:04:45	I hate these cases.	N
50	00:04:45	00:04:50	Now... the body position is inconsistent with her lividity.	N
51	00:04:51	00:04:54	After she died, blood settled to her anterior and lividity fixed.	N
52	00:04:54	00:04:56	So she had been facedown.	N
53	00:04:56	00:04:57	Yeah.	N
54	00:04:58	00:05:00	And someone dumped her face up.	N
55	00:05:00	00:05:02	How long has she been here?	N
56	00:05:02	00:05:06	I'll defer that question to the insects.	N
57	00:05:12	00:05:13	Instar maggots.	N
58	00:05:14	00:05:20	Given the ambient temperature and last night's rain, I'd estimate she's been out here 24 hours.	N
59	00:05:20	00:05:24	Takes that long for blowfly eggs to hatch.	Y
60	00:05:28	00:05:30	tire prints, shoe impressions.	N
61	00:05:30	00:05:32	Let's just hope there's some evidence on her body.	N
62	00:05:32	00:05:37	If you're going to drive all the way out here to dump a body, why not take another ten minutes and bury her?	N
63	00:05:37	00:05:41	Guess it wasn't worth the killer's time.	N
64	00:06:34	00:06:36	So, how long you been operating the roller coaster?	Y
65	00:06:36	00:06:38	Couple of months. I got a promotion.	Y
66	00:06:38	00:06:39	I used to work the merry-go-round.	Y
67	00:06:40	00:06:41	That's a promotion, huh?	N
68	00:06:41	00:06:44	Yeah. Only little kids go on the merry-go-round.	N
69	00:06:44	00:06:48	Oh, I see. So you get to meet girls your own age on Pharaoh's Fever.	N
70	00:06:48	00:06:50	Yeah, something like that.	N
71	00:06:50	00:06:53	What kind of training do you get to be an operator?	N
72	00:06:53	00:06:55	Training? I release the brake.	N
73	00:06:55	00:06:57	I press a button.	N
74	00:06:57	00:06:58	It's green and marked start.	N
75	00:06:58	00:07:00	I get the picture.	Y
76	00:07:00	00:07:01	All right, look, there are six victims.	Y
77	00:07:01	00:07:04	It'd be helpful to know where each of them was sitting.	N
78	00:07:04	00:07:06	Um...	N
79	00:07:06	00:07:08	front bench was a girl.	N
80	00:07:08	00:07:09	She was blond.	N
81	00:07:09	00:07:11	Yeah? Cute.	N
82	00:07:14	00:07:18	Uh, followed by a punk, old folks and some other dude.	N
83	00:07:20	00:07:21	That's only five.	N
84	00:07:21	00:07:24	That's all I remember.	N
85	00:07:26	00:07:28	See yourself scream?	N
86	00:07:28	00:07:30	What's this about? We got a digital camera.	N
87	00:07:30	00:07:31	It's mounted right over there.	N
88	00:07:32	00:07:34	How does that work?	N
89	00:07:34	00:07:35	Camera's on a trigger.	N
90	00:07:35	00:07:40	Train passes by, automatically snaps a picture and stores it in the computer's hard drive.	N
91	00:07:40	00:07:41	The train was airborne.	N
92	00:07:41	00:07:44	Never even got close to the camera.	N
93	00:07:44	00:07:47	I'm still going to want to take that computer.	N
94	00:07:53	00:07:56	I'm the park's chief engineer.	N
95	00:07:56	00:08:00	Been working on coasters since before I was tall enough to ride 'em.	N
96	00:08:00	00:08:03	You responsible for maintaining this roller coaster?	N
97	00:08:03	00:08:04	I keep all the rides up to code.	N
98	00:08:04	00:08:08	You have any idea what would cause this train to go off the track?	N
99	00:08:08	00:08:10	Well, in theory, I didn't think it was possible.	N
100	00:08:10	00:08:12	There's never been an accident like this anywhere.	N
101	00:08:13	00:08:15	So, you're an expert?	N
102	00:08:15	00:08:17	On roller coasters? Hell yeah.	N
103	00:08:17	00:08:21	Ten years of service on Six Flags' American Eagle before moving to Vegas.	N
104	00:08:21	00:08:23	Do you know what that is?	N
105	00:08:23	00:08:27	That's a nut. It, uh... secures the wheel to the screw.	N
106	00:08:27	00:08:29	Well, one loose screw...	N
107	00:08:29	00:08:33	couldn't cause a train to derail, could it?	N
108	00:08:33	00:08:36	No, no, there's, uh... eight wheels per train.	N
109	00:08:36	00:08:38	They-they'd all have to be loose, and, uh...	N
110	00:08:38	00:08:40	that just doesn't happen.	N
111	00:08:52	00:08:55	There are three things in human life that are important.	N
112	00:08:55	00:09:04	The first is to be kind; the second one is to be kind; and the third one is to be kind.	N
113	00:09:04	00:09:05	Henry James.	N
114	00:09:05	00:09:10	Very good. Author of one of the greatest horror stories Turn of the Screw.	N
115	00:09:10	00:09:11	And I'm looking for one.	N
116	00:09:12	00:09:13	A screw? Yes.	N
117	00:09:13	00:09:15	Oh, well...	N
118	00:09:15	00:09:18	technically, these are eccentric shafts, not screws.	N
119	00:09:18	00:09:22	Well, as long as you can screw a nut on it, it's a screw.	N
120	00:09:23	00:09:24	Turn of the Screw isn't really a horror story.	N
121	00:09:25	00:09:26	It's more of a mystery.	N
