Unnamed: 0	start	end	text	label
0	00:00:13	00:00:14	Good afternoon, Mr. McGrath.	N
1	00:00:14	00:00:15	How’s the golf?	N
2	00:00:20	00:00:22	Hi.	N
3	00:00:22	00:00:23	You look lost.	N
4	00:00:23	00:00:28	Okay, the stairs are all the way back to the left and the real estate office is at the end of the hall.	N
5	00:00:28	00:00:30	Okay? Bye.	N
6	00:00:30	00:00:32	Ooh, are those for me?	N
7	00:00:32	00:00:33	Hi, Dominic, sign here.	N
8	00:00:33	00:00:34	Okay.	N
9	00:00:34	00:00:37	I tell you, though this is going to be worth a lot of money someday.	N
10	00:00:37	00:00:39	I know, Elvis.	N
11	00:00:39	00:00:40	Okay.	N
12	00:00:40	00:00:41	See you. Okay, bye-bye.	N
13	00:00:42	00:00:44	Domino, it’s your turn to pick up dinner.	N
14	00:00:44	00:00:45	Okay, Jake-o.	N
15	00:00:45	00:00:47	Listen, uh, this goes to Cooley Real Estate.	N
16	00:00:47	00:00:48	That’s on two, all right?	N
17	00:00:48	00:00:51	And the Fed Ex is running a little bit late on the pick-up.	N
18	00:00:51	00:00:52	I’ll be back in...	N
19	00:00:52	00:00:54	hmm, about ten minutes, all right?	N
20	00:00:54	00:00:55	You got it. All right, buddy.	N
21	00:01:34	00:01:38	Oh, these fire guys really know how to trash a crime scene.	N
22	00:01:38	00:01:39	That’s what they do.	N
23	00:01:39	00:01:42	Put wet stuff on the red stuff.	N
24	00:01:42	00:01:45	We’re all clear to go in, but here’s what we’ve got.	N
25	00:01:45	00:01:46	Couple of head wounds.	N
26	00:01:46	00:01:48	Elderly guy had his arm torn off.	N
27	00:01:48	00:01:50	The only fatality so far is Jake Richards, a security guard.	N
28	00:01:50	00:01:53	Body’s still inside.	N
29	00:02:02	00:02:03	How big you think this bomb was?	N
30	00:02:03	00:02:05	It’s not the size of the bomb.	N
31	00:02:05	00:02:08	It’s the overpressure in the air around it.	N
32	00:02:25	00:02:27	The Van Gogh effect.	N
33	00:02:28	00:02:29	In stereo.	N
34	00:02:29	00:02:31	Both ears gone.	N
35	00:02:31	00:02:33	A perfectly symmetrical amputation.	N
36	00:02:33	00:02:36	Means he was looking directly at the bomb when it went off.	N
37	00:02:36	00:02:41	So either it drew his attention or it was contained in something that seemed benign.	N
38	00:02:43	00:02:45	Smell the sulfur?	N
39	00:02:45	00:02:47	Uh-huh.	N
40	00:02:50	00:02:51	Got your lighter, Jim?	N
41	00:02:51	00:02:53	Sure.	N
42	00:02:58	00:02:59	Light this.	N
43	00:03:02	00:03:04	Gunpowder.	N
44	00:03:04	00:03:06	Well, we know the propellant.	N
45	00:03:06	00:03:09	So would you care to make a preliminary call on this?	N
46	00:03:09	00:03:10	I’d love to.	N
47	00:03:12	00:03:14	Seat of the bomb is here.	N
48	00:03:14	00:03:17	Victim was thrown...	N
49	00:03:17	00:03:19	three meters.	N
50	00:03:19	00:03:24	His clothes are torn but not burnt, indicating a low-velocity propellant.	N
51	00:03:24	00:03:25	6,000-7,000 feet per second.	N
52	00:03:25	00:03:28	Who? Why?	Y
53	00:03:28	00:03:31	Will he do it again?	Y
54	00:03:31	00:03:33	Time will tell.	N
55	00:04:14	00:04:20	The dirty little secret of bombs is how easy they are to make and use.	N
56	00:04:20	00:04:24	Our murder weapon’s here someplace in a thousand pieces.	N
57	00:04:24	00:04:26	We have to find it and put it back together again.	N
58	00:04:26	00:04:27	Where do we start?	N
59	00:04:27	00:04:29	If it’s not growing pick it up.	N
60	00:04:29	00:04:32	We cart everything we find back to the lab. And then what?	N
61	00:04:32	00:04:35	Stay curious.	N
62	00:04:36	00:04:38	Can you fill in the blanks?	N
63	00:04:38	00:04:39	Bombs explode.	N
64	00:04:39	00:04:42	Weird thing is their components survive the explosion.	N
65	00:04:42	00:04:45	If we can piece together this bomb we’re closer to finding who did this.	Y
66	00:04:45	00:04:49	So, Warrick, when you’re photographing this debris can you, uh...?	N
67	00:04:49	00:04:52	Uh, I know, looky-loos.	N
68	00:05:38	00:05:41	Come on, Nick, it’s my last night in Sin City.	N
69	00:05:41	00:05:42	One more drink, man.	N
70	00:05:42	00:05:43	Oh, no, I just pulled a double.	N
71	00:05:43	00:05:45	And I still have to file my shift report.	N
72	00:05:45	00:05:47	Man, you’re off the clock.	N
73	00:05:47	00:05:50	You’d have never passed up a wild night back at A&amp;M.	N
74	00:05:50	00:05:52	Well, I guess I grew up.	N
75	00:05:52	00:05:53	Too bad, check that out.	N
76	00:06:00	00:06:01	Enjoy.	N
77	00:06:01	00:06:03	You must really love your job, man.	N
78	00:06:05	00:06:06	Ladies...	N
79	00:06:14	00:06:16	Here you go. Thanks, man.	N
80	00:06:16	00:06:17	Get your hands off me!	Y
81	00:06:17	00:06:19	Kristy, you’re not going anywhere.	N
82	00:06:19	00:06:21	You got that?	N
83	00:06:21	00:06:23	Come on. Relax a little bit.	N
84	00:06:23	00:06:24	Settle down.	N
85	00:06:24	00:06:26	Kristy? Kristy! You don’t own me, Jack.	Y
86	00:06:26	00:06:27	Nobody does.	N
87	00:06:27	00:06:28	Hey.	N
88	00:06:28	00:06:29	Back off.	N
89	00:06:29	00:06:30	Hey, just mind your own business. Nick.	N
90	00:06:30	00:06:32	I know him. He’s a cop.	N
91	00:06:32	00:06:34	A crime scene investigator.	N
92	00:06:34	00:06:36	Nick, tell him to leave me alone.	Y
93	00:06:36	00:06:39	Nobody tells me to do anything...	Y
94	00:06:39	00:06:40	Hey, are we going to have a problem?	N
95	00:06:40	00:06:45	No, officer, we’re not going to have a problem.	Y
96	00:06:45	00:06:46	I’ll see you around, baby.	N
97	00:06:55	00:06:57	You okay?	N
98	00:06:57	00:06:58	Yeah.	N
99	00:06:58	00:07:00	Yeah, I’m fine.	N
100	00:07:00	00:07:02	That was good timing. Thanks.	N
101	00:07:02	00:07:05	I suppose you need a ride.	N
102	00:07:05	00:07:07	Do you mind?	N
103	00:07:07	00:07:09	No.	N
104	00:07:09	00:07:11	Come on.	N
105	00:07:11	00:07:12	Thanks.	N
106	00:07:14	00:07:18	Seems like every time we run into each other I’m getting into trouble.	N
107	00:07:18	00:07:22	Not that it’s any of my business but maybe you should think about changing careers.	N
108	00:07:22	00:07:25	Not every john is like that guy.	Y
109	00:07:25	00:07:28	Besides, I’m making a change.	N
110	00:07:28	00:07:30	I’m going back to school.	N
111	00:07:30	00:07:32	Yeah?	N
112	00:07:32	00:07:34	I’ve always wanted to study communications.	N
113	00:07:34	00:07:35	I’m good with people.	N
114	00:07:35	00:07:38	That’s good.	N
115	00:07:38	00:07:40	You think so?	N
116	00:07:40	00:07:42	Yeah, I do.	N
117	00:07:42	00:07:45	Well, I’m going to go inside now.	N
118	00:07:47	00:07:52	Unless, of course, you’d like to come in for a drink.	N
119	00:07:52	00:07:55	I don’t think that’d be a good idea.	N
120	00:07:55	00:07:56	Come on.	N
121	00:07:56	00:08:00	Just ’cause you’re a crime scene analyst you don’t have to analyze everything.	N
122	00:08:25	00:08:27	FP.	N
123	00:08:33	00:08:36	Mr. Grissom.	N
124	00:08:39	00:08:40	Oh, uh...	N
125	00:08:40	00:08:42	Hi, I’ve...	N
126	00:08:42	00:08:44	I’ve, um, I’ve seen you on TV before.	N
127	00:08:44	00:08:46	I admire your work.	N
128	00:08:46	00:08:47	Well, thank you.	N
129	00:08:47	00:08:48	And your name is...?	N
130	00:08:48	00:08:49	Dominic.	N
131	00:08:49	00:08:53	Uh, i-c rather than with the i-c-k... uh, Kretzker.	N
132	00:08:53	00:08:56	I’m the, uh, Hansen Building Security Detail.	N
133	00:08:56	00:08:58	Did somebody from Homicide talk to you yet?	N
134	00:08:58	00:09:01	Yeah, as a matter of fact, they said that I was going to be talking to you.	N
135	00:09:01	00:09:02	Because, well, we are...	N
136	00:09:02	00:09:04	you know, we’re both in law enforcement, and...	N
137	00:09:04	00:09:06	Right.	N
138	00:09:06	00:09:09	Did you know the victim-- the other security guard?	N
139	00:09:09	00:09:11	Oh, yeah, he was one of my best buddies.	N
140	00:09:11	00:09:16	As a matter of fact, you know, two minutes’ difference it would’ve been my face all over the news instead of his, right?	N
141	00:09:16	00:09:19	Would you, uh, like to be on the news?	N
142	00:09:19	00:09:19	Yeah.	N
143	00:09:19	00:09:21	Yeah.	N
144	00:09:21	00:09:23	I mean... only if I could help people, yes.	N
145	00:09:23	00:09:24	No, no.	N
146	00:09:24	00:09:26	I know what you’re thinking.	N
147	00:09:26	00:09:30	Uh, you know, my building blows up I’m over at Arby’s sucking down some extra sauce.	N
148	00:09:30	00:09:32	You know, how could I want to help people, right?	N
149	00:09:32	00:09:34	Well, I mean, realistically, what could you have done?	N
150	00:09:34	00:09:36	Well, I know a lot about bombs.	N
151	00:09:36	00:09:38	You know, pipe, power, powder.	N
152	00:09:38	00:09:41	The three Ps of mass destruction.	N
153	00:09:41	00:09:42	Huh.	N
154	00:09:42	00:09:44	Dominic...	N
155	00:09:44	00:09:45	with an i-c, not i-c-k... Yes sir?	N
156	00:09:45	00:09:48	Would you be interested in helping me in my investigation?	N
157	00:09:48	00:09:51	Are you serious?	N
158	00:09:52	00:09:54	Yeah, yes, sir.	N
159	00:09:54	00:09:56	I’ll be honored, sir.	N
160	00:09:56	00:09:58	Oh.	N
161	00:09:58	00:10:02	But we can’t tell anybody on the day shift, though because they’re going to get real jealous.	N
162	00:10:02	00:10:04	That’s good thinking.	N
163	00:10:04	00:10:06	Would you excuse me a minute?	N
164	00:10:06	00:10:08	Yes.	N
165	00:10:10	00:10:12	Keep an eye on that guy.	N
