	start	end	text	label
0	00:00:04	00:03:05	[♪ Spanish Music ♪] Female, early 30s, Hispanic descent, vitreous potassium was 11.74 milli-equivalents per liter, so PMI's approximately six hours.	N
1	00:03:05	00:03:07	00 a.m.	N
2	00:03:08	00:03:10	C.O.D.?	N
3	00:03:10	00:03:11	From what I got here, I can't tell you much.	N
4	00:03:11	00:03:17	Minimal dilation in the pupils indicates decapitation was postmortem.	N
5	00:03:17	00:03:24	Scalp shows naked follicles without hairs, no inflammation around them indicates removal was postmortem as well.	N
6	00:03:24	00:03:26	Ripped out in chunks.	N
7	00:03:27	00:03:30	Takes time and dedication to do something like that.	N
8	00:03:30	00:03:32	And a lot of hatred.	N
9	00:03:32	00:03:37	So her eyebrows have been shaved off and drawn back on with eyeliner.	N
10	00:03:37	00:03:40	I know that's popular among Latinos in 28th Street.	N
11	00:03:41	00:03:44	She could be a banger or a girlfriend of one.	N
12	00:03:44	00:03:48	Either way at least, she took good care of her teeth.	N
13	00:03:52	00:03:53	What is that, nine digits?	N
14	00:03:53	00:03:55	Social Security number.	N
15	00:03:55	00:04:00	Dentists usually put on some form of identification on removable bridgework.	N
16	00:04:00	00:04:02	It's better than a license plate.	N
17	00:04:26	00:04:33	Pulled a couple of likely palm prints on the newspaper the head was on, but I don't think that's going to be our best bet.	N
18	00:04:33	00:04:39	Okay, start with those, but make sure you run the partials off the box as well 'cause I got Ecklie looking over my shoulder, so, uh...	N
19	00:04:39	00:04:40	Cover your ass.	N
20	00:04:40	00:04:42	Yes. My pleasure.	N
21	00:04:42	00:04:45	Large, elevated vertebral scales.	N
22	00:04:45	00:04:47	Definitely not your typical U.S. Crotalus.	N
23	00:04:47	00:04:50	Herpetologists always throwing the Latin around.	N
24	00:04:50	00:04:52	What's wrong with just calling him rattlesnake?	N
25	00:04:52	00:04:55	My specialty, my jargon.	N
26	00:04:55	00:05:01	Stripes at the base of the neck makes it Crotalus simus, indigenous to southern coastal Mexico.	N
27	00:05:01	00:05:05	Apparent Mexican vic on a Mexican newspaper with a Mexican snake.	N
28	00:05:05	00:05:08	You don't find a whole lot of these buzz-worms around Vegas anyway, do you?	N
29	00:05:08	00:05:10	Nowhere outside a zoo.	N
30	00:05:10	00:05:12	These snakes like to burrow in damp soil.	N
31	00:05:13	00:05:15	They like it hot and humid.	N
32	00:05:15	00:05:16	We're hot and dry.	N
33	00:05:16	00:05:17	For a snake, big difference.	N
34	00:05:17	00:05:20	What are the chances that thing just crawled in their on its own?	N
35	00:05:20	00:05:24	In a newspaper dispenser in the middle of a desert city?	N
36	00:05:24	00:05:25	No way.	N
37	00:05:25	00:05:28	I think it was dead when it was shoved down the victim's throat.	N
38	00:05:42	00:05:43	The only car up here.	N
39	00:05:43	00:05:44	Security called it in.	N
40	00:05:44	00:05:46	Is that a handicap van?	N
41	00:05:46	00:05:47	Dead guy's in the driver's seat.	N
42	00:05:47	00:05:48	Any witnesses?	N
43	00:05:48	00:05:49	Nope.	N
44	00:05:49	00:05:51	And no surveillance either.	N
45	00:05:51	00:05:53	We ain't on the Strip, baby.	N
46	00:05:53	00:05:54	500 bucks and a Nevada license.	N
47	00:05:54	00:05:56	Vincent DeCarlo, 28.	N
48	00:05:59	00:06:03	It's an expensive-looking Italian suit just to be a chauffeur.	N
49	00:06:07	00:06:08	It's a wheelchair.	N
50	00:06:08	00:06:10	Any indication he's handicapped?	N
51	00:06:14	00:06:17	He's not wearing prosthetics and his soles are worn.	N
52	00:06:17	00:06:19	Somebody's missing their wheels.	N
53	00:06:19	00:06:22	Gunshot wound to the head.	N
54	00:06:22	00:06:24	Looks like it came through the windshield.	N
55	00:06:27	00:06:29	Crater on the windshield faces out.	N
56	00:06:29	00:06:33	Which means that the shot came from inside the van.	N
57	00:06:43	00:06:45	So he's tapped out.	N
58	00:06:45	00:06:46	Catherine asked if I could lend a hand.	N
59	00:06:46	00:06:47	Thanks.	N
60	00:06:52	00:06:53	You see that blood spot on the lapel?	Y
61	00:06:53	00:06:56	It's inconsistent with the head wound.	Y
62	00:06:56	00:06:59	To avoid cross-contamination, you think you could cut that out for me?	N
63	00:06:59	00:07:00	Oh, sure.	N
64	00:07:02	00:07:03	Possible GSR.	Y
65	00:07:05	00:07:10	Which means the shot was fired from the wheelchair.	N
66	00:07:10	00:07:11	How'd he shoot him in the face?	N
67	00:07:11	00:07:13	Hey, Vinnie.	N
68	00:07:17	00:07:21	So we got a guy who fired a shot from a wheelchair and then escaped on foot.	N
69	00:07:23	00:07:28	Social came back on the dental work of Veronica Juarez.	N
70	00:07:28	00:07:30	No immediate family in the States.	N
71	00:07:30	00:07:32	Apartment's leased in her name.	N
72	00:07:32	00:07:36	Well, that's why bangers have girlfriends; sign things they can't.	N
73	00:07:36	00:07:38	This is a pretty nice place.	N
74	00:07:38	00:07:40	A long way from 28th Street.	N
75	00:07:40	00:07:41	Sure is.	N
76	00:07:46	00:07:47	Catherine, Nick.	N
77	00:07:54	00:07:56	Gangbanger girlfriend with a degree?	N
78	00:07:56	00:07:58	Sounds like a rock band.	N
79	00:08:18	00:08:19	Hey, Vega?	N
80	00:08:20	00:08:23	Check out these pics.	N
81	00:08:24	00:08:26	Think she liked to party?	N
82	00:08:26	00:08:28	That barely looks like the same girl.	N
83	00:08:28	00:08:29	I know.	N
84	00:08:29	00:08:30	I'm going to check out the kitchen.	N
85	00:08:31	00:08:31	Okay.	N
86	00:08:32	00:08:34	Well, there's no signs of sexual activity.	N
87	00:08:40	00:08:41	Oh, hang on now.	N
88	00:08:46	00:08:49	That looks like pure crystal meth.	N
89	00:08:49	00:08:51	You could be up for a week straight on that stuff and not even know it.	N
90	00:08:51	00:08:53	Perfect drug for this town.	N
91	00:08:56	00:09:00	Hey, you think that our vic was a groupie?	N
92	00:09:04	00:09:06	Looks like a mariachi band with artillery.	N
93	00:09:06	00:09:09	I had a big dose of them when I worked with a gang unit in LA.	N
94	00:09:09	00:09:10	The band?	N
95	00:09:10	00:09:11	The scumbags who listen to that music.	N
96	00:09:11	00:09:13	Sinaloa cowboys.	N
97	00:09:13	00:09:14	Big drug producers.	N
98	00:09:14	00:09:23	Okay. We've got a female victim with a degree, Mexican artwork, drugs and Sinaloan cowboys.	N
99	00:10:13	00:10:17	¿Que paso, que paso, que paso?!	N
100	00:10:17	00:10:19	Hacienda Corona!	N
101	00:10:19	00:10:22	¿Como estan, como estan, como estan, como estan todos?	N
102	00:10:22	00:10:24	Que bueno, que bueno, que bueno!	Y
103	00:10:24	00:10:28	Otra cancion! Otra cancion!	Y
104	00:10:39	00:10:41	Carnal, conoces esta muchacha?	Y
105	00:10:43	00:10:44	Sordo, contestame!	N
106	00:10:44	00:10:45	That's Carla.	N
107	00:10:45	00:10:47	Carla? Not Veronica?	N
108	00:10:47	00:10:49	Nah. The girl in the picture told me her name was Carla.	N
109	00:10:50	00:10:52	Yeah, well, the bouncer says that she hangs out here a lot.	N
110	00:10:52	00:10:54	Yeah, I guess so. Yeah.	N
111	00:11:01	00:11:03	She, uh, friends with the band?	N
112	00:11:03	00:11:04	I don't know about friends.	N
113	00:11:04	00:11:07	I mean, her and every other girl in here jocks 'em.	N
114	00:11:07	00:11:10	I mean, Extremo, bro, they're the best. Come on.	N
115	00:11:22	00:11:30	I know my Spanish is a little rusty, but I think he just said, She was a liar, she wasn't who she said she was.	N
116	00:11:34	00:11:38	She stole my heart, so I stole her life.	N
117	00:11:43	00:11:44	I made the snake...	N
118	00:11:46	00:11:48	eat a snake.	N
119	00:11:52	00:11:53	...esta cancion...	N
120	00:12:02	00:12:03	Oye.	N
121	00:12:03	00:12:05	LVPD. We need to talk.	N
122	00:12:05	00:12:08	Leave your card, I'll send you a picture and autograph, huh?	N
123	00:12:08	00:12:11	That's not really what I'm after, my man. Whoa, whoa, whoa.	N
124	00:12:11	00:12:12	Excuse me.	N
125	00:12:12	00:12:13	I'm their manager. El jefe.	N
126	00:12:13	00:12:16	You want to ask my band questions, you can ask me first.	N
127	00:12:16	00:12:17	Great.	N
128	00:12:17	00:12:19	What can you tell us about the song they just played?	N
129	00:12:19	00:12:20	What do you want to know?	N
130	00:12:20	00:12:24	Quite frankly, the lyrics are very similar to a homicide we're investigating.	N
131	00:12:24	00:12:26	That narcocorrido was written ten years ago.	N
132	00:12:26	00:12:28	It's a classic.	N
133	00:12:28	00:12:29	Surprised you haven't heard it.	N
134	00:12:29	00:12:32	I don't listen to crap about doing drugs and killing cops.	N
135	00:12:35	00:12:37	Why don't you buy a CD on the way out.	N
136	00:12:38	00:12:38	Yeah, I might do that.	N
137	00:12:39	00:12:41	Hey, listen, one more thing, if you could.	N
138	00:12:41	00:12:43	This girl, you know who she is?	N
139	00:12:43	00:12:45	That's Carla.	N
140	00:12:45	00:12:46	She's dead?	N
141	00:12:46	00:12:47	Yeah.	N
142	00:12:47	00:12:51	That's too bad.	N
143	00:12:51	00:12:51	Yeah.	N
144	00:12:52	00:12:54	She was a loyal fan.	N
145	00:12:54	00:12:57	She knew the words to every song we did.	N
146	00:12:59	00:13:01	Anything else?	N
147	00:13:03	00:13:05	Yeah. Your name and number.	N
148	00:13:07	00:13:10	Hi.	N
149	00:13:11	00:13:15	You got a minute? Sure.	N
150	00:13:15	00:13:18	We really haven't had a chance to talk since the staff changes.	N
151	00:13:18	00:13:27	I, uh... I wanted to let you know that I said some things to Ecklie that might have done the team a disservice.	N
152	00:13:27	00:13:29	Ecklie wanted to break up the team, and he did.	N
153	00:13:29	00:13:33	He asked me if you and I had had our post-PEAP counseling session.	N
154	00:13:33	00:13:34	And we didn't.	N
155	00:13:34	00:13:37	Regardless, you should never have to cover for your boss.	N
156	00:13:37	00:13:38	I'm sorry.	N
157	00:13:38	00:13:42	You've always been a little more than a boss to me.	N
158	00:13:43	00:13:45	Why do you think I moved to Vegas?	N
159	00:13:48	00:13:51	Look, I know our relationship has been complicated.	N
160	00:13:51	00:13:53	It's probably my fault.	N
161	00:13:53	00:13:56	It's probably definitely my fault.	N
162	00:13:56	00:13:59	You completed your counseling, right?	N
163	00:13:59	00:14:00	Yeah. Yes.	N
164	00:14:00	00:14:01	And...?	N
165	00:14:01	00:14:05	Let's just say that...	N
166	00:14:05	00:14:07	I sometimes...	N
167	00:14:07	00:14:11	I look for validation in inappropriate places.	N
168	00:14:19	00:14:22	Look...	N
169	00:14:22	00:14:25	Let's, um...	N
170	00:14:28	00:14:30	It's okay.	N
171	00:14:30	00:14:32	Okay.	N
172	00:14:32	00:14:34	You know what, we did our session.	N
173	00:14:36	00:14:39	Don't forget to document this for Ecklie.	N
174	00:14:39	00:14:42	Right.	N
175	00:14:42	00:14:44	Thanks.	N
176	00:14:54	00:15:01	Bullet entered through the left zygomatic arch, then penetrated the brain, then fragmented up.	N
177	00:15:02	00:15:04	The bullet never exited?	N
178	00:15:04	00:15:05	Not even close.	N
179	00:15:06	00:15:13	The right ear injury is a separate wound unrelated to the entry in the face.	N
180	00:15:13	00:15:14	So he was shot twice.	N
181	00:15:14	00:15:17	Yeah, can you identify the weapon off these?	N
182	00:15:18	00:15:20	It's highly unlikely. The frags are too small.	N
183	00:15:20	00:15:23	I'll go back to the scene, see if I can find the AWOL bullet.	N
184	00:15:23	00:15:25	All right.	N
185	00:15:25	00:15:27	So I hear you found a wheelchair.	N
186	00:15:27	00:15:30	Yeah. No identifiable prints, only smudges.	N
