Unnamed: 0	start	end	text	label
0	00:00:18	00:00:20	Say it loud and say it proud!	N
1	00:00:20	00:00:21	Omega Zeta Pi!	N
2	00:00:23	00:00:24	Say it loud and say it proud!	N
3	00:00:24	00:00:26	Omega Zeta Pi!	N
4	00:00:33	00:00:33	Dude...	N
5	00:00:34	00:00:36	what's crawling on my face?	N
6	00:00:36	00:00:39	It's Fraternity Hell Week.	N
7	00:00:39	00:00:42	A pledge slipped and fell in this pile of maggots.	N
8	00:00:42	00:00:48	School of Agriculture is in charge of campus landscaping, so Security called me.	N
9	00:00:48	00:00:50	You were the first person I thought of.	N
10	00:00:50	00:00:52	Well, thank you, Eva. I'm honored.	N
11	00:00:52	00:00:54	You make your own mulch?	N
12	00:00:54	00:00:56	The university is self-sustaining.	N
13	00:00:56	00:00:58	A city within a city.	N
14	00:00:58	00:01:01	State institutions are encouraged to practice Xeriscaping.	N
15	00:01:02	00:01:03	Xeri meaning dry?	N
16	00:01:03	00:01:06	Landscaping using drought-tolerant plant life.	N
17	00:01:06	00:01:07	Conserves water.	N
18	00:01:07	00:01:10	There's no reason for these maggots to be here.	N
19	00:01:10	00:01:13	Dr. Grissom, your tea. Hold the tea bag?	N
20	00:01:13	00:01:15	Thank you, Brian.	N
21	00:01:20	00:01:21	Do, uh...	N
22	00:01:21	00:01:25	do you use scraps from the dining halls for your compost?	N
23	00:01:25	00:01:26	No. Why?	N
24	00:01:27	00:01:35	Well, if the devil requires a pound of flesh, this many maggots would require over a hundred.	N
25	00:01:35	00:01:37	Pounds of flesh?	N
26	00:01:54	00:01:58	Were you aware that the average college student weighs 135 pounds?	N
27	00:02:37	00:02:39	How long is this going to take?	N
28	00:02:39	00:02:41	If something happened to one of our students, don't you want to know?	N
29	00:02:41	00:02:42	Sure.	N
30	00:02:43	00:02:49	But on a campus this size, there's a thin line between satisfying curiosity and creating panic.	N
31	00:02:49	00:02:53	This stopped being about my curiosity the minute we found a human tooth.	N
32	00:02:54	00:02:58	We're now investigating a possible homicide.	N
33	00:03:01	00:03:04	Hey, Grissom, why is it hot?	N
34	00:03:04	00:03:07	Maggot digestion can generate heat up to 125 degrees.	N
35	00:03:07	00:03:13	Heat increases the rate of putrefaction, which speeds up the digestive process.	N
36	00:03:14	00:03:15	I don't see any tissue.	N
37	00:03:15	00:03:18	How long would it take for them to pick a body clean?	N
38	00:03:18	00:03:20	Assuming it's just one body?	N
39	00:03:20	00:03:21	A few days.	N
40	00:03:21	00:03:22	Yeah, and that's another thing.	N
41	00:03:22	00:03:26	I have a hard time believing that if a corpse was here, no one saw it.	N
42	00:03:26	00:03:27	And these bones?	N
43	00:03:27	00:03:30	They're uniform.	N
44	00:03:30	00:03:32	Same shape and size.	N
45	00:03:32	00:03:35	Yeah.	N
46	00:03:37	00:03:39	Same size as these wood chips.	N
47	00:04:05	00:04:06	This thing always this loud?	N
48	00:04:07	00:04:09	Yeah, but we're, we're kind of off the beaten path.	N
49	00:04:10	00:04:11	You use it every day?	N
50	00:04:11	00:04:13	Pretty much.	N
51	00:04:17	00:04:19	You think a human body could fit through there?	N
52	00:04:20	00:04:21	You planning something?	N
53	00:04:21	00:04:23	Gil Grissom, Las Vegas Crime Lab.	N
54	00:04:23	00:04:25	Walter Beerly, Master of the Universe.	N
55	00:04:25	00:04:27	Six cylinders.	N
56	00:04:27	00:04:29	200 horse power.	N
57	00:04:29	00:04:33	Thing's got an engine that would give most SUVs a run for their money.	N
58	00:04:33	00:04:34	And it's got one job.	N
59	00:04:34	00:04:36	Chopping crap up.	N
60	00:04:37	00:04:38	So the answer's yes.	N
61	00:04:42	00:04:44	Would take about 15 seconds.	N
62	00:04:44	00:04:45	May I?	N
63	00:04:45	00:04:47	You want to stick your head in there, be my guest.	N
64	00:04:51	00:04:52	What are you looking for?	N
65	00:04:52	00:04:54	Blood.	N
66	00:04:54	00:05:02	Oh, you're pretty much out of luck, 'cause I've been chipping all morning, and if there was any in there, it's probably gone.	N
67	00:05:02	00:05:05	See, wood absorbs moisture.	N
68	00:05:05	00:05:08	One of the reasons they use it for mulch.	N
69	00:05:17	00:05:18	Pregnant?	N
70	00:05:20	00:05:21	It's human.	N
71	00:05:34	00:05:36	Remember, you're on the clock, man.	N
72	00:05:36	00:05:42	About, uh, 24 hours... all of these maggots turn into flies.	N
73	00:06:05	00:06:07	What are you doing?	N
74	00:06:07	00:06:11	Day shift told me you didn't get any results off the tooth.	N
75	00:06:11	00:06:14	Yeah, it was a porcelain crown.	N
76	00:06:14	00:06:16	Root canal. No viable pulp.	N
77	00:06:16	00:06:18	I still need a DNA profile on our victim.	N
78	00:06:18	00:06:21	And since bone marrow extraction can be difficult...	N
79	00:06:21	00:06:24	I figured I'd go straight to the source.	N
80	00:06:24	00:06:27	Well, maggots are eating machines.	N
81	00:06:27	00:06:30	They'll have DNA from the flesh.	N
82	00:06:30	00:06:32	It's genius.	N
83	00:06:32	00:06:33	There you go.	N
84	00:06:33	00:06:36	One maggot colada, coming up.	N
85	00:06:46	00:06:48	What's with the tape?	N
86	00:06:48	00:06:51	The evidence wasn't cooperating, so I stuck it to them.	N
87	00:06:52	00:06:53	Cute.	N
88	00:06:55	00:06:57	Anything of interest?	N
89	00:06:57	00:06:59	Well, I haven't had much time for analysis.	N
90	00:06:59	00:07:06	So far the only inorganics are these black plastic shreds, from a garbage bag, I think, and...	N
91	00:07:06	00:07:07	this.	N
92	00:07:16	00:07:19	Well, blue trace is tacky.	N
93	00:07:22	00:07:25	It's a fingernail.	N
94	00:07:26	00:07:27	Uh, sorry, Sara.	N
95	00:07:27	00:07:28	I need the microscope. Priority.	N
96	00:07:28	00:07:30	I got three more samples to run.	N
97	00:07:30	00:07:31	When I'm done, it'll be your turn.	N
98	00:07:31	00:07:32	This can't wait.	N
99	00:07:32	00:07:33	It can't?	N
100	00:07:34	00:07:35	Or you can't?	N
101	00:07:35	00:07:36	Both.	N
102	00:07:36	00:07:38	Go have a cup of coffee on me.	N
103	00:07:42	00:07:43	The coffee's free.	N
104	00:07:43	00:07:45	Thank you.	N
105	00:08:21	00:08:25	Oil-based blue paint mixed with motor oil...	N
106	00:08:25	00:08:26	on a fingernail.	N
107	00:08:28	00:08:31	He's back.	N
108	00:08:31	00:08:35	Starting in 1987, a series of murders occurred on the WLVU campus.	N
109	00:08:36	00:08:38	Janet Kent...	N
110	00:08:38	00:08:40	Marcia Reese...	N
111	00:08:40	00:08:41	and Charlene Roth.	N
112	00:08:42	00:08:47	Now, Charlene Roth's murder provided us with enough evidence to investigate a suspect...	N
113	00:08:48	00:08:51	John Mathers, WLVU security guard.	N
114	00:08:51	00:08:54	He was arrested, tried and convicted.	N
115	00:08:54	00:08:57	Two years ago, this week, he was executed.	N
116	00:08:57	00:09:00	The night of his execution, Debby Reston was murdered.	N
117	00:09:00	00:09:01	Copycat, right?	N
118	00:09:01	00:09:02	No.	N
119	00:09:02	00:09:07	We believe that Mathers was the copycat, responsible only for Charlene Roth's death.	N
120	00:09:07	00:09:09	Which means the serial killer is still at large.	N
121	00:09:09	00:09:11	And we have reason to believe that he has killed again.	N
122	00:09:12	00:09:14	Our suspect's M.O.	N
123	00:09:14	00:09:21	is to apply blue paint to a campus railing that he has infused with motor oil to retard the drying process.	N
124	00:09:21	00:09:26	He then lays in wait for a female victim to touch the railing.	N
125	00:09:26	00:09:28	It's always near a water fountain.	N
126	00:09:28	00:09:33	He then grabs them from behind as they're washing the paint from their hands.	N
127	00:09:33	00:09:36	Our suspect's prior victims were all sexually assaulted.	N
128	00:09:37	00:09:38	No semen was found.	N
129	00:09:38	00:09:40	strangulation.	N
130	00:09:40	00:09:46	He stuffed them in black plastic trash bags and dumps the bodies in plain sight.	N
131	00:09:46	00:09:53	Given that he has been killing for around 20 years, we approximate his age to be at least 35.	N
132	00:09:53	00:09:54	He may wear glasses.	N
133	00:09:54	00:09:56	He may drive a Chevy with black interior.	N
134	00:09:56	00:09:58	The latest victim was put in a wood chipper.	N
135	00:09:59	00:10:00	Why the change in M.O.?	N
136	00:10:00	00:10:04	Serials have been known to change their signatures because they have to.	N
137	00:10:04	00:10:06	Fear of being caught...	N
138	00:10:06	00:10:10	interruption... or it could just be an act of escalation.	N
139	00:10:10	00:10:14	So we're looking for a sadistic, ritualistic, organized sociopath.	N
140	00:10:15	00:10:16	We'll be on 12 and 12s.	N
141	00:10:16	00:10:19	No holidays, no vacations until this is solved.	N
142	00:10:23	00:10:26	Ms. Willows, can you confirm that the Blue Paint Killer has claimed another victim?	N
143	00:10:27	00:10:28	I haven't been cleared for comment.	N
144	00:10:28	00:10:31	Ms. Willows, was John Mathers wrongfully convicted?	N
145	00:10:31	00:10:34	Did the State execute an innocent man?	N
146	00:10:34	00:10:39	John Mathers killed Charlene Roth and was punished for it.	N
147	00:10:39	00:10:41	Well, how can you be so sure of that?	N
148	00:10:41	00:10:43	I double-checked the results.	N
149	00:10:43	00:10:44	The DNA from the maggots is male.	N
150	00:10:44	00:10:46	Any possible cross-contamination?	N
151	00:10:46	00:10:49	No, the samples were pure.	N
152	00:10:49	00:10:51	Griss, this place is crawling with press.	N
153	00:10:51	00:10:52	They want a statement.	N
154	00:10:52	00:10:55	Not now. Well, if you don't say anything, they're just going to fill in the blanks...	N
155	00:10:55	00:11:01	Screw the press, 'cause for all I know, the dead body is an auto mechanic who just painted his house blue.	N
156	00:11:19	00:11:22	What's this key used for?	N
157	00:11:22	00:11:25	Um, pledging. Plebes are asked to swallow it on the first night of Hell Week.	N
158	00:11:25	00:11:27	Then retrieve it and return it by the end of the week, right?	N
159	00:11:27	00:11:28	You got it.	N
160	00:11:29	00:11:30	You know that hazing is illegal.	N
161	00:11:30	00:11:31	You could lose your charter.	N
162	00:11:31	00:11:35	Well, it's not hazing. It's a voluntary loyalty ritual.	N
163	00:11:35	00:11:37	Political science major?	N
164	00:11:37	00:11:38	Pre-law. ! Good.	N
165	00:11:38	00:11:42	Maybe you can explain why the pledge who swallowed this key ended up dead.	N
166	00:11:42	00:11:45	Wha-What're you talking about?	N
167	00:11:45	00:11:49	Has anyone from Omega Zeta Pi dropped out or gone missing?	N
168	00:11:55	00:11:57	Uh...	N
169	00:12:00	00:12:03	Yeah, Jo-Jonathan Avery Haywood III.	N
