	start	end	text	label
0	00:00:10	00:00:12	Back it up. Back it up.	N
1	00:00:13	00:00:16	Whoa, whoa, whoa. You're good. You're good.	N
2	00:00:19	00:00:20	Hey, Harlan.	N
3	00:00:20	00:00:22	Special delivery.	N
4	00:00:22	00:00:24	Fresh shipment in from Nebraska.	N
5	00:00:24	00:00:26	Great. Just stack it in the freezer, will you?	N
6	00:00:26	00:00:27	I got to open up.	N
7	00:00:27	00:00:29	All right, you got it, boss.	N
8	00:00:56	00:00:59	Ever wonder what's in that hot dog?	N
9	00:00:59	00:01:01	Human body in a meat grinder.	N
10	00:01:02	00:01:04	Shop foreman found an arm.	N
11	00:01:04	00:01:07	The rest of him is prime grade A sirloin.	N
12	00:01:07	00:01:09	Body in a meat grinder.	N
13	00:01:09	00:01:12	Sounds kind of Mob-ish except they left town in the '80s.	N
14	00:01:12	00:01:16	The last guy to operate the meat grinder is this guy over here.	N
15	00:01:16	00:01:18	Manny Saldano, age 37.	N
16	00:01:18	00:01:19	Worked for Meteor for 11 years.	N
17	00:01:19	00:01:21	Shop foreman vouches for him.	N
18	00:01:21	00:01:25	Says he inspected all three of his machines before he clocked him out.	N
19	00:01:25	00:01:26	Well, keep him here.	N
20	00:01:26	00:01:27	We're going to need to process him.	N
21	00:01:27	00:01:29	Sure.	N
22	00:01:29	00:01:32	Check out the smorgasbord.	N
23	00:01:32	00:01:33	Go ahead.	N
24	00:01:38	00:01:40	Mike.	N
25	00:01:40	00:01:44	Good God...	N
26	00:01:46	00:01:48	Looks like the elbow got stuck in the blade.	N
27	00:01:51	00:01:53	Yup, the ulna.	N
28	00:01:53	00:01:55	One of the strongest bones in the body.	N
29	00:01:55	00:01:57	Probably what jammed this grinder.	N
30	00:01:57	00:02:00	Possibly why whoever did this didn't finish the job.	N
31	00:02:05	00:02:09	It's like that Morrissey album-- Meat Is Murder.	N
32	00:02:11	00:02:13	I'm going to need a hand.	N
33	00:02:52	00:02:55	The last remains of John Doe.	N
34	00:02:55	00:02:56	We're going to need sifters.	N
35	00:02:56	00:02:58	Blood's everywhere.	N
36	00:02:58	00:03:02	Phenolphthalein and Luminol are useless.	N
37	00:03:02	00:03:05	We're going to have to dismantle this piece by piece.	N
38	00:03:06	00:03:06	Yeah.	N
39	00:03:06	00:03:07	I'll get a foreman.	N
40	00:03:07	00:03:08	I think I can handle this.	N
41	00:03:08	00:03:11	You know about meat grinders?	N
42	00:03:11	00:03:13	Well, everything's pretty much plumbing.	N
43	00:03:13	00:03:14	Male into female parts.	N
44	00:03:14	00:03:18	Righty tighty, lefty loosey.	N
45	00:03:26	00:03:28	Grinder plate.	N
46	00:03:33	00:03:35	Blade.	N
47	00:03:42	00:03:43	The worm.	N
48	00:03:56	00:03:58	Found an ear plug.	N
49	00:03:58	00:04:02	Ear wax is ripe with DNA.	N
50	00:04:02	00:04:03	Except...	N
51	00:04:04	00:04:07	all the employees wear them.	N
52	00:04:07	00:04:10	This one's different than the ones they use.	N
53	00:04:10	00:04:13	Whoever wore this brought it with them.	Y
54	00:04:13	00:04:16	We just have to find out whose ear it fits.	N
55	00:04:18	00:04:22	Girl's name is Linda Damen, 23, apparent suicide.	N
56	00:04:22	00:04:25	Father stopped by with dinner found her dead, called 911.	Y
57	00:04:25	00:04:26	No signs of forced entry?	N
58	00:04:26	00:04:27	Nope.	N
59	00:04:27	00:04:28	Did find her wallet out.	N
60	00:04:28	00:04:30	Empty.	N
61	00:04:30	00:04:31	Empty?	N
62	00:04:31	00:04:34	Maybe she was just broke.	N
63	00:04:38	00:04:40	Hey.	N
64	00:04:40	00:04:41	You guys are fast.	N
65	00:04:41	00:04:43	You pronounce?	N
66	00:04:43	00:04:45	20. Coroner will be able to tell you more.	N
67	00:04:45	00:04:47	Looks like she bled out.	N
68	00:04:47	00:04:48	Her left wrist is transected.	N
69	00:04:48	00:04:50	It's atypical for a female.	Y
70	00:04:50	00:04:52	Women usually commit suicide in the tub.	Y
71	00:04:52	00:04:55	It's easier cleanup for whoever's left behind.	N
72	00:04:55	00:04:56	Yeah.	N
73	00:04:58	00:04:59	Warrick.	N
