	start	end	text
0	00:00:29	00:00:30	Good afternoon.
1	00:00:34	00:00:36	I need to, uh, make a withdrawal.
2	00:00:37	00:00:40	I'll n-need to see some identification.
3	00:00:52	00:00:53	There's sufficient funds in my account.
4	00:00:53	00:00:55	Just have to clear it with my manager.
5	00:00:59	00:01:01	Is that going to take long?
6	00:01:02	00:01:03	I'll be right back.
7	00:01:19	00:01:21	Is there a problem here?!
8	00:01:21	00:01:22	It's a lot of money, Mr. Logan.
9	00:01:22	00:01:24	It's going to take some time.
10	00:01:50	00:01:54	Mr. Logan, would you like an escort to your car?
11	00:02:45	00:02:47	Everything all right, sir?
12	00:02:52	00:02:54	Do you want to get that?
13	00:03:02	00:03:04	I think you should step out of the car.
14	00:03:04	00:03:05	Keep your hands where I can see them.
15	00:03:06	00:03:07	Let's go.
16	00:03:11	00:03:12	Up.
17	00:03:16	00:03:17	So how rich is this guy?
18	00:03:17	00:03:20	Well, he had a million dollars in his checking account.
19	00:03:20	00:03:21	Who doesn't?
20	00:03:21	00:03:23	He's a real estate developer.
21	00:03:23	00:03:25	On the mayor's committee to revitalize downtown.
22	00:03:25	00:03:27	And he hasn't said a word to anyone?
23	00:03:27	00:03:29	Nope. That's why we're here.
24	00:03:36	00:03:38	No... I'm not saying anything without my lawyer.
25	00:03:38	00:03:40	You don't have to say anything.
26	00:03:45	00:03:46	Mr. Logan...
27	00:03:46	00:03:49	would you please put your hands out?
28	00:03:49	00:03:50	Palms up.
29	00:04:04	00:04:05	I'm also going to need you to strip.
30	00:04:06	00:04:07	What?
31	00:04:08	00:04:10	Vegas.
32	00:04:46	00:04:47	Thank you, Mr. Logan.
33	00:04:47	00:04:49	You can put your shirt down.
34	00:04:49	00:04:50	Left arm out, please.
35	00:04:54	00:04:56	Right arm.
36	00:05:01	00:05:03	No visible injuries.
37	00:05:03	00:05:04	No blood on his clothes.
38	00:05:04	00:05:07	How long is this going to take?
39	00:05:07	00:05:09	Sorry for the inconvenience.
40	00:05:12	00:05:13	What the hell is going on here?
41	00:05:13	00:05:15	Paul, get me out of here, now.
42	00:05:15	00:05:16	Roy, put your clothes back on.
43	00:05:16	00:05:18	Don't say another word to these people.
44	00:05:18	00:05:20	I'm taking my complaint directly to the district attorney.
45	00:05:20	00:05:23	You had no grounds to detain Mr. Logan let alone disrobe him.
46	00:05:23	00:05:26	His hands were covered in blood and he had a million dollars in his briefcase.
47	00:05:26	00:05:28	It's not a crime to be rich.
48	00:05:28	00:05:29	Where's my car?
49	00:05:29	00:05:30	It's right up front.
50	00:05:30	00:05:32	My secretary drove it here.
51	00:05:32	00:05:34	You're going to be hearing from us.
52	00:05:37	00:05:41	Didn't Shakespeare say Let's kill all the lawyers?
53	00:05:41	00:05:42	Yeah. Henry VI.
54	00:05:42	00:05:44	Where is he when we need him?
55	00:05:45	00:05:48	Yeah. Hey, can you do me a favor and drop this off at the lab?
56	00:05:48	00:05:49	I'm due at a nursery rhyme recital.
57	00:05:49	00:05:52	Lindsey's going to play the girl in the moon.
58	00:05:52	00:05:52	What happen to the man in the moon?
59	00:05:52	00:05:54	He got the mumps.
60	00:06:02	00:06:05	Mr. Logan! ( car alarm chirps )
61	00:06:06	00:06:08	You forgot your sunglasses.
62	00:06:12	00:06:15	Service-oriented policing.
63	00:06:15	00:06:16	You don't understand.
64	00:06:16	00:06:18	Get away from me.
65	00:06:30	00:06:32	Hello.
66	00:06:36	00:06:37	It's for you.
67	00:06:37	00:06:39	What?
68	00:06:43	00:06:44	Hello?
