	Unnamed: 0	start	end	text	label
0	0	00:00:17	00:00:19	I need one volunteer from the audience.	Y
1	1	00:00:26	00:00:27	You.	N
2	2	00:00:27	00:00:29	In the blue dress.	N
3	3	00:00:49	00:00:52	Step into the box.	N
4	4	00:00:52	00:00:54	Hands by your sides.	N
5	5	00:00:54	00:00:56	Don't move.	N
6	6	00:01:42	00:01:45	And ladies and gentleman I assure you she's quite all right.	Y
7	7	00:01:45	00:01:47	In fact, she's... Spotlight, please.	N
8	8	00:02:04	00:02:06	I don't know where she is.	N
9	9	00:02:09	00:02:11	Ladies and gentlemen...	N
10	10	00:02:13	00:02:15	I can't quite explain...	N
11	11	00:02:24	00:02:26	Welcome to the house of illusion.	N
12	12	00:02:26	00:02:27	This is bizarre.	N
13	13	00:02:27	00:02:29	You're not going to believe this.	N
14	14	00:02:29	00:02:35	Female volunteer goes on the stage, disappears and doesn't come back.	Y
15	15	00:02:35	00:02:37	Was she supposed to... reappear?	Y
16	16	00:02:37	00:02:41	The Amazing Zephyr won't say.	Y
17	17	00:02:41	00:02:46	You know magicians, they never reveal their tricks but we're working on him.	N
18	18	00:02:51	00:02:55	Well, I can understand why he doesn't want to reveal his trick...	N
19	19	00:02:57	00:03:01	but would he like to explain this blood?	N
20	20	00:03:35	00:03:38	I got a bunch of police officers, uh canvassing the theater right now.	N
21	21	00:03:38	00:03:42	No sign yet, but we have traced the woman back to her aisle seat, 8A.	N
22	22	00:03:42	00:03:44	Paid cash.	N
23	23	00:03:44	00:03:47	Magic is fun, Jim, but it's not real.	N
24	24	00:03:47	00:03:49	The woman is somewhere.	N
25	25	00:03:49	00:03:50	Thanks for that. Thanks.	N
26	26	00:03:50	00:03:51	Excuse me. Yeah?	N
27	27	00:03:51	00:03:53	Um, hi, are we finished here?	N
28	28	00:03:54	00:03:56	No. You were sitting in front of the volunteer, right?	N
29	29	00:03:56	00:03:58	You take any photos during the show?	N
30	30	00:03:58	00:04:00	We're going to need your camera.	N
31	31	00:04:00	00:04:01	But our whole trip's on there.	N
32	32	00:04:01	00:04:03	We'll get the negatives back to you. Michael.	N
33	33	00:04:03	00:04:04	Excuse me. Thanks for your help.	N
34	34	00:04:09	00:04:11	Dull as a spoon.	N
35	35	00:04:11	00:04:13	From a distance, it looks razor-sharp.	Y
36	36	00:04:13	00:04:14	That's the point.	Y
37	37	00:04:14	00:04:16	So is it real blood?	N
38	38	00:04:16	00:04:17	Well, let's see.	N
39	39	00:04:22	00:04:24	That's real blood, all right.	N
40	40	00:04:24	00:04:27	Nothing is as it seems, is it?	Y
41	41	00:04:28	00:04:34	That's the conflict of magic-- the burden of knowledge versus the mystique of wonder.	Y
42	42	00:04:34	00:04:42	And you're wondering right now-- I can hear your mind ticking-- Was she a plant? Was it real?	Y
43	43	00:04:42	00:04:43	Well, there are no secrets, are there?	Y
44	44	00:04:43	00:04:45	Only hidden answers.	Y
45	45	00:04:45	00:04:46	I'm an honest liar, sir.	Y
46	46	00:04:46	00:04:49	In my line of work it's accepted.	Y
47	47	00:04:49	00:04:51	You could say it was my livelihood.	N
48	48	00:04:51	00:04:55	Well, my livelihood is dispelling lies and finding the truth.	N
49	49	00:04:55	00:04:58	My secrets can't be revealed by any microscope.	Y
50	50	00:04:58	00:05:03	Yeah... but there's a woman missing.	Y
51	51	00:05:07	00:05:09	The only thing missing...	Y
52	52	00:05:13	00:05:14	...is this.	N
53	53	00:05:14	00:05:15	Very nice.	Y
54	54	00:05:16	00:05:18	So, where'd she go?	Y
55	55	00:05:18	00:05:19	From the salt in my marrow, I don't know.	Y
56	56	00:05:20	00:05:24	I mean, I can't give you this but I can give you... that.	Y
57	57	00:05:29	00:05:31	It's as real as my answer.	N
58	58	00:05:35	00:05:37	No, you can keep it.	N
59	59	00:05:41	00:05:42	What's the name of the band again?	N
60	60	00:05:42	00:05:46	Pekinpah. Back in '93, first album was a moderate hit.	N
61	61	00:05:46	00:05:51	Don't you remember that song, it was pretty popular-- uh... Symphony of Epiphanies?	N
62	62	00:05:59	00:06:01	Yeah, that was good to dance to.	N
63	63	00:06:01	00:06:04	He's been laying in the back of the bus for half an hour now.	N
64	64	00:06:04	00:06:06	I'm guessing that's the road manager.	N
65	65	00:06:06	00:06:08	He does not look too happy.	N
66	66	00:06:08	00:06:10	Well, he just lost a lead singer.	N
67	67	00:06:16	00:06:20	Ooh... rock and roll, baby.	N
68	68	00:06:26	00:06:27	Gus Kenyon.	N
69	69	00:06:27	00:06:29	It's a shame, man.	N
70	70	00:06:29	00:06:31	He had a good voice.	N
71	71	00:06:34	00:06:35	Heroin.	N
72	72	00:06:36	00:06:39	If this was an overdose, why leave some in the syringe?	N
73	73	00:06:39	00:06:41	No vomit around, either.	N
74	74	00:06:41	00:06:43	That's a first for me.	N
75	75	00:06:45	00:06:47	Wait a second, what's this?	N
76	76	00:06:47	00:06:50	Doesn't look like a bruise.	Y
77	77	00:06:50	00:06:51	How'd he do that?	N
78	78	00:06:51	00:06:53	What's that?	Y
79	79	00:06:53	00:06:54	The tourniquet.	Y
80	80	00:06:54	00:06:58	He's obviously left-handed if he shot up in the right arm.	N
81	81	00:06:58	00:07:03	If he tied it off himself he would have pulled it towards him, like so.	N
82	82	00:07:03	00:07:05	It's tied the other way, pulled away from him.	N
83	83	00:07:09	00:07:11	By someone else standing over him?	Y
84	84	00:07:16	00:07:19	Easy... if you're incapacitated.	N
85	85	00:07:19	00:07:20	You people seen enough?	N
86	86	00:07:20	00:07:22	When can I put him to rest?	N
87	87	00:07:22	00:07:24	You really shouldn't be in here, sir.	N
88	88	00:07:24	00:07:25	Hey, look, I'm sorry.	N
89	89	00:07:25	00:07:28	You know, this is a tragedy for all of us, and his family.	N
