	start	end	text
0	00:00:12	00:00:14	What do you need to get?
1	00:00:14	00:00:16	Actually, it's what you need to get, rook.
2	00:00:16	00:00:18	Aw, come on, man. We're off duty.
3	00:00:18	00:00:21	You're off when I say you're off.
4	00:00:28	00:00:29	Don't forget the Ho-Hos.
5	00:00:48	00:00:51	Yeah...
6	00:00:52	00:00:54	I can help you over here, sir.
7	00:00:54	00:00:57	That's not what your light says.
8	00:00:58	00:00:59	Slow night?
9	00:00:59	00:01:00	Kind of.
10	00:01:01	00:01:05	Oh... can't forget the Ho-Hos.
11	00:01:17	00:01:20	What the hell is wrong with you people?
12	00:01:20	00:01:22	My wife is still in there!
13	00:01:23	00:01:25	Why isn't anybody helping my wife?!
14	00:01:28	00:01:30	Body count's five.
15	00:01:47	00:01:50	Officer Clay entered the store unaware of a robbery that was in progress.
16	00:01:50	00:01:53	Officer Fromansky came in after he heard a shot fired.
17	00:01:53	00:01:55	Engaged two suspects.
18	00:01:55	00:01:57	Lit the place up.
19	00:02:00	00:02:02	The ski masks are John Does.
20	00:02:02	00:02:05	The rest have wallet IDs.
21	00:02:13	00:02:17	Woman at the back is Julia Reed, cocktail waitress at the Tangiers.
22	00:02:22	00:02:29	Man on Aisle Four is Rufus Sanders, cab driver.
23	00:02:43	00:02:45	How you want us to handle this, Grissom?
24	00:02:46	00:02:49	Same way you'd eat an elephant...
25	00:02:49	00:02:53	one bite at a time.
26	00:02:57	00:02:59	Hey, Jim...
27	00:03:00	00:03:05	did you know that Charles Manson is only 5'2?
28	00:03:05	00:03:07	Yeah, little guys tend to overcompensate.
29	00:03:07	00:03:10	Do you remember the, uh, story about...
30	00:03:10	00:03:14	how and where the marshals found old Charlie when they raided Barker Ranch?
31	00:03:14	00:03:17	Yeah. I always, uh...
32	00:03:17	00:03:20	I always liked that story.
33	00:03:26	00:03:27	We need a medic!
34	00:03:30	00:03:34	and Volkswagen. On the road of life there are passengers and there are drivers.
35	00:04:04	00:04:07	All right, tell me what happened.
36	00:04:07	00:04:10	I was in my radio car when I heard shots fired.
37	00:04:10	00:04:12	I called for backup. I went in.
38	00:04:13	00:04:14	Clay, talk to me.
39	00:04:14	00:04:15	Clay!
40	00:04:22	00:04:23	How many shots you fire?
41	00:04:23	00:04:27	Three. No, four. I fired four.
42	00:04:27	00:04:30	Then what? I saw my partner on the floor.
43	00:04:30	00:04:32	I went towards him.
44	00:04:32	00:04:34	Second gunman came at me.
45	00:04:40	00:04:43	How many shots you fire at the second gunman, total?
46	00:04:44	00:04:46	Maybe-maybe five.
47	00:04:46	00:04:49	I'd taken a shot in my vest.
48	00:04:49	00:04:51	Hard to count under those conditions. Are you sure?
49	00:04:51	00:04:53	No, I'm not sure. That's why I said maybe...
50	00:04:55	00:04:57	...but I know I shot four at the third guy.
51	00:04:57	00:04:59	I was going to check on my partner.
52	00:04:59	00:05:01	I caught movement in the back.
53	00:05:01	00:05:03	Black coat, ski mask, gun...
54	00:05:03	00:05:04	I put him down.
55	00:05:09	00:05:10	He fire at you?
56	00:05:10	00:05:12	Didn't give him a chance.
57	00:05:12	00:05:13	All right, that's all we need for now.
58	00:05:13	00:05:16	I need your weapon.
59	00:05:17	00:05:19	My partner...
60	00:05:19	00:05:20	I want to be the one to tell his wife.
61	00:05:21	00:05:22	He was my responsibility.
62	00:05:22	00:05:24	All right.
63	00:05:26	00:05:29	All right, look, if you're not going to say it, I will.
64	00:05:30	00:05:34	Fromansky said he killed three, and there are two dead ski masks in there.
65	00:05:34	00:05:38	Now, you cranked him up pretty good on that vigilante case last year.
66	00:05:38	00:05:39	Is that going to be a problem?
67	00:05:40	00:05:42	No.
68	00:05:45	00:05:48	Everybody, could I please have your attention?
69	00:05:48	00:05:51	All right, folks, I know that you've been through an awful lot this evening.
70	00:05:51	00:05:59	If you could just bear with me a little longer, I need to talk with every one of you one at a time, so I promise to get you out of here as quickly as possible.
71	00:06:00	00:06:04	Is the, uh, guy in black the cocktail waitress' husband?
72	00:06:04	00:06:07	Yeah. Do you want him first?
73	00:06:07	00:06:09	I don't think he's ready for me just yet.
74	00:06:09	00:06:11	I'm going to get to him soon enough.
75	00:06:24	00:06:26	What happened to your assault in Henderson?
76	00:06:26	00:06:27	I closed it.
77	00:06:27	00:06:28	Where do you need me?
78	00:06:29	00:06:30	There's two more bodies over by the beer.
79	00:06:30	00:06:33	You got it.
80	00:06:38	00:06:40	Barely cleared the holster.
81	00:06:40	00:06:42	Reflex, maybe. Pulled the trigger before he had a target.
82	00:06:44	00:06:47	Not quick enough.
83	00:06:52	00:06:56	Those two guys came out of nowhere... made everybody go to the corner.
84	00:06:56	00:06:58	Where, specifically?
85	00:06:58	00:07:01	Uh... dry goods.
86	00:07:01	00:07:02	Then one guy grabs Celeste...
87	00:07:06	00:07:07	Which guy?
88	00:07:07	00:07:10	I was looking at his piece, not his face, okay?
89	00:07:10	00:07:11	Shotgun or handgun?
90	00:07:11	00:07:17	Shotgun. He drags her over to the registers, makes her open 'em up. She does.
91	00:07:17	00:07:21	They're pulling out the cash, and then he sees the cops roll up.
92	00:07:21	00:07:25	Second guy says, Everybody, get down and don't say a freaking word, so that's what I did.
93	00:07:26	00:07:28	And then...
94	00:07:29	00:07:30	And then?
95	00:07:31	00:07:34	Ankles and flashes and booms.
96	00:07:34	00:07:37	That's all I remember.
97	00:07:37	00:07:39	And you never moved from that spot?
98	00:07:39	00:07:41	No, I didn't.
99	00:07:41	00:07:43	Do you have somewhere you need to be?
100	00:07:47	00:07:49	I got to change my pants.
101	00:07:52	00:07:54	Sorry.
102	00:08:26	00:08:29	Well, you know, we're not the most modern store around.
103	00:08:29	00:08:31	How long is the surveillance loop?
104	00:08:31	00:08:33	About 24 hours.
105	00:08:42	00:08:45	What, uh... what happened to these tapes here?
106	00:08:45	00:08:46	Nothing.
107	00:08:46	00:08:48	These are active cameras, right?
108	00:08:48	00:08:50	Those VCRs are busted.
109	00:08:50	00:08:51	Never got 'em fixed.
110	00:08:51	00:08:53	You know, cutbacks.
111	00:08:53	00:08:54	Over the register and outside works.
112	00:08:54	00:08:56	That's all we really need.
113	00:08:56	00:08:57	Gotta keep an eye on the employees, right?
114	00:08:58	00:09:01	They steal worse than the customers.
115	00:09:14	00:09:16	You know, this guy hit a $75 jackpot.
116	00:09:16	00:09:19	Probably shoving quarters in his pockets when this whole thing went down.
117	00:09:19	00:09:20	The door was 20 feet away.
118	00:09:20	00:09:21	He probably could've made a run for it.
119	00:09:21	00:09:25	You know, after the MGM Grand fire, they found people fused to slot machines.
120	00:09:26	00:09:27	Never even made it out of their seats.
121	00:09:27	00:09:29	This guy probably thought it was his lucky day.
122	00:09:29	00:09:32	I'm sure he wasn't going to leave without his money.
123	00:09:34	00:09:39	We all just started running when those two psychos started shooting it out with the cop...
124	00:09:48	00:09:58	I took a first aid course about a hundred years ago, so I-I-I tried to keep pressure on the wound, but it just kept bleeding, you know?
125	00:09:58	00:10:02	I couldn't leave Rufus all alone, scared, dying.
126	00:10:02	00:10:04	You were friends?
127	00:10:04	00:10:05	Mm, sort of.
128	00:10:06	00:10:09	He-he'd come in a couple of times a week and play the quarter slots.
129	00:10:09	00:10:13	From where you and Rufus were, could you see Officer Fromansky?
130	00:10:13	00:10:15	Oh, the cop who saved us?
131	00:10:15	00:10:18	No. I couldn't see anything.
132	00:10:18	00:10:22	I just heard all that gunfire just blasting away.
133	00:10:57	00:10:58	Hey.
134	00:10:58	00:11:00	Hey.
135	00:11:00	00:11:03	Entry wound's on the left side.
136	00:11:03	00:11:04	There's no exit wound?
137	00:11:21	00:11:22	Skin's thicker on the back.
138	00:11:22	00:11:23	Captured the bullet.
139	00:11:23	00:11:25	We'll retrieve it at autopsy.
140	00:11:27	00:11:29	I was, uh...
141	00:11:29	00:11:32	holding Julia's hand trying to find a place to hide...
142	00:11:32	00:11:33	somewhere safe.
143	00:11:35	00:11:39	It was those stupid heels, you know.
144	00:11:39	00:11:41	She was always forgetting to bring her flats to work.
145	00:11:51	00:11:53	They didn't have to shoot her.
146	00:11:53	00:11:54	They were wearing masks.
147	00:11:54	00:11:56	We didn't even get a good look at them.
148	00:11:56	00:12:00	Mr. Reed, you can't look for reasons here.
149	00:12:02	00:12:04	We'll have it out in a second.
150	00:12:06	00:12:09	The trick is to apply even pressure all around.
151	00:12:11	00:12:13	Is there something wrong with tweezers?
152	00:12:13	00:12:16	They can mess up the striae.
153	00:12:16	00:12:20	You've got enough to deal with without my toolmarks in the mix.
154	00:12:20	00:12:22	Here we go.
155	00:12:23	00:12:25	Huh.
156	00:12:25	00:12:27	Paper or plastic?
157	00:12:34	00:12:38	Officer Clay's already been processed.
158	00:12:38	00:12:40	We wanted to get him to his family.
159	00:12:40	00:12:42	Did you get prints off the two suspects?
160	00:12:42	00:12:43	Uh, yeah.
161	00:12:43	00:12:45	They're right here.
162	00:12:45	00:12:48	And we also got bullets from both of them.
163	00:12:49	00:12:50	Good.
164	00:12:55	00:12:57	Prison tattoos.
165	00:12:57	00:13:00	They weren't virgins.
166	00:13:02	00:13:07	Hi, I was wondering if I might be able to speak with Celeste Turner.
167	00:13:07	00:13:08	She, uh, has a gunshot wound.
168	00:13:09	00:13:11	She was brought in from the grocery store robbery.
169	00:13:11	00:13:14	Right. Curtain Three.
170	00:13:14	00:13:17	Just out of surgery. Stable.
171	00:13:17	00:13:18	She's still pretty doped up, though.
172	00:13:19	00:13:21	You're going to have to come back later.
173	00:13:21	00:13:22	You going to need these?
174	00:13:22	00:13:24	Yes. Thank you.
175	00:13:24	00:13:31	What can you tell me about the little boy who was also brought in from the robbery incident?
176	00:13:31	00:13:34	Minor injuries. He's fine. Mostly shock.
177	00:13:34	00:13:36	He's with his mom.
178	00:13:36	00:13:37	Hell of a night, huh?
179	00:13:37	00:13:39	Take your kid to work, both end up shot.
180	00:13:39	00:13:44	Wait a minute. So, the little boy's mother is Celeste Turner?
181	00:13:44	00:13:45	Yeah.
182	00:14:09	00:14:12	Son of a bitch was behind her the whole time.
183	00:14:12	00:14:13	Yeah.
184	00:14:16	00:14:18	Okay, here's what I got so far...
185	00:14:19	00:14:21	There's our two DOA suspects.
186	00:14:22	00:14:25	Looks like they just walked in off the street.
187	00:14:27	00:14:31	Is there any sign of Fromansky's mystery gunner?
188	00:14:31	00:14:37	No. All the cars in the parking lot were accounted for, and the loading dock out back was deserted, so...
189	00:14:38	00:14:40	This is the only view of what went down.
190	00:14:46	00:14:47	And see here?
191	00:14:47	00:14:49	Here comes our cop.
192	00:14:49	00:14:52	Three, four feet away, doesn't even see him.
