	Unnamed: 0	start	end	text	label
0	0	00:00:35	00:00:38	Joe! Joe!	N
1	1	00:00:44	00:00:47	I'm not your damn secretary and your wife's not my boss!	N
2	2	00:00:47	00:00:49	You hear that, Cheryl?	N
3	3	00:00:49	00:00:51	This is a company phone.	N
4	4	00:00:58	00:01:02	If this is an Indian burial ground, I'm totally screwed.	N
5	5	00:01:02	00:01:05	I'll be in litigation for months.	N
6	6	00:01:05	00:01:09	I can't make any promises, sir, but I don't think the Paiute wore heels.	N
7	7	00:01:11	00:01:12	Hey! What's it look like?	N
8	8	00:01:12	00:01:15	Well...	N
9	9	00:01:15	00:01:17	The body's been encased in something.	N
10	10	00:01:18	00:01:20	It's black. It's flexible...	N
11	11	00:01:21	00:01:23	But it's pretty stubborn.	N
12	12	00:01:23	00:01:24	I think it's roofing tar.	N
13	13	00:01:24	00:01:27	It keeps the smell and the animals away.	N
14	14	00:01:27	00:01:29	It makes our job a lot harder.	N
15	15	00:01:29	00:01:33	We've got disturbed soil in a three-by-five perimeter.	N
16	16	00:01:33	00:01:36	Okay.	N
17	17	00:01:36	00:01:37	Gentlemen!	N
18	18	00:01:37	00:01:39	Start your shovels!	N
19	19	00:02:00	00:02:02	Do you think our Jane Doe was buried alive?	N
20	20	00:02:02	00:02:05	Whoever buried her sure had access to a lot of tar.	N
21	21	00:02:05	00:02:11	Maybe a construction worker.	N
22	22	00:02:11	00:02:13	Nick, did you get that last soil sample?	N
23	23	00:02:13	00:02:17	Yeah, but I think I got something else, too.	N
24	24	00:02:18	00:02:21	Hey, guys.	N
25	25	00:02:21	00:02:22	Check this out.	N
26	26	00:02:22	00:02:24	A third foot.	N
27	27	00:02:24	00:02:26	Ugh...	N
28	28	00:02:26	00:02:29	Means there's another body.	N
29	29	00:02:34	00:02:37	I don't know if she was buried alive, but...	N
30	30	00:02:37	00:02:39	she wasn't buried alone.	N
31	31	00:03:38	00:03:39	Two sets of hands.	N
32	32	00:03:39	00:03:41	Two sets of feet.	N
33	33	00:03:41	00:03:43	Two skulls, two bodies.	N
34	34	00:03:43	00:03:45	Both appear to be female.	N
35	35	00:03:45	00:03:47	Jane Doe Bottom's curled up.	N
36	36	00:03:47	00:03:49	Jane Doe Top's laid out flat.	N
37	37	00:03:49	00:03:52	This looks like... barbed wire.	N
38	38	00:03:52	00:03:53	It's in her mouth.	N
39	39	00:03:53	00:03:55	Could be a dental appliance.	N
40	40	00:03:55	00:03:57	Or maybe some kind of torture device.	N
41	41	00:03:58	00:03:59	You're thinking ritualistic?	N
42	42	00:03:59	00:04:00	I don't know what I'm thinking.	N
43	43	00:04:02	00:04:03	Hey.	N
44	44	00:04:03	00:04:06	They told me you dug up two bodies covered in tar?	N
45	45	00:04:07	00:04:10	So. How you going to separate them?	N
46	46	00:04:10	00:04:12	I'm not sure yet.	N
47	47	00:04:12	00:04:17	Obviously I can't saw through without potentially destroying evidence, so...	N
48	48	00:04:17	00:04:20	If the tar were harder, I could chisel it.	N
49	49	00:04:20	00:04:24	If it were softer, we could peel it off.	N
50	50	00:04:24	00:04:26	I have an idea.	N
51	51	00:04:26	00:04:33	Of course you do, but last I checked, the backlog on grave was about... mmm... a hundred cases?	N
52	52	00:04:33	00:04:36	You've been spending too much time with Ecklie.	N
53	53	00:04:36	00:04:39	I'm off the clock.	N
54	54	00:04:39	00:04:40	I came in early for this.	N
55	55	00:04:49	00:04:51	You ever done this before?	N
56	56	00:04:51	00:04:52	Nope...	N
57	57	00:04:53	00:04:59	but I do know that tar becomes as brittle as glass at about minus 200 degrees.	N
58	58	00:05:32	00:05:33	Okay, Mr. Wizard.	N
59	59	00:05:52	00:05:55	Not much left of her but the clothes.	N
60	60	00:05:55	00:05:58	Well, let's see what our other one looks like, shall we?	N
61	61	00:06:22	00:06:24	Huh.	N
62	62	00:06:26	00:06:27	Oh, boy.	N
63	63	00:06:27	00:06:29	I gotta get my shift started.	N
64	64	00:06:29	00:06:30	Good luck with the case.	N
65	65	00:06:30	00:06:31	No, no, no.	N
66	66	00:06:32	00:06:35	You're not going to just destroy this skull and split.	N
67	67	00:06:35	00:06:37	You can make a nice mold from the impression.	N
68	68	00:06:37	00:06:39	I'm short-handed as it is.	N
69	69	00:06:39	00:06:41	I think Sara just wrapped a case.	N
70	70	00:06:41	00:06:43	If you need her, she's yours.	N
71	71	00:06:52	00:06:54	Wow.	N
72	72	00:06:54	00:06:56	Look at you, Mr. Straightedge.	N
73	73	00:06:56	00:06:59	I did not know that your hair could do that.	N
74	74	00:06:59	00:07:00	I look like a dork.	N
75	75	00:07:00	00:07:01	No, no.	N
76	76	00:07:01	00:07:03	No, you look like a pro, which is what you are.	N
77	77	00:07:03	00:07:06	Let me guess-- a prelim for Sherlock?	N
78	78	00:07:06	00:07:07	Yep.	N
79	79	00:07:07	00:07:08	Uh-huh. Who's your judge?	N
80	80	00:07:08	00:07:11	Uh... Dudley... Anderson?	N
81	81	00:07:11	00:07:14	Yeah. Well, not the sharpest tool in the shed.	N
