	start	end	text
0	00:01:17	00:01:20	Yeah, that's my real photo on my profile.
1	00:01:21	00:01:23	Excuse me.
2	00:01:23	00:01:26	Well, I exercise a lot.
3	00:01:26	00:01:28	Kind of an animal about it.
4	00:01:32	00:01:34	Hey.
5	00:01:34	00:01:35	Did you see me last night?
6	00:01:35	00:01:37	Yeah, you were feeling no pain.
7	00:01:39	00:01:41	Who was I with?
8	00:01:41	00:01:42	Describe him.
9	00:01:42	00:01:45	Was he white, black, tall?
10	00:01:45	00:01:48	Hair color, car?
11	00:01:48	00:01:50	Look, lady, I get paid not to notice.
12	00:01:53	00:01:55	Who was room 229 registered to?
13	00:02:00	00:02:02	Catherine Willows.
14	00:02:02	00:02:05	You used your credit card.
15	00:02:17	00:02:20	I think Malibu Barbie did it.
16	00:02:20	00:02:28	Well, then there's a lot more to Barbie than just a pretty face, 'cause this is a perfect half-inch scale model of the the room.
17	00:02:28	00:02:31	And assuming that the killer is the same person who made the miniature...
18	00:02:31	00:02:32	It would of taken weeks.
19	00:02:33	00:02:37	Maybe even months to create with this kind of detail.
20	00:02:37	00:02:39	Certainly qualifies as premeditation.
21	00:02:39	00:02:42	Yeah, but take a look at he blood pools.
22	00:02:42	00:02:44	They're identical.
23	00:02:44	00:02:48	There's no predicting a blood pool, it's inherently random.
24	00:02:48	00:02:51	Killer must of stuck around to match the scene.
25	00:03:01	00:03:03	It's real blood.
26	00:03:08	00:03:12	That is a level of obsession that gives even you a run for your money.
27	00:03:15	00:03:19	If Dusty Fell, Izzy Delancy.
28	00:03:19	00:03:22	I have never heard of him.
29	00:03:22	00:03:23	Probably before your time.
30	00:03:23	00:03:25	I'll download it.
31	00:03:25	00:03:29	I checked the perimeter, property is gated with a code.
32	00:03:29	00:03:33	There is no sign of forced entry on the windows or the doors.
33	00:03:33	00:03:39	Of course if a girl can get into Brad Pitt's underwear drawer, and take a nap on his bed, I guess anything is possible.
34	00:03:41	00:03:45	Lividity suggests he hasn't been moved.
35	00:03:45	00:03:48	He was probably sitting right here when he was killed.
36	00:03:51	00:03:54	Looks like blunt force trauma.
37	00:03:56	00:03:58	No spatter or cast off.
38	00:04:02	00:04:05	Sometimes it only takes one hit.
39	00:04:51	00:04:53	Oh, great, you're here, thanks for coming.
40	00:04:53	00:04:56	I can't believe you're leaving Izzy Delancy's death scene.
41	00:04:56	00:04:57	Groupies are already starting to gather.
42	00:04:57	00:04:59	I have something that I have to take care of.
43	00:04:59	00:05:03	Nick and Sofia are talking with the family, Grissom's in the kitchen, you can process the bedrooms?
44	00:05:03	00:05:05	Thanks.
45	00:05:15	00:05:17	Mrs. Delancy?
46	00:05:19	00:05:22	No, that's Mrs. Delancy.
47	00:05:24	00:05:26	I'm Annie, the nanny.
48	00:05:28	00:05:30	I'm going to need to photograph your hands.
49	00:05:30	00:05:31	To look for blood, right?
50	00:05:31	00:05:35	Blood evidence, yeah, and defensive wounds.
51	00:05:35	00:05:39	I'm also going to get a sample of your DNA and your fingerprints.
52	00:05:39	00:05:43	So, why don't you hand little Nora to her mom for right now, okay?
53	00:05:43	00:05:47	No, Mrs. D never holds the baby.
54	00:05:47	00:05:48	She's got a bad back.
55	00:05:56	00:05:58	I should warn you, I'm a little freaked.
56	00:05:58	00:06:01	When I get nervous or scared or whatever I have this problem where I talk a lot.
57	00:06:01	00:06:03	I've had it since I was little I just keep talking...
58	00:06:03	00:06:05	You found the body?
59	00:06:10	00:06:12	Tuesday is Chinese.
60	00:06:12	00:06:14	Izzy insists...
61	00:06:14	00:06:15	on having...
62	00:06:15	00:06:17	a really strict eating schedule.
63	00:06:18	00:06:21	00 and when I went into the kitchen...
