	Unnamed: 0	start	end	text	label
0	0	00:00:45	00:00:49	Okay, this is where it got weird.	N
1	1	00:01:12	00:01:16	I've processed hundreds of bogus snuff films.	N
2	2	00:01:16	00:01:19	But this, this one just felt different.	N
3	3	00:01:19	00:01:22	Yeah, it should.	N
4	4	00:01:22	00:01:24	Arterial spray was real.	N
5	5	00:01:26	00:01:27	It's not fake blood.	N
6	6	00:01:27	00:01:29	It's human.	N
7	7	00:01:29	00:01:34	That was a murder... on 16 millimeter.	N
8	8	00:02:09	00:02:13	Has this pornographer sent you film to be developed in the past?	N
9	9	00:02:13	00:02:14	I'm sure he has.	N
10	10	00:02:14	00:02:18	We get raw film from hundreds of adult film companies.	N
11	11	00:02:18	00:02:21	No names, just those private boxes.	N
12	12	00:02:21	00:02:27	You can film porn, develop it, sell it, buy it but you can't send it through the U.S. mail.	N
13	13	00:02:27	00:02:32	I've got several envelopes here from various private shipping companies.	N
14	14	00:02:32	00:02:34	We'll be taking those with us as well.	N
15	15	00:02:35	00:02:36	Whatever.	N
16	16	00:02:40	00:02:41	Grissom.	N
17	17	00:02:41	00:02:42	It's Brass.	N
18	18	00:02:42	00:02:43	I got a d.b. out on Henderson Road.	N
19	19	00:02:44	00:02:45	I'm already on a case.	N
20	20	00:02:45	00:02:46	Yeah, well, reconsider.	N
21	21	00:02:46	00:02:48	I mean, these ants came flying out of the body.	N
22	22	00:02:48	00:02:49	They're taking chunks out of the coroner.	N
23	23	00:02:49	00:02:52	The CSI day guy says he's not going near the body again!	N
24	24	00:02:52	00:02:53	They're fire ants, Brass.	N
25	25	00:02:53	00:02:55	Keep everyone away from the colony.	N
26	26	00:02:55	00:02:56	They're evidence.	N
27	27	00:02:56	00:02:57	Reconsider.	N
28	28	00:02:57	00:02:58	Bring bug spray.	N
29	29	00:02:58	00:03:00	No bug spray.	N
30	30	00:03:00	00:03:04	So a kid was driving along and spotted the tool box.	N
31	31	00:03:04	00:03:06	He thought it would look good in his pickup truck.	N
32	32	00:03:07	00:03:08	So he looked inside and freaked out.	N
33	33	00:03:08	00:03:10	Ran to call for help.	N
34	34	00:03:10	00:03:13	Hey... Grissom you ever see anything like this?	N
35	35	00:03:13	00:03:17	Well, any species that finds itself in a place it doesn't belong can do this kind of damage.	N
36	36	00:03:17	00:03:18	What are you using?	N
37	37	00:03:18	00:03:19	Cortisone. That'll help.	N
38	38	00:03:19	00:03:22	You know, I heard that these things can kill a deer.	N
39	39	00:03:22	00:03:24	Is that... Is that right?	N
40	40	00:03:24	00:03:27	Well, with enough colonies they can kill people.	N
41	41	00:03:27	00:03:30	What about our person?	N
42	42	00:03:30	00:03:34	Well, only if they also learned how to put him in a box and dump him in a ditch.	N
43	43	00:03:42	00:03:45	Man or woman?	N
44	44	00:03:45	00:03:47	Ant hill.	N
45	45	00:03:47	00:03:50	They're using this body as a colony site.	N
46	46	00:03:50	00:03:55	I'm going to have to take this box and the specimen back to the lab as is.	N
47	47	00:03:55	00:03:57	These insects are evidence.	N
48	48	00:03:57	00:04:00	I followed up on the private mail depot for our snuff movie.	N
49	49	00:04:01	00:04:05	The place has got over 1,000 boxes no records of renters and they deal in cash only.	N
50	50	00:04:06	00:04:07	Dead trail. Yeah.	N
51	51	00:04:07	00:04:11	I got Archie to digitize that film blow up a head shot of our victim.	N
52	52	00:04:11	00:04:14	I find any missing persons that match her description, I'll beep you.	N
53	53	00:04:14	00:04:15	Thanks, Sulik.	N
54	54	00:04:17	00:04:18	Find any fingerprints?	N
55	55	00:04:18	00:04:20	I should be able to.	N
56	56	00:04:20	00:04:22	Imaging components on a filmstrip are held together by gelatin.	N
57	57	00:04:22	00:04:25	Same stuff that makes Jell-O jiggle but they're smudged.	N
58	58	00:04:25	00:04:31	I can tell you that the film was manufactured in 2002 by a big company.	N
59	59	00:04:31	00:04:33	Homicide's contacting them now to get a buyer's list.	N
60	60	00:04:33	00:04:34	Won't help.	N
61	61	00:04:34	00:04:37	Pornos buy short ends from legitimate clearing houses.	N
62	62	00:04:37	00:04:40	Saves money and they're impossible to trace.	N
63	63	00:04:40	00:04:42	Really?	N
64	64	00:04:42	00:04:44	I pulled a porno ring using teenage girls a couple years ago.	N
65	65	00:04:44	00:04:48	Learned all you want to know about the adult entertainment industry.	N
66	66	00:04:49	00:04:52	Hell of a way to go.	N
67	67	00:04:53	00:04:58	I always thought that snuff films were an urban myth I mean, outside of urban Bangkok.	N
68	68	00:04:58	00:05:01	FBI's official position on snuff films in the U.S. of A?	Y
69	69	00:05:01	00:05:02	No such thing.	N
70	70	00:05:02	00:05:04	What's their unofficial position?	N
71	71	00:05:04	00:05:08	Single film goes for 100 grand... original negative.	N
72	72	00:05:08	00:05:14	And this snuff filmmaker decided to send his film out to get processed.	N
73	73	00:05:14	00:05:17	Greedy doesn't mean smart.	N
74	74	00:05:22	00:05:24	Come on, you bitch!	N
75	75	00:05:26	00:05:28	I'm allergic to red ants, you know.	N
