	start	end	text
0	00:00:21	00:00:23	Mr. Mayor! Mr. Mayor!
1	00:00:23	00:00:25	Mr. Mayor, over here!
2	00:00:28	00:00:36	The story of the Mob is the story of America Ellis Island to Brooklyn, Chicago, Kansas City...
3	00:00:36	00:00:39	finally, Vegas-- ticket to the American Dream.
4	00:00:39	00:00:42	Well, my great-grandfather came here from Wales.
5	00:00:42	00:00:43	He didn't become a gangster.
6	00:00:43	00:00:45	He drove a bread truck.
7	00:00:45	00:00:50	Huh. Weapons and personal items on loan from the Las Vegas Police Department.
8	00:00:50	00:00:52	That's one way to empty your evidence vault.
9	00:00:52	00:00:53	Yeah, don't get me started.
10	00:00:53	00:00:58	Mr. Mayor, you've taken heat from Italian-American groups accusing you of stereotyping.
11	00:00:58	00:00:59	Why not call it The Guido Museum?
12	00:00:59	00:01:00	Come on.
13	00:01:00	00:01:02	Mobsters come in all flavors.
14	00:01:02	00:01:06	You got Meyer Lansky, you got Bugsy Siegel, you got Moe, you got Moe, you got Moe.
15	00:01:06	00:01:08	They're really equal opportunity employers.
16	00:01:13	00:01:14	Congratulations.
17	00:01:14	00:01:16	Hmm?
18	00:01:16	00:01:18	Oscar put your dad in the Spilotro exhibit.
19	00:01:18	00:01:21	Forgot how handsome he was.
20	00:01:21	00:01:24	Goodfella's daughter turns CSI.
21	00:01:24	00:01:26	That's an amazing story.
22	00:01:26	00:01:29	No, Sam wasn't a goodfella.
23	00:01:29	00:01:31	No, he was a playfella.
24	00:01:31	00:01:34	When a goodfella wanted to party, Sam was the go-to guy.
25	00:01:34	00:01:38	He provided the women, the supplies, the favors, the security.
26	00:01:38	00:01:41	And those same goodfellas hired Sam to run their casinos.
27	00:01:41	00:01:45	He was connected, but no killer.
28	00:01:45	00:01:46	Nice spin, Greg.
29	00:01:46	00:01:54	Sam-- well, all these guys-- they were no angels, but family did come first, and they knew how to provide.
30	00:01:54	00:01:55	No kidding.
31	00:01:55	00:01:57	Sam gave her a casino.
32	00:01:57	00:02:00	I didn't even get the family wagon.
33	00:02:00	00:02:02	Are you here with your wife?
34	00:02:02	00:02:05	Uh, yeah, yeah, uh... my work wife.
35	00:02:05	00:02:06	Ecklie's over there.
36	00:02:06	00:02:07	Mm.
37	00:02:07	00:02:10	Hey, guys, look-- right there.
38	00:02:10	00:02:12	Why are we whispering?
39	00:02:12	00:02:15	Out of respect for the pack of Mob widows.
40	00:02:15	00:02:21	We got Mrs. Tony Revolvers Meli, Mrs. Vinnie Whack Job Sapphire and Mrs. Stu Greenbacks Greenberg...
41	00:02:21	00:02:22	together.
42	00:02:22	00:02:24	Unbelievable.
43	00:02:24	00:02:25	Why's that unbelievable?
44	00:02:25	00:02:27	Well, Whack Job was Lou Gedda's hitman.
45	00:02:27	00:02:32	He whacked Greenberg while he was at his own diamond anniversary and popped Meli while he was at the cardiologist.
46	00:02:32	00:02:34	And Whack Job?
47	00:02:34	00:02:35	Got arrested for all that whacking.
48	00:02:35	00:02:37	Jumped bail.
49	00:02:37	00:02:38	No one's seen him in 20 years.
50	00:02:38	00:02:41	Well, it's nice to see the wives have stayed in touch.
51	00:02:41	00:02:42	Yeah.
52	00:02:48	00:02:51	Not so comfortable being around all these Mobsters.
53	00:02:51	00:02:54	Like it or not, they're the founding fathers of Vegas.
54	00:02:59	00:03:00	Thank you, everybody, for coming here.
55	00:03:00	00:03:05	I've been waiting for this for ten years, the opening of the Mob Museum.
56	00:03:05	00:03:09	In particular, I want to thank our sheriff, Sheriff Liston. Thank you for your support.
