	start	end	text
0	00:01:16	00:01:17	Nick.
1	00:01:17	00:01:18	D.A.
2	00:01:19	00:01:20	What's going on out here?
3	00:01:20	00:01:26	Well, anonymous 911 caller reported body parts in this area.
4	00:01:26	00:01:30	I rolled and found this.
5	00:01:31	00:01:32	Hmm.
6	00:01:32	00:01:34	Tasty.
7	00:01:49	00:01:53	Have any idea how long it's going to take you to get this stuff out of here?
8	00:01:53	00:01:54	Well...
9	00:01:54	00:01:55	I can't move the, uh...
10	00:01:55	00:01:58	the body until the coroner releases the scene.
11	00:01:58	00:02:00	It's a busy night. It's probably gonna take a while, man.
12	00:02:00	00:02:02	Great.
13	00:02:02	00:02:06	Hey, you mind if I step away for a second?
14	00:02:06	00:02:08	I need to get some fresher air.
15	00:02:08	00:02:10	Oh, yeah, yeah, yeah, sure, take your time.
16	00:02:18	00:02:20	Whew!
17	00:02:27	00:02:30	Hey, you, uh... want some gum?
18	00:02:30	00:02:33	No, thank you.
19	00:04:14	00:04:16	Well, that's peculiar.
20	00:04:31	00:04:32	Think!
21	00:04:32	00:04:34	Did you see anybody else in the area?
22	00:04:34	00:04:37	I didn't see anything, sir.
23	00:04:38	00:04:40	I mean, I only took my eyes off him for a couple seconds...
24	00:04:40	00:04:43	You're not supposed to take your eyes off him ever.
25	00:04:43	00:04:47	He's been gone maybe 25 minutes.
26	00:05:40	00:05:43	I got some white fibers on Nick's vest.
27	00:05:50	00:05:52	Smells like alcohol.
28	00:06:28	00:06:30	Why'd you bag that?
29	00:06:30	00:06:32	I didn't.
30	00:06:34	00:06:35	It's the wrong color tape.
31	00:06:35	00:06:38	No initials on the seal.
32	00:06:38	00:06:40	That's not Nick's evidence.
33	00:06:40	00:06:43	Maybe it's a message.
34	00:08:28	00:08:30	Two heads are better than one.
35	00:08:30	00:08:32	Spatter patterns are a match.
36	00:08:32	00:08:34	One bullet, two victims.
37	00:08:34	00:08:35	No, no, no, no.
38	00:08:35	00:08:36	Grissom, that isn't possible.
39	00:08:36	00:08:41	I sampled every square inch of that scene, and there was only one DNA type on the bloodstains.
40	00:08:41	00:08:42	How 'bout that?
41	00:08:42	00:08:45	Our mystery vics are identical twins.
42	00:08:45	00:08:46	Twins?
43	00:08:49	00:08:51	Well, that's different.
44	00:08:51	00:08:53	Technically, it's the same.
45	00:08:55	00:08:57	What's this?
46	00:08:57	00:08:58	I just got it.
47	00:08:58	00:09:06	It's a certificate of honorary ownership of Trigger, The Smartest Horse in the Movies, issued by Roy Rogers to the children of America.
