	start	end	text
0	00:00:25	00:00:28	I saw a movie that started like this.
1	00:00:28	00:00:29	It did not end well.
2	00:00:29	00:00:31	Alien invasion.
3	00:00:33	00:00:35	Sheriff Anderson, Davis County.
4	00:00:35	00:00:36	Thanks for coming.
5	00:00:36	00:00:38	CSI Russell, CSI Finlay.
6	00:00:38	00:00:40	What's with all the men in black?
7	00:00:40	00:00:42	Nellis Air Force Base is down the road.
8	00:00:42	00:00:45	Apparently they just broke a very expensive toy.
9	00:00:45	00:00:47	You said something about a grave over the phone?
10	00:00:47	00:00:49	A couple hikers called in about a light show.
11	00:00:49	00:00:50	I was first on the scene.
12	00:00:50	00:00:52	I noticed some disturbed earth.
13	00:00:52	00:00:53	Want to follow me?
14	00:00:55	00:00:59	Three tours in Iraq, saw my share of mass graves.
15	00:00:59	00:01:02	They looked just like this.
16	00:01:02	00:01:04	Roughly three meters square.
17	00:01:04	00:01:07	Vegetation has barely grown back.
18	00:01:07	00:01:12	Desert varnish is on the ground side of the rock, should be on the side facing the sun.
19	00:01:12	00:01:13	This area's definitely been worked.
20	00:01:13	00:01:18	There's only one reason to dig a hole this far out in the middle of nowhere.
21	00:01:27	00:01:28	Oh, here you go.
22	00:01:33	00:01:36	Bracelet says that it's female.
23	00:01:36	00:01:37	Right.
24	00:01:37	00:01:38	Excuse me.
25	00:01:38	00:01:40	This is a Federal investigation.
26	00:01:40	00:01:42	You're in a restricted area.
27	00:01:42	00:01:47	Well, ma'am, we just found a buried body, so this is now an LVPD crime scene.
28	00:01:47	00:01:54	You're gonna have to leave the area. You know, if you keep insisting, you're gonna be in violation of NRS197-point-190.
29	00:01:54	00:01:57	Interfering with public officers in the discharge of their official duties.
30	00:01:57	00:02:01	In other words, our body trumps your X-Files convention.
31	00:02:01	00:02:02	Right.
32	00:02:05	00:02:07	Let them have their grave, keep them out of my hair.
33	00:02:07	00:02:10	That's the first time that ever worked.
34	00:02:47	00:02:49	Tissue on the extremities and skull is largely gone.
35	00:02:49	00:02:51	Remaining tissue is desiccated.
36	00:02:51	00:02:53	What's it smell like?
37	00:02:57	00:02:59	Smells like dirt.
38	00:02:59	00:03:02	It means the body's been buried for more than five years.
39	00:03:02	00:03:04	David, hold the camera steady, please.
40	00:03:04	00:03:08	Yeah. Well, the body's strangely preserved.
41	00:03:08	00:03:11	Much lighter than what we're accustomed to seeing.
42	00:03:11	00:03:13	How many bodies so far?
43	00:03:13	00:03:15	Three.
44	00:03:15	00:03:16	They all appear to be female.
45	00:03:16	00:03:19	Another desiccated fern leaf.
46	00:03:19	00:03:26	Unless these bodies were buried in the Jurassic age, And neither's this dark, rich soil.
47	00:03:26	00:03:30	Could be that the bodies were buried somewhere else, and then moved here.
48	00:03:30	00:03:33	Look at that-- military sure took off in a hell of a hurry.
49	00:03:33	00:03:36	I think you scared them, Finn.
50	00:03:44	00:03:46	Oh, Lord...
51	00:03:49	00:03:50	Got number four over here.
52	00:03:52	00:03:54	This one's...
53	00:03:54	00:03:56	different from the others.
54	00:03:56	00:03:57	Completely mummified.
55	00:03:57	00:03:59	Yeah, tissue's black.
56	00:03:59	00:04:03	Look at the facial features.
57	00:04:03	00:04:08	Distorted from bloating, and the color change is from bacterial activity.
58	00:04:08	00:04:11	Which means that she was exposed to the elements shortly after death.
59	00:04:11	00:04:15	So maybe she wasn't buried for very long before she was moved here.
60	00:04:15	00:04:19	The question is where were they all buried first?
61	00:04:19	00:04:21	Rich, dark soil, fern leaves?
62	00:04:21	00:04:23	My money's on northern climes.
63	00:04:23	00:04:24	more north than Northern Nevada.
64	00:04:35	00:04:37	David...
65	00:04:37	00:04:39	removing a necklace.
66	00:04:56	00:04:58	What you got?
67	00:04:58	00:05:03	One of a kind, vintage pendant, one carat small diamonds.
68	00:05:03	00:05:09	flowery design, 16-inch silver Coreana chain.
69	00:05:09	00:05:13	Two years and 1,200 miles-- we found her.
70	00:05:13	00:05:15	I haven't heard from Janet.
71	00:05:15	00:05:16	Something is wrong-- Janet and I talk every day.
72	00:05:16	00:05:19	She's a good girl. Dr. Warren, We're doing everything we can to find Janet.
73	00:05:19	00:05:22	Were you able to find me a recent photo of her?
74	00:05:25	00:05:28	Please find my daughter.
75	00:05:29	00:05:33	I would like to be the one to notify Janet Warren's mother.
76	00:05:33	00:05:36	As soon as we have positive I.D., we notify.
77	00:05:36	00:05:38	(watch alarm beeps) Do me a favor.
78	00:05:38	00:05:40	Greg's down at Autopsy, working the bodies.
79	00:05:40	00:05:42	Go help him out, will you?
80	00:05:42	00:05:45	I can't believe that Dr. Warren has had to wait two years for this moment.
81	00:05:45	00:05:49	The last thing you should do right now is give that woman bad information. Come on.
82	00:05:49	00:05:51	What are the chances that it is not Janet?
83	00:05:51	00:05:53	Okay, the necklace.
84	00:05:53	00:05:55	The condition of her body, the soil.
85	00:05:55	00:05:59	It all points north Yeah. to Seattle, to Tom Cooley's ranch.
86	00:05:59	00:06:02	Finn, you're getting ahead of the evidence. Again.
87	00:06:02	00:06:05	He moved her body when we turned up the heat.
88	00:06:05	00:06:08	But you know what we didn't know back then, that we know now?
89	00:06:08	00:06:10	Janet Warren was not the only victim.
90	00:06:10	00:06:12	This guy is a serial killer.
91	00:06:12	00:06:15	Who sued the crap out of you.
92	00:06:15	00:06:18	And the Seattle PD, last time around.
93	00:06:18	00:06:21	And that was with one body, we got eight now, Finn.
94	00:06:25	00:06:27	You know I'm right.
95	00:06:29	00:06:32	And for the record, I am not getting ahead of the evidence.
96	00:06:32	00:06:34	Just go help Greg, please?
97	00:06:44	00:06:45	Where's Janet Warren?
98	00:06:45	00:06:47	She's in there.
99	00:06:47	00:06:49	She should move to the head of the line.
100	00:06:49	00:06:51	That's not your call.
101	00:06:51	00:06:53	Well, can you make it yours?
102	00:06:56	00:06:59	Why are you working on her?
103	00:06:59	00:07:02	We really need to confirm Janet Warren's I.D.
104	00:07:02	00:07:05	Well, isn't that why Russell sent us both down here?
105	00:07:07	00:07:10	Have you ever had a case that kept you up at night?
106	00:07:11	00:07:13	I have been awake for two years.
107	00:07:31	00:07:36	Hey, we all know about you and your case with Janet Warren, and we're a team.
108	00:07:36	00:07:39	So if you're in, we're in.
109	00:07:39	00:07:41	Let's get this Cooley guy.
110	00:07:41	00:07:43	Thank you, Greg.
111	00:07:43	00:07:45	Okay.
112	00:07:45	00:07:51	Get her printed, and, uh, when you run DNA, can you do her first?
113	00:07:51	00:07:53	You do know that I'm not the DNA tech anymore.
114	00:07:53	00:07:55	I promise you I'll make it up to you.
115	00:08:23	00:08:25	Another finger bone for you.
116	00:08:25	00:08:31	Speaking of giving someone the finger, Finn compromised a case in Seattle by illegally obtaining DNA evidence.
117	00:08:31	00:08:34	They had hair, carpet fibers and semen from Janet Warren's car.
118	00:08:34	00:08:37	Finn went after the suspect's exemplars.
119	00:08:37	00:08:39	Why didn't she just get a warrant?
120	00:08:39	00:08:40	Guy was juiced.
121	00:08:40	00:08:43	Son of Seattle, lots of money, lots of friends.
122	00:08:43	00:08:45	And from what I heard, he had a snake for a lawyer.
123	00:08:45	00:08:50	Well, snake or not, if this guy Cooley's good for one, he's good for all eight.
124	00:08:50	00:08:52	Hey, look what I found.
125	00:08:52	00:08:53	It's a ring.
126	00:08:55	00:08:56	Looks like a man's.
127	00:08:56	00:08:58	So far, all the bodies have been female.
128	00:08:58	00:09:01	Maybe our killer left something behind?
129	00:09:05	00:09:09	So, I found a lot of interesting insects at the gravesite.
130	00:09:09	00:09:11	A lot of them are not locally abundant.
131	00:09:11	00:09:13	Yeah, I recognize the rain beetle, there.
132	00:09:13	00:09:16	Pleocoma australis-- How do you know that one?
133	00:09:16	00:09:17	Aw, I had them on a case once.
134	00:09:17	00:09:23	Found a body in a shipping container-- the rain beetle told us that she'd been buried on land first.
135	00:09:23	00:09:25	Any idea of post-mortem interval?
136	00:09:25	00:09:28	No, but I think I can give you a location.
137	00:09:28	00:09:34	This beetle, and the western thatching ant, tell me that the bodies were originally buried in the Pacific Northwest.
138	00:09:34	00:09:39	This is the pink millipede, found in the agricultural areas of Washington state.
139	00:09:39	00:09:42	Okay, well that narrows it down considerably.
140	00:09:42	00:09:45	Yeah, but this last one is the reason you should probably give me a pay raise.
141	00:09:45	00:09:48	The horntail, Xeris tarsalis, game changer.
142	00:09:48	00:09:53	narrows it down even further, puts the bodies just outside the Seattle metropolitan area.
143	00:09:55	00:09:57	Okay.
144	00:09:57	00:10:06	Well, next question is why were eight bodies already buried just outside of Seattle, dug up and moved to who-knows-where, Nevada?
145	00:10:06	00:10:10	Yeah, a place so remote, you'd have to know where it was to find it.
146	00:10:10	00:10:11	That's a good question.
147	00:10:42	00:10:43	Hey.
148	00:10:43	00:10:44	Greg.
149	00:10:44	00:10:45	Have you seen Finn? Yeah.
150	00:10:45	00:10:47	I just got off the phone with her.
151	00:10:47	00:10:48	Gave her the good news.
152	00:10:48	00:10:49	Well, now you'll give it to me.
153	00:10:49	00:10:52	Prints confirmed-- it's Janet Warren.
154	00:10:58	00:11:00	Hi, this is Finn, leave a message.
155	00:11:00	00:11:02	Oh, come on, Finn.
156	00:11:05	00:11:07	I just talked to her.
157	00:11:16	00:11:17	Are you keeping tabs on all of us?
158	00:11:17	00:11:21	Thought you needed my permission before you can... track me.
159	00:11:21	00:11:23	Exigent circumstances.
160	00:11:23	00:11:25	Hey, Mike, it's D.B. Russell.
161	00:11:25	00:11:26	How you been?
162	00:11:26	00:11:28	Got a little problem.
163	00:11:54	00:11:56	Step out of the vehicle, ma'am.
164	00:12:04	00:12:07	I see they busted you back to working traffic.
165	00:12:07	00:12:09	This how you getting your dates these days, Mike?
166	00:12:09	00:12:12	You know, I'm kind of hurt you're back in Seattle, and didn't give me a call.
167	00:12:12	00:12:13	Well, I'm only here for a day.
168	00:12:13	00:12:15	Yeah, that's what D.B. figured.
169	00:12:15	00:12:18	Of course he called you.
170	00:12:18	00:12:19	Hmph.
171	00:12:19	00:12:22	I thought once I signed the divorce papers I'd never have to see you again.
172	00:12:23	00:12:25	Here, get in my car. We're going for a ride.
173	00:12:25	00:12:26	Are you arresting me?
174	00:12:26	00:12:29	Because if you actually talked to D.B., you would know why I'm here.
175	00:12:29	00:12:32	With or without cuffs, it's your call.
176	00:12:53	00:12:54	Where the hell are we?
177	00:12:54	00:12:57	Trying to help you out, here, Jules.
178	00:12:57	00:12:58	Uh, could you please not call me Jules?
179	00:12:58	00:13:00	That brings back a lot of bad memories.
180	00:13:00	00:13:03	Yeah, I've heard your version of our marriage.
181	00:13:08	00:13:13	You found Janet Warren's body, and some evidence that she was buried in Seattle.
182	00:13:13	00:13:17	Now you think that you have all that you need to get that warrant to dig up Cooley's ranch.
183	00:13:17	00:13:20	Well... you're too late.
184	00:13:20	00:13:21	That son of a bitch.
185	00:13:21	00:13:24	After he moved the bodies, he covered his tracks.
186	00:13:24	00:13:27	There's no evidence that the bodies were ever even buried here.
187	00:13:27	00:13:28	Well, you been gone for two years.
188	00:13:28	00:13:30	A lot of things have changed.
189	00:13:32	00:13:34	You can't go tearing down these people's homes.
190	00:13:34	00:13:35	All right?
191	00:13:35	00:13:38	If Janet and the other girls were buried down there, we'll never know now.
192	00:13:38	00:13:41	You know Cooley did it.
193	00:13:41	00:13:42	Jules...
194	00:13:42	00:13:43	you got a new job, a new life.
195	00:13:45	00:13:47	Don't screw it up this time.
196	00:13:49	00:13:50	Look, I'll drive you back to the airport.
197	00:13:50	00:13:53	You could drop me at my car.
198	00:13:53	00:13:57	I'm not leaving until I see Janet Warren's mother.
199	00:13:57	00:13:58	She deserves to know.
200	00:13:59	00:14:01	The press already took care of that.
201	00:14:01	00:14:02	She's already on her way to Vegas.
202	00:14:04	00:14:06	Dr. Warren, you're not going in there.
203	00:14:06	00:14:11	I am not just any grieving mother, I am a doctor, I'm a pediatrician, I've seen it all.
204	00:14:11	00:14:14	But you've never seen your own daughter dead on a slab.
205	00:14:14	00:14:16	I appreciate your concern.
206	00:14:16	00:14:17	I need to say good-bye.
