	Unnamed: 0	start	end	text	label
0	0	00:00:17	00:00:18	Ready to go?	N
1	1	00:00:18	00:00:19	I'll get the paper. You get the car.	N
2	2	00:00:19	00:00:20	Okay.	N
3	3	00:00:42	00:00:43	Ooh!	Y
4	4	00:00:55	00:00:59	Early morning call-out, the worst.	N
5	5	00:00:59	00:01:00	Where did you come from?	N
6	6	00:01:00	00:01:01	Home.	N
7	7	00:01:01	00:01:03	Did you get any sleep?	N
8	8	00:01:03	00:01:04	No. You?	N
9	9	00:01:04	00:01:05	About a half an hour.	N
10	10	00:01:05	00:01:07	I was watching the World Series of Poker.	N
11	11	00:01:07	00:01:10	Waiting for Sam Farha to light his cigarette.	N
12	12	00:01:10	00:01:12	Ever been to the Acid Drop?	N
13	13	00:01:12	00:01:15	I try to avoid those places.	N
14	14	00:01:15	00:01:17	The victims were the owners.	N
15	15	00:01:17	00:01:20	Mike Trent and his wife Laurel.	N
16	16	00:01:20	00:01:23	Both shot execution-style back of the head.	N
17	17	00:01:23	00:01:25	A neighbor walking the dog found 'em.	N
18	18	00:01:25	00:01:29	Mike used to own a semi-pro hockey team with some other guy.	N
19	19	00:01:29	00:01:34	He made a ton of money, sunk it all into clubs like Acid Drop, uh, Psychedelic Hoe-Down...	N
20	20	00:01:34	00:01:35	Captain Brass.	N
21	21	00:01:35	00:01:37	Fun joints.	Y
22	22	00:01:37	00:01:40	Looks like they never got out of the driveway.	N
23	23	00:01:43	00:01:49	She dropped where she was shot, but he looks like he was dragged.	Y
24	24	00:01:52	00:01:58	You drag a body away to hide it, not down a driveway for the world to see it.	N
25	25	00:01:59	00:02:09	Unless that was the point.	N
26	26	00:02:45	00:02:47	Bling-bling.	N
27	27	00:02:47	00:02:49	The ol' trophy wife.	N
28	28	00:02:49	00:02:51	You think?	N
29	29	00:02:51	00:02:54	Classic Vegas.	N
30	30	00:02:54	00:03:01	He pays for her boobs, tummy tuck, Prada, weekly spa, French manicure.	N
31	31	00:03:01	00:03:06	And she's just hanging on his arm like she belongs.	N
32	32	00:03:06	00:03:08	Tell us how you really feel, Catherine.	N
33	33	00:03:08	00:03:09	Oh, it's gross.	N
34	34	00:03:09	00:03:11	I wouldn't want to be her for the world.	N
35	35	00:03:11	00:03:14	I wouldn't mind being her for a day, I guess.	N
36	36	00:03:14	00:03:15	Not this day.	N
37	37	00:03:15	00:03:16	No.	N
38	38	00:03:16	00:03:19	Looks like it was just the two of them.	N
39	39	00:03:19	00:03:21	Nobody I know lives like this with kids.	N
40	40	00:03:24	00:03:26	Brown.	N
41	41	00:03:26	00:03:28	I've been here for 20 minutes.	N
42	42	00:03:28	00:03:29	What's the code?	N
43	43	00:03:29	00:03:31	You on the East Coast looking for a sunset?	N
44	44	00:03:31	00:03:33	I am.	N
45	45	00:03:33	00:03:34	You're at the wrong gate.	N
46	46	00:03:34	00:03:37	Drive back down the road, make three lefts.	N
47	47	00:03:37	00:03:42	When you get to the main gate, speak to Officer Ray and tell her you're with the Crime Lab.	N
48	48	00:03:42	00:03:45	When you get to the scene, make sure I'm the first person you speak to.	N
49	49	00:03:45	00:03:46	Okay.	N
50	50	00:03:51	00:03:51	Mike Trent?	N
51	51	00:03:52	00:03:53	Mm-hmm.	N
52	52	00:03:53	00:03:56	Boy, he's a big dog in the club world.	N
53	53	00:03:56	00:04:01	You know I heard he paid Lil' Kim $10,000 one time just to walk into one of his clubs, turn around and walk back out.	N
54	54	00:04:01	00:04:04	Yeah, Jah Rule gets the same fee.	N
55	55	00:04:04	00:04:08	He told me.	N
56	56	00:04:08	00:04:10	Hey, uh, let me have one of those, Sara.	N
57	57	00:04:10	00:04:12	Sorry, last one.	N
58	58	00:04:13	00:04:15	You have a cold, Sara?	N
59	59	00:04:15	00:04:17	I've been feeling a little run-down lately.	N
60	60	00:04:17	00:04:19	Okay, it's a gated community.	N
61	61	00:04:19	00:04:21	The main gate has a guard all the time.	N
62	62	00:04:21	00:04:25	The resident gate is at the north end, has punch-key access.	N
63	63	00:04:25	00:04:28	Those are the only two ways in and out of this place.	N
64	64	00:04:28	00:04:31	I thought you moved into communities like this for this not to happen.	N
65	65	00:04:32	00:04:35	Hey, Grissom.	Y
66	66	00:04:35	00:04:36	What do you got?	N
67	67	00:04:36	00:04:39	So far, an empty briefcase and a purse.	N
68	68	00:04:39	00:04:41	You want us to take the perimeter?	N
69	69	00:04:41	00:04:42	Yeah, please.	N
70	70	00:04:42	00:04:44	Catherine and Warwick are inside.	N
71	71	00:04:44	00:04:47	The bodies were found on the driveway, so any evidence of the killers is going to be out here.	N
72	72	00:04:47	00:04:51	I'll check the rear for any sign of forced entry.	N
73	73	00:04:51	00:04:54	I'll take the side door.	N
74	74	00:04:54	00:04:56	You just get off a shift?	N
75	75	00:04:57	00:04:58	Catherine called me.	N
76	76	00:04:58	00:04:59	I'm here to help with the case.	N
77	77	00:04:59	00:05:01	You look like a man who just rolled out of bed.	N
78	78	00:05:01	00:05:03	You all right? Yeah, why?	N
79	79	00:05:03	00:05:04	T-shirt, sneakers.	N
80	80	00:05:04	00:05:05	You're already a half hour late.	N
81	81	00:05:05	00:05:08	Grissom will rip you a new one he sees you like that.	N
82	82	00:05:08	00:05:09	Serious?	N
83	83	00:05:09	00:05:12	Yeah, it's not a Rebel game. It's a crime scene.	N
84	84	00:05:12	00:05:15	See, this is what I'm talking about right here.	N
85	85	00:05:15	00:05:18	The battery's not changed out of your flashlight.	N
86	86	00:05:18	00:05:19	Kit's open.	N
87	87	00:05:20	00:05:22	It's not stocked; no swabs.	N
88	88	00:05:22	00:05:24	Did you sterilize your equipment after your last case?	N
89	89	00:05:24	00:05:26	Uh, no.	N
90	90	00:05:28	00:05:31	See, you know when I'm on call because my clothes are folded next to my bed.	N
91	91	00:05:31	00:05:36	Shoes, jacket, ball cap, bottle of water, pen, paper, Thomas Guide, next to the phone.	N
92	92	00:05:36	00:05:39	00 in the morning, I'm not scrambled.	N
93	93	00:05:39	00:05:42	Everything's there before the phone rings.	N
94	94	00:05:42	00:05:43	My game is tight, like my trunk.	N
95	95	00:05:43	00:05:44	Check it out.	N
96	96	00:05:50	00:05:53	Camera case, tripod, film is in the fridge.	N
97	97	00:05:53	00:05:54	Markers, check.	N
98	98	00:05:54	00:05:56	Extra field kit, fully stocked, sterilized.	N
99	99	00:05:56	00:06:00	Shoeprint lift kit, wet weather gear.	N
100	100	00:06:00	00:06:01	Files mama.	N
101	101	00:06:04	00:06:05	Forms for days.	N
102	102	00:06:05	00:06:10	First Call form, First Officer form, Consent to Search, Bird's Eye View inside, Bird's Eye View outside.	N
103	103	00:06:11	00:06:13	It's down to how I like my lunch.	N
104	104	00:06:13	00:06:14	Picking up what I'm putting down?	N
105	105	00:06:14	00:06:17	Yeah. See, no one ever told me.	N
106	106	00:06:17	00:06:18	You've been told.	N
107	107	00:06:18	00:06:20	Yes, sir.	N
108	108	00:07:12	00:07:13	No sign of disturbance in the rear.	Y
