	start	end	text
0	00:00:41	00:00:42	Drop your weapon.
1	00:01:34	00:01:35	Drop your gun!
2	00:01:36	00:01:38	Drop your gun now.
3	00:01:39	00:01:40	You can't win; it's four on one.
4	00:01:40	00:01:42	Then I guess it's just about how many of you I take with me.
5	00:01:42	00:01:45	It's okay, Riley. We got you covered.
6	00:01:49	00:01:50	You're dead.
7	00:01:52	00:01:53	Nice shot, Willows. (blows)
8	00:01:53	00:01:54	Thanks.
9	00:01:54	00:01:59	And, Adams, you get points for calling Sanders by your name to communicate your intentions.
10	00:01:59	00:02:00	That's a good job.
11	00:02:00	00:02:02	Hey, how many points does she lose for missing?
12	00:02:02	00:02:07	I don't want to be defensive or anything, but the only reason I missed was because Greg couldn't get out of the hold.
13	00:02:07	00:02:08	Oh, please.
14	00:02:08	00:02:10	Lee knows the signals better than we do.
15	00:02:10	00:02:13	And besides, you could've been more subtle.
16	00:02:13	00:02:18	I need sidearm clearance and I've got to take a look at the tactical manual again.
17	00:02:18	00:02:21	These codes are very, very confusing.
18	00:02:21	00:02:23	Uh, the most important signal is Code Four.
19	00:02:23	00:02:26	Situation's secure-- Code Four.
20	00:02:26	00:02:28	Second most important four eighty-two.
21	00:02:28	00:02:30	I know this. 482 is...
22	00:02:31	00:02:33	What is it?
23	00:02:33	00:02:34	Lunch. Okay.
24	00:02:34	00:02:36	And Riley's buying.
25	00:02:36	00:02:37	(cell phone ringing) Nice.
26	00:02:37	00:02:39	I'm buying? Yeah.
27	00:02:39	00:02:40	Well, then I hope you all like value meals.
28	00:02:40	00:02:43	This is Catherine.
29	00:02:44	00:02:45	Oh.
30	00:02:47	00:02:50	Uh, uh, ten minutes out.
31	00:02:50	00:02:52	Copy that.
32	00:02:54	00:02:56	Multiple 419s at Green Valley and Elm.
33	00:02:56	00:02:57	All hands on deck.
34	00:03:07	00:03:11	I looked at a house around the corner from here when I first moved to town.
35	00:03:12	00:03:13	I thought this was a nice neighborhood.
36	00:03:13	00:03:15	It is.
37	00:03:15	00:03:20	I heard this big crash, so I ran outside, and I saw three, maybe four guys fighting with Reggie Hatcher.
38	00:03:20	00:03:22	Bill came out running with his gun.
39	00:03:22	00:03:24	He tried to stop the fight, and they shot him.
40	00:03:24	00:03:26	It was like Halo 3; everybody started shooting.
41	00:03:26	00:03:28	Next thing you know, I go down.
42	00:03:28	00:03:29	Okay, here's what we got.
43	00:03:29	00:03:35	A call came into 911 00 p.m.-- shots fired.
44	00:03:35	00:03:38	Neighborhood Watch captain was shot dead in the street.
45	00:03:38	00:03:44	A seven-year-old boy was shot and killed by a stray bullet when he came out to see what was going on.
46	00:03:47	00:03:51	All this happened in front of the Hatcher house.
47	00:03:51	00:03:52	Any suspect info?
48	00:03:52	00:04:00	Well, it's early, but what we know so far is it could be between two, three or four suspects, black, Hispanic or white.
49	00:04:00	00:04:03	They were driving an SUV that's either black, navy blue or dark green.
50	00:04:03	00:04:04	Okay?
51	00:04:04	00:04:06	I know that doesn't give us much to work with.
52	00:04:06	00:04:08	There's plenty for us to work with here.
53	00:04:44	00:04:49	According to witnesses, the suspects' car was parked here in front of this house, facing the wrong way.
54	00:04:49	00:04:52	The suspects then proceeded on foot to the Hatcher house.
55	00:04:55	00:05:10	The owner, Priscilla Hatcher-- she was transported to the hospital with a head injury, so the interview was limited-- but she told me that a group of men-- uh, she wasn't specific about how many-- broke in, they roughed her up, they roughed up her son Reggie and her nephew Frankie.
56	00:05:10	00:05:12	So what do the son and the nephew have to say?
57	00:05:12	00:05:13	Well, they're in the wind.
58	00:05:13	00:05:14	We're looking for them.
59	00:05:14	00:05:16	So they could've been abducted.
60	00:05:17	00:05:18	Something bigger than a bullet came through this window.
61	00:05:18	00:05:22	You've got bloody glass, blood drops.
62	00:05:22	00:05:23	Fight looks like it came out this way.
63	00:05:23	00:05:26	Well, that confirms what Priscilla Hatcher said.
64	00:05:26	00:05:31	She said that her son Reggie got into a scuffle with one of the intruders, and they came through the window.
65	00:05:32	00:05:35	The Hatchers were the targets, yet suspects didn't park out front.
66	00:05:35	00:05:39	Maybe the suspects didn't want the vehicle to be seen.
67	00:05:39	00:05:42	Or didn't know which house they were going to hit.
68	00:05:42	00:05:44	Why don't you guys take the house.
69	00:05:44	00:05:46	All right.
70	00:05:48	00:05:50	The Neighborhood Watch captain.
71	00:05:50	00:05:53	His name is Bill French.
72	00:05:53	00:05:54	He's a veteran.
73	00:05:54	00:05:58	Survived a tour in Iraq only to get gunned down in front of his own house.
74	00:05:58	00:05:59	It's a shame, really.
75	00:05:59	00:06:01	We have a gun here.
76	00:06:01	00:06:03	He got off two rounds.
