	start	end	text
0	00:00:18	00:00:20	Say it loud and say it proud!
1	00:00:20	00:00:21	Omega Zeta Pi!
2	00:00:23	00:00:24	Say it loud and say it proud!
3	00:00:24	00:00:26	Omega Zeta Pi!
4	00:00:33	00:00:33	Dude...
5	00:00:34	00:00:36	what's crawling on my face?
6	00:00:36	00:00:39	It's Fraternity Hell Week.
7	00:00:39	00:00:42	A pledge slipped and fell in this pile of maggots.
8	00:00:42	00:00:48	School of Agriculture is in charge of campus landscaping, so Security called me.
9	00:00:48	00:00:50	You were the first person I thought of.
10	00:00:50	00:00:52	Well, thank you, Eva. I'm honored.
11	00:00:52	00:00:54	You make your own mulch?
12	00:00:54	00:00:56	The university is self-sustaining.
13	00:00:56	00:00:58	A city within a city.
14	00:00:58	00:01:01	State institutions are encouraged to practice Xeriscaping.
15	00:01:02	00:01:03	Xeri meaning dry?
16	00:01:03	00:01:06	Landscaping using drought-tolerant plant life.
17	00:01:06	00:01:07	Conserves water.
18	00:01:07	00:01:10	There's no reason for these maggots to be here.
19	00:01:10	00:01:13	Dr. Grissom, your tea. Hold the tea bag?
20	00:01:13	00:01:15	Thank you, Brian.
21	00:01:20	00:01:21	Do, uh...
22	00:01:21	00:01:25	do you use scraps from the dining halls for your compost?
23	00:01:25	00:01:26	No. Why?
24	00:01:27	00:01:35	Well, if the devil requires a pound of flesh, this many maggots would require over a hundred.
25	00:01:35	00:01:37	Pounds of flesh?
26	00:01:54	00:01:58	Were you aware that the average college student weighs 135 pounds?
27	00:02:37	00:02:39	How long is this going to take?
28	00:02:39	00:02:41	If something happened to one of our students, don't you want to know?
29	00:02:41	00:02:42	Sure.
30	00:02:43	00:02:49	But on a campus this size, there's a thin line between satisfying curiosity and creating panic.
31	00:02:49	00:02:53	This stopped being about my curiosity the minute we found a human tooth.
32	00:02:54	00:02:58	We're now investigating a possible homicide.
33	00:03:01	00:03:04	Hey, Grissom, why is it hot?
34	00:03:04	00:03:07	Maggot digestion can generate heat up to 125 degrees.
35	00:03:07	00:03:13	Heat increases the rate of putrefaction, which speeds up the digestive process.
36	00:03:14	00:03:15	I don't see any tissue.
37	00:03:15	00:03:18	How long would it take for them to pick a body clean?
38	00:03:18	00:03:20	Assuming it's just one body?
39	00:03:20	00:03:21	A few days.
40	00:03:21	00:03:22	Yeah, and that's another thing.
41	00:03:22	00:03:26	I have a hard time believing that if a corpse was here, no one saw it.
42	00:03:26	00:03:27	And these bones?
43	00:03:27	00:03:30	They're uniform.
44	00:03:30	00:03:32	Same shape and size.
45	00:03:32	00:03:35	Yeah.
46	00:03:37	00:03:39	Same size as these wood chips.
47	00:04:05	00:04:06	This thing always this loud?
48	00:04:07	00:04:09	Yeah, but we're, we're kind of off the beaten path.
49	00:04:10	00:04:11	You use it every day?
50	00:04:11	00:04:13	Pretty much.
51	00:04:17	00:04:19	You think a human body could fit through there?
52	00:04:20	00:04:21	You planning something?
53	00:04:21	00:04:23	Gil Grissom, Las Vegas Crime Lab.
54	00:04:23	00:04:25	Walter Beerly, Master of the Universe.
55	00:04:25	00:04:27	Six cylinders.
56	00:04:27	00:04:29	200 horse power.
57	00:04:29	00:04:33	Thing's got an engine that would give most SUVs a run for their money.
58	00:04:33	00:04:34	And it's got one job.
59	00:04:34	00:04:36	Chopping crap up.
60	00:04:37	00:04:38	So the answer's yes.
61	00:04:42	00:04:44	Would take about 15 seconds.
62	00:04:44	00:04:45	May I?
63	00:04:45	00:04:47	You want to stick your head in there, be my guest.
64	00:04:51	00:04:52	What are you looking for?
65	00:04:52	00:04:54	Blood.
66	00:04:54	00:05:02	Oh, you're pretty much out of luck, 'cause I've been chipping all morning, and if there was any in there, it's probably gone.
67	00:05:02	00:05:05	See, wood absorbs moisture.
68	00:05:05	00:05:08	One of the reasons they use it for mulch.
69	00:05:17	00:05:18	Pregnant?
70	00:05:20	00:05:21	It's human.
71	00:05:34	00:05:36	Remember, you're on the clock, man.
72	00:05:36	00:05:42	About, uh, 24 hours... all of these maggots turn into flies.
73	00:06:05	00:06:07	What are you doing?
74	00:06:07	00:06:11	Day shift told me you didn't get any results off the tooth.
75	00:06:11	00:06:14	Yeah, it was a porcelain crown.
76	00:06:14	00:06:16	Root canal. No viable pulp.
77	00:06:16	00:06:18	I still need a DNA profile on our victim.
78	00:06:18	00:06:21	And since bone marrow extraction can be difficult...
79	00:06:21	00:06:24	I figured I'd go straight to the source.
80	00:06:24	00:06:27	Well, maggots are eating machines.
81	00:06:27	00:06:30	They'll have DNA from the flesh.
82	00:06:30	00:06:32	It's genius.
83	00:06:32	00:06:33	There you go.
84	00:06:33	00:06:36	One maggot colada, coming up.
85	00:06:46	00:06:48	What's with the tape?
86	00:06:48	00:06:51	The evidence wasn't cooperating, so I stuck it to them.
87	00:06:52	00:06:53	Cute.
88	00:06:55	00:06:57	Anything of interest?
89	00:06:57	00:06:59	Well, I haven't had much time for analysis.
90	00:06:59	00:07:06	So far the only inorganics are these black plastic shreds, from a garbage bag, I think, and...
91	00:07:06	00:07:07	this.
92	00:07:16	00:07:19	Well, blue trace is tacky.
93	00:07:22	00:07:25	It's a fingernail.
94	00:07:26	00:07:27	Uh, sorry, Sara.
95	00:07:27	00:07:28	I need the microscope. Priority.
96	00:07:28	00:07:30	I got three more samples to run.
97	00:07:30	00:07:31	When I'm done, it'll be your turn.
98	00:07:31	00:07:32	This can't wait.
99	00:07:32	00:07:33	It can't?
100	00:07:34	00:07:35	Or you can't?
101	00:07:35	00:07:36	Both.
102	00:07:36	00:07:38	Go have a cup of coffee on me.
103	00:07:42	00:07:43	The coffee's free.
104	00:07:43	00:07:45	Thank you.
105	00:08:21	00:08:25	Oil-based blue paint mixed with motor oil...
106	00:08:25	00:08:26	on a fingernail.
107	00:08:28	00:08:31	He's back.
108	00:08:31	00:08:35	Starting in 1987, a series of murders occurred on the WLVU campus.
109	00:08:36	00:08:38	Janet Kent...
110	00:08:38	00:08:40	Marcia Reese...
111	00:08:40	00:08:41	and Charlene Roth.
112	00:08:42	00:08:47	Now, Charlene Roth's murder provided us with enough evidence to investigate a suspect...
113	00:08:48	00:08:51	John Mathers, WLVU security guard.
114	00:08:51	00:08:54	He was arrested, tried and convicted.
115	00:08:54	00:08:57	Two years ago, this week, he was executed.
116	00:08:57	00:09:00	The night of his execution, Debby Reston was murdered.
117	00:09:00	00:09:01	Copycat, right?
118	00:09:01	00:09:02	No.
119	00:09:02	00:09:07	We believe that Mathers was the copycat, responsible only for Charlene Roth's death.
120	00:09:07	00:09:09	Which means the serial killer is still at large.
121	00:09:09	00:09:11	And we have reason to believe that he has killed again.
122	00:09:12	00:09:14	Our suspect's M.O.
123	00:09:14	00:09:21	is to apply blue paint to a campus railing that he has infused with motor oil to retard the drying process.
124	00:09:21	00:09:26	He then lays in wait for a female victim to touch the railing.
125	00:09:26	00:09:28	It's always near a water fountain.
126	00:09:28	00:09:33	He then grabs them from behind as they're washing the paint from their hands.
127	00:09:33	00:09:36	Our suspect's prior victims were all sexually assaulted.
128	00:09:37	00:09:38	No semen was found.
129	00:09:38	00:09:40	strangulation.
130	00:09:40	00:09:46	He stuffed them in black plastic trash bags and dumps the bodies in plain sight.
131	00:09:46	00:09:53	Given that he has been killing for around 20 years, we approximate his age to be at least 35.
132	00:09:53	00:09:54	He may wear glasses.
133	00:09:54	00:09:56	He may drive a Chevy with black interior.
134	00:09:56	00:09:58	The latest victim was put in a wood chipper.
135	00:09:59	00:10:00	Why the change in M.O.?
136	00:10:00	00:10:04	Serials have been known to change their signatures because they have to.
137	00:10:04	00:10:06	Fear of being caught...
138	00:10:06	00:10:10	interruption... or it could just be an act of escalation.
139	00:10:10	00:10:14	So we're looking for a sadistic, ritualistic, organized sociopath.
140	00:10:15	00:10:16	We'll be on 12 and 12s.
141	00:10:16	00:10:19	No holidays, no vacations until this is solved.
142	00:10:23	00:10:26	Ms. Willows, can you confirm that the Blue Paint Killer has claimed another victim?
143	00:10:27	00:10:28	I haven't been cleared for comment.
144	00:10:28	00:10:31	Ms. Willows, was John Mathers wrongfully convicted?
145	00:10:31	00:10:34	Did the State execute an innocent man?
146	00:10:34	00:10:39	John Mathers killed Charlene Roth and was punished for it.
147	00:10:39	00:10:41	Well, how can you be so sure of that?
148	00:10:41	00:10:43	I double-checked the results.
149	00:10:43	00:10:44	The DNA from the maggots is male.
150	00:10:44	00:10:46	Any possible cross-contamination?
151	00:10:46	00:10:49	No, the samples were pure.
152	00:10:49	00:10:51	Griss, this place is crawling with press.
153	00:10:51	00:10:52	They want a statement.
154	00:10:52	00:10:55	Not now. Well, if you don't say anything, they're just going to fill in the blanks...
155	00:10:55	00:11:01	Screw the press, 'cause for all I know, the dead body is an auto mechanic who just painted his house blue.
156	00:11:19	00:11:22	What's this key used for?
157	00:11:22	00:11:25	Um, pledging. Plebes are asked to swallow it on the first night of Hell Week.
158	00:11:25	00:11:27	Then retrieve it and return it by the end of the week, right?
159	00:11:27	00:11:28	You got it.
160	00:11:29	00:11:30	You know that hazing is illegal.
161	00:11:30	00:11:31	You could lose your charter.
162	00:11:31	00:11:35	Well, it's not hazing. It's a voluntary loyalty ritual.
163	00:11:35	00:11:37	Political science major?
164	00:11:37	00:11:38	Pre-law. ! Good.
165	00:11:38	00:11:42	Maybe you can explain why the pledge who swallowed this key ended up dead.
166	00:11:42	00:11:45	Wha-What're you talking about?
167	00:11:45	00:11:49	Has anyone from Omega Zeta Pi dropped out or gone missing?
168	00:11:55	00:11:57	Uh...
169	00:12:00	00:12:03	Yeah, Jo-Jonathan Avery Haywood III.
170	00:12:03	00:12:06	Johnny. Oh, kid was a shoe-in.
171	00:12:06	00:12:07	Dad was a member. Granddad was a member.
172	00:12:07	00:12:10	But we haven't seen Johnny since Pledge Week.
173	00:12:10	00:12:14	So, he's been missing for days, yet you didn't bother to call anyone?
174	00:12:14	00:12:16	For all I knew he was getting laid.
175	00:12:16	00:12:19	Look, I'm the fraternity president, not his mother.
176	00:12:19	00:12:21	We're gonna need his toothbrush and his hairbrush.
177	00:12:21	00:12:23	Get off of me! Button!
178	00:12:23	00:12:25	I'm a loser. I'm a loser. I'm a loser.
179	00:12:32	00:12:35	Why didn't Nick find this before?
180	00:12:35	00:12:39	'Cause he was working from a schematic the campus security gave him.
181	00:12:39	00:12:41	The railing's not on it.
182	00:12:52	00:12:54	This cement is fresh.
183	00:12:57	00:13:01	So, now he's not just painting railings; he's installing them.
184	00:13:01	00:13:05	We're going to need to dig this up, cement and all.
185	00:13:19	00:13:22	Get Brass. We have another body.
186	00:13:47	00:13:51	So, he knew we would find this.
187	00:13:52	00:13:55	And now he's taunting us.
188	00:15:17	00:15:25	Two years ago, DNA confirmed a hair found on Debby Reston belonged to the serial's first victim, Janet Kent.
189	00:15:27	00:15:29	Planted hairs.
190	00:15:29	00:15:32	It's part of his signature.
191	00:16:03	00:16:08	Well, DNA confirmed that the hair found in the doll's mouth belonged to Debby Reston.
192	00:16:08	00:16:13	I tested the note with ESDA, because I saw some indentations in the paper.
193	00:16:13	00:16:17	He must've written I have her on the underlying page.
194	00:16:17	00:16:23	Prior evidence indicated that the suspect was an artist or had some connection to the university's Art Department.
195	00:16:23	00:16:26	Serials typically photograph their crime scenes.
196	00:16:26	00:16:27	If we're dealing with an artist here...
197	00:16:28	00:16:30	maybe he drew his victims instead.
198	00:16:30	00:16:32	Looks like she's in a small room.
199	00:16:32	00:16:34	What is that in the foreground?
200	00:16:34	00:16:36	Chair? Sofa?
201	00:16:36	00:16:38	What about behind her?
202	00:16:38	00:16:39	Windows, maybe.
203	00:16:40	00:16:41	Can we blow that up?
204	00:16:45	00:16:47	Some kind of signage?
205	00:16:47	00:16:50	And the lettering's backwards.
206	00:16:50	00:16:52	Cramped space.
207	00:16:52	00:16:54	Chairs in the foreground, but no other furniture.
208	00:16:54	00:16:56	No shutters or curtains on the windows.
209	00:16:59	00:17:02	Maybe it's not a room. Maybe it's a... vehicle.
210	00:17:02	00:17:06	He was in the front seat, and he was looking at her through the rearview mirror.
211	00:17:12	00:17:21	So, he can attack her, abduct her, rape her and strangle her, but he can't look directly at her?
212	00:17:21	00:17:27	Guys, those black trilobal fibers that we found on Debby Reston's body were from a Chevy.
