	sentence	killer_gold	medion_time
0	say it loud and say it proud	N	00:00:19.075
1	omega zeta pi	N	00:00:21.453
2	say it loud and say it proud	N	00:00:23.495
3	omega zeta pi	N	00:00:24.871
4	dude	N	00:00:33.444
5	what 's crawling on my face	N	00:00:40.044
6	it 's fraternity hell week	N	00:00:41.939
7	a pledge slipped and fell in this pile of maggots	N	00:00:42.996
8	school of agriculture is in charge of campus landscaping so security called me	N	00:00:45.054
9	you were the first person i thought of	N	00:00:47.659
10	well thank you eva	N	00:00:48.804
11	i 'm honored	N	00:00:49.949
12	you make your own mulch	N	00:00:52.455
13	the university is self-sustaining	N	00:00:53.831
14	a city within a city	N	00:00:55.363
15	state institutions are encouraged to practice xeriscaping	N	00:00:57.845
16	xeri meaning dry	N	00:01:00.386
17	landscaping using drought-tolerant plant life	N	00:01:02.194
18	conserves water	N	00:01:04.008
19	there 's no reason for these maggots to be here	N	00:01:06.406
20	dr grissom your tea	N	00:01:08.535
21	hold the tea bag	N	00:01:09.832
22	thank you brian	N	00:01:11.483
23	do uh do you use scraps from the dining halls for your compost	N	00:01:19.704
24	no	N	00:01:23.282
25	why	N	00:01:26.204
26	well if the devil requires a pound of flesh this many maggots would require over a hundred	N	00:01:29.981
27	pounds of flesh	N	00:01:33.025
28	were you aware that the average college student weighs 135 pounds	N	00:02:05.584
29	how long is this going to take	N	00:02:32.383
30	if something happened to one of our students do n't you want to know	N	00:02:34.926
31	sure	N	00:02:38.444
32	but on a campus this size there 's a thin line between satisfying curiosity and creating panic	N	00:02:41.793
33	this stopped being about my curiosity the minute we found a human tooth	N	00:02:44.403
34	we 're now investigating a possible homicide	N	00:02:49.343
35	hey grissom why is it hot	N	00:02:56.183
36	maggot digestion can generate heat up to 125 degrees	N	00:02:59.422
37	heat increases the rate of putrefaction which speeds up the digestive process	N	00:03:03.426
38	i do n't see any tissue	N	00:03:07.614
39	how long would it take for them to pick a body clean	N	00:03:09.468
40	assuming it 's just one body	N	00:03:11.246
41	a few days	N	00:03:12.606
42	yeah and that 's another thing	N	00:03:14.675
43	i have a hard time believing that if a corpse was here no one saw it	N	00:03:17.133
44	and these bones	N	00:03:19.434
45	they 're uniform	N	00:03:21.248
46	same shape and size	N	00:03:23.345
47	yeah	N	00:03:26.026
48	same size as these wood chips	N	00:03:30.584
49	this thing always this loud	N	00:03:56.624
50	yeah but we 're we 're kind of off the beaten path	N	00:03:58.900
51	you use it every day	N	00:04:01.074
52	pretty much	N	00:04:02.809
53	you think a human body could fit through there	N	00:04:08.174
54	you planning something	N	00:04:09.948
55	gilgrissom lasvegas crime lab	N	00:04:12.005
56	walterbeerly master of the universe	N	00:04:14.001
57	six cylinders	N	00:04:16.315
58	200 horse power	N	00:04:17.572
59	thing 's got an engine that would give most suvs a run for their money	N	00:04:20.284
60	and it 's got one job	N	00:04:23.178
61	chopping crap up	N	00:04:24.801
62	so the answer 's yes	N	00:04:26.424
63	would take about fifteen seconds	N	00:04:32.016
64	may i	N	00:04:33.074
65	you want to stick your head in there be my guest	N	00:04:35.086
66	what are you looking for	N	00:04:40.066
67	blood	N	00:04:41.624
68	oh you 're pretty much out of luck cause i 've been chipping all morning and if there was any in there it 's probably gone	N	00:04:46.446
69	see wood absorbs moisture	N	00:04:51.767
70	one of the reasons they use it for mulch	N	00:04:55.326
71	yeah	N	00:04:59.761
72	pregnant	N	00:05:05.882
73	it 's human	N	00:05:08.921
74	remember you 're on the clock man	N	00:05:22.345
75	about uh twenty-four hours all of these maggots turn into flies	N	00:05:26.104
76	i know	N	00:05:30.283
77	what are you doing	N	00:05:51.826
78	day shift told me you did n't get any results off the tooth	N	00:05:56.866
79	yeah it was a porcelain crown	N	00:06:01.145
80	root canal	N	00:06:01.186
81	no viable pulp	N	00:06:01.226
82	i still need a dna profile on our victim	N	00:06:02.424
83	and since bone marrow extraction can be difficult	N	00:06:05.143
84	i figured i 'd go straight to the source	N	00:06:08.086
85	well maggots are eating machines	N	00:06:10.927
86	they 'll have dna from the flesh	N	00:06:13.743
87	it 's genius	N	00:06:16.606
88	thank you	N	00:06:18.046
89	one maggot colada coming up	N	00:06:19.645
90	what 's with the tape	N	00:06:25.024
91	the evidence was n't cooperating so i stuck it to them	N	00:06:34.644
92	cute	N	00:06:37.847
93	anything of interest	N	00:06:40.074
94	well i have n't had much time for analysis	N	00:06:41.650
95	so far the only inorganics are these black plastic shreds from a garbage bag i think and this	N	00:06:45.245
96	well blue trace is tacky to the touch	N	00:07:01.264
97	it 's a fingernail	N	00:07:06.282
98	uh sorry sara	N	00:07:08.818
99	i need the microscope	N	00:07:09.640
100	priority	N	00:07:10.463
101	i got three more samples to run	N	00:07:11.446
102	when i 'm finished it 'll be your turn	N	00:07:12.245
103	this ca n't wait	N	00:07:13.044
104	it ca n't	N	00:07:13.844
105	or you ca n't	N	00:07:15.704
106	both	N	00:07:17.883
107	go have a cup of coffee on me	N	00:07:19.921
108	the coffee 's free	N	00:07:24.666
109	thank you	N	00:07:26.065
110	oil-based blue paint mixed with motor oil	N	00:08:03.445
111	he 's back	N	00:08:09.603
112	starting in 1987 a series of murders occurred on the wlvu campus	N	00:08:12.865
113	three women janetkent marcia reese and charleneroth	N	00:08:18.103
114	now charleneroth 's murder provided us with enough evidence to investigate a suspect johnmathers wlvu security guard	N	00:08:25.823
115	he was arrested tried and convicted	N	00:08:31.864
116	two years ago this week he was executed	N	00:08:34.464
117	the night of his execution debbyreston was murdered	N	00:08:37.144
118	copycat right	N	00:08:39.004
119	no	N	00:08:39.960
120	we believe that mathers was the copycat responsible only for charleneroth 's death	N	00:08:42.825
121	which means the serial killer is still at large	N	00:08:46.324
122	and we have reason to believe that he has killed again our suspect 's m.o	N	00:08:48.560
123	is to apply blue paint to a campus railing	N	00:08:52.344
124	that he has infused with motor oil to retard the drying process	N	00:08:57.026
125	he then lays in wait for a female victim to touch the railing	N	00:09:01.323
126	it 's always near a water fountain he then grabs them from behind as they 're washing the paint from their hands	N	00:09:06.926
127	our suspect 's prior victims were all sexually assaulted	N	00:09:12.022
128	no semen was found	N	00:09:14.594
129	cause of death strangulation	N	00:09:16.170
130	he stuffed them in black plastic trash bags	N	00:09:18.446
131	and dumps the bodies in plain sight	N	00:09:21.303
132	given that he has been killing for around twenty years we approximate his age to be	N	00:09:24.286
133	at least thirty-five	N	00:09:27.263
134	he may wear glasses	N	00:09:29.694
135	he may drive a chevy with black interior	N	00:09:31.468
136	the latest victim was put in a wood chipper	N	00:09:33.126
137	why the change in m.o	N	00:09:34.324
138	serials have been known to change their signatures because they have to	N	00:09:38.204
139	fear of being caught interruption or it could just be an act of escalation	N	00:09:42.983
140	so we 're looking for a sadistic ritualistic organized sociopath	N	00:09:50.342
141	we 'll be on 12 and 12s	N	00:09:55.570
142	no holidays no vacations until this is solved	N	00:09:56.058
143	ms willows can you confirm that the blue paint killer has claimed another victim	N	00:09:59.723
144	i have n't been cleared for comment	N	00:10:02.745
145	ms willows was johnmathers wrongfully convicted	N	00:10:04.961
146	did the state execute an innocent man	N	00:10:07.441
147	johnmathers killed charleneroth and was punished for it	N	00:10:11.002
148	you sure this is n't a copycat	N	00:10:13.750
