	sentence	killer_gold	medion_time
0	okay this is where it got weird i got a d.b	N	00:00:22.154
1	do n't the csi day guy says he 's not going near the body again	N	00:00:58.214
2	i 've processed hundreds of bogus snuff films but this this one just felt different behind brassdavid phillips tries to get the ants off of him	N	00:01:12.635
3	yeah it should reconsider	N	00:01:17.834
4	arterial spray was real bring bug spray	N	00:01:19.794
5	it 's not fake blood brass escorts grissom to the dead body	N	00:01:22.914
6	it 's human so a kid was driving along and spotted the tool box	N	00:01:24.014
7	that was a murder on 16 millimeter he thought it would look good in his pickup truck	N	00:01:25.774
8	has this pornographer sent you film to be developed in the past ran to call for help	Y	00:02:06.154
9	i 'm sure he has grissom and brass reach davidphillips	Y	00:02:08.966
10	we get raw film from hundreds of adult film companies hey grissom	N	00:02:11.301
11	no names just those private boxes you ever see anything like this	N	00:02:13.974
12	you can film porn develop it sell it buy it but you ca n't send it through the u.s mail david holds his arm out for grissom to look at	N	00:02:18.559
13	i 've got several envelopes here from various private shipping companies there are angry puffy bite marks on his arm	N	00:02:23.934
14	we 'll be taking those with us as well well any species that finds itself in a place it does n't belong can do this kind of damage	N	00:02:27.444
15	whatever what are you using	N	00:02:29.794
16	cortisone catherine and det sulik walk in the hallway as he fills her in on the info about the snuff film	N	00:03:10.071
17	that 'll help i followed up on the private mail depot for our snuff movie	N	00:03:11.129
18	you know i heard that these things can kill a deer dead trail	N	00:03:13.074
19	is that is that right yeah	N	00:03:15.194
20	well with enough colonies they can kill people i got archie to digitize that film blow up a head shot of our victim	N	00:03:17.174
21	what about our person catherine hands det sulik a photograph of the woman	N	00:03:19.414
22	well only if they also learned how to put him in a box and dump him in a ditch i find any missing persons that match her description i 'll beep you	N	00:03:23.874
23	man or woman i should be able to	N	00:03:35.394
24	ant hill i can tell you that the film was manufactured in 2002 by a big company	N	00:03:37.434
25	they 're using this body as a colony site homicide 's contacting them now to get a buyer 's list	N	00:03:39.714
26	i 'm going to have to take this box and the specimen back to the lab as is catherine puts on a pair of gloves	N	00:03:43.334
27	these insects are evidence wo n't help	N	00:03:46.714
28	pornos buy short ends from legitimate clearing houses doc robbins struggles to put on his protective suit around his leg	N	00:04:25.402
29	saves money and they 're impossible to trace next to him grissom also puts on his suit	N	00:04:27.934
30	really come on you bitch	N	00:04:30.074
31	i pulled a porno ring using teenage girls a couple years ago i 'm allergic to red ants you know	N	00:04:32.235
32	learned all you want to know about the adult entertainment industry grissom puts his head gear on and works to put his gloves on	N	00:04:35.094
33	hell of a way to go yeah	N	00:04:39.374
34	i always thought that snuff films were an urban myth if they 're dead i hope	N	00:04:43.344
35	i mean outside of urban bangkok they both enter the autopsy room	N	00:04:45.764
36	fbi 's official position on snuff films in the u.s of a the entire room is covered with plastic to keep the insects inside	N	00:04:47.624
37	no such thing grissom starts to sprinkle white powder along the edge of the table	N	00:04:49.514
38	what 's their unofficial position something tells me that is n't black flag	N	00:04:51.515
39	single film goes for hundred grand original negative ecozone pyrethrum	N	00:04:53.634
40	and this snuff filmmaker decided to send his film out to get processed and how does an entomologist feel about putting ants to death	Y	00:04:59.094
41	greedy does n't mean smart i view them as martyrs in a scientist 's holy war	N	00:05:02.784
42	i see warrick and archie work on getting information from the snuff film	N	00:05:51.775
43	man without a face okay all right let 's run this back again from the beginning	N	00:05:53.826
44	timeline for death this time without the sound	N	00:05:55.081
45	hard to say between the insects and the elements archie clicks on the keyboard and the film rewinds	N	00:05:57.235
46	at least a year all right	N	00:05:59.656
47	it smells more like two they reach the beginning of the film where the woman is on the bed and the man in the robe walks into the room	N	00:06:01.452
48	multiple fractures of both clavicles the man disrobes	N	00:06:03.694
49	right clavicle healed broken four months before death archie boxes and enlarges a mark on the man 's back	N	00:06:07.034
50	left was more recent hairline fractures are still present non-cancerous	N	00:06:12.695
51	give me a hand turning him over will you this room is like a dime a dozen it could be anywhere in vegas	N	00:06:15.654
52	what are these uh	N	00:06:23.994
53	i 'm not sure that looks like a blob outside of the window	N	00:06:25.374
54	sharp impact wounds to the interscapular it 's spherical	N	00:06:27.735
55	same trauma here in the vertebrel blow it up	N	00:06:31.679
56	stab wounds times ten	N	00:06:33.714
57	i ca n't say the stratosphere tower	N	00:06:35.434
58	uh maybe some round weapon of some sort south face maybe	N	00:06:38.330
59	what two feet apart using that stratosphere tower as a point of reference could you triangulate and pinpoint the street that this was filmed on	N	00:06:41.594
60	more like 18 inches i can	N	00:06:43.914
61	what the security guy says the elevator still works	N	00:06:54.354
62	a pupa case we 're going to need to talk to him	N	00:06:58.054
63	is that a good thing or a bad thing soon as he gets off the phone with the owner	N	00:07:01.434
64	it 's a good thing the group walks into the lobby	N	00:07:03.115
65	if i can postdate the pupa i can establish an entomological timeline catherine pauses and looks around	N	00:07:06.114
66	what 's up slow day in dna greg	N	00:08:35.494
67	oh nothing grissom starts to tape the baggies to the glass board	N	00:08:41.134
68	only difference between kitsch and beautiful is time yeah	N	00:08:44.134
69	you know i uh as they walk down the hallway catherine assigns the rooms to each of them	N	00:09:00.176
70	i can take notes well sara you take that one	N	00:09:01.491
