	sentence	killer_gold	medion_time
0	ready for us	N	00:02:30.534
1	for now no one enters this house except csi	N	00:02:32.855
2	warrick you got the car	N	00:03:11.055
3	which one	N	00:03:14.337
4	both	N	00:03:15.332
5	uh take the honda	N	00:03:16.916
6	the vw belongs to the victim 's friend over there	N	00:03:18.911
7	she called it in	N	00:03:20.707
8	aw that 's too bad	N	00:03:22.122
9	this will be a day she 'll never forget	N	00:03:23.746
10	sara you take the perimeter	N	00:03:25.401
11	what	N	00:03:26.970
12	you just did a one-hour walk-through	N	00:03:28.273
13	the perimeter can not be a priority	N	00:03:29.576
14	i need you to work the outside	N	00:03:30.906
15	catherine and i will be inside	N	00:03:32.081
16	i 'll go talk to the friend	N	00:03:35.734
17	find out where she walked and what she might have touched in there	N	00:03:38.255
18	hey jim	N	00:03:44.946
19	yeah	N	00:03:45.881
20	did you talk to that guy across the street	N	00:03:47.774
21	the neighbor	N	00:03:49.176
22	he 's on my list	N	00:03:50.136
23	yeah he looks like he has something to say	N	00:03:52.011
24	hi i 'm catherinewillows	N	00:03:57.206
25	i 'm with the crime lab	N	00:03:58.341
26	what is your name miss	N	00:03:59.457
27	kellymcneil	N	00:04:00.372
28	deb and i are best friends	N	00:04:02.514
29	we were supposed to get together yesterday	N	00:04:06.487
30	it was our day off	N	00:04:08.101
31	you 're a nurse	N	00:04:09.498
32	yeah	N	00:04:10.494
33	both of us	N	00:04:11.491
34	desert palm hospital	N	00:04:13.055
35	we made lunch plans but she canceled	N	00:04:16.294
36	she give a reason why	N	00:04:18.237
37	michael	N	00:04:19.272
38	michael	N	00:04:20.366
39	michaelclark	N	00:04:21.341
40	um she 's been seeing him for a month or so	N	00:04:22.887
41	he 's a surgical intern	N	00:04:24.822
42	when she did n't show up for work today i called the house her cell no answer so i drove by after shift	N	00:04:29.429
43	and how did you get in	N	00:04:34.154
44	we have each other 's keys	N	00:04:36.234
45	did you touch anything inside	N	00:04:38.515
46	no	N	00:04:39.705
47	i walked in and	N	00:04:43.014
48	i saw her and i ran out	N	00:04:45.995
49	kelly this uh michael is he just a guy or is he somebody special	N	00:04:56.455
50	he was the first guy that debbie ever blew me off for	N	00:05:01.639
51	and did you see him today at the hospital	N	00:05:04.555
52	no	N	00:05:06.494
53	i figured they were both playing hooky	N	00:05:08.454
54	moved in about two months ago	N	00:05:33.934
55	single girl	N	00:05:36.005
56	alone in the house	N	00:05:36.028
57	got my attention	N	00:05:36.727
58	i 'm running for captain of the neighborhood watch	N	00:05:38.102
59	i 'll probably have to self-appoint myself but i 'm going to put out a flyer you know about shutting doors locking windows i mean the thing is you just do n't think it 's going to happen to you	N	00:05:40.649
60	you know what i 'm saying	N	00:05:43.404
61	on your block	N	00:05:45.174
62	listen pike	N	00:05:46.607
63	stop talking	N	00:05:47.501
64	i never seen somebody so excited about their neighbor being killed	N	00:05:49.834
65	let me tell you something i know the business of everyone up and down this block all right	N	00:05:52.834
66	who 's cheating on his wife who 's behind on his bills whose kid 's going to become the next manson	N	00:05:56.295
67	let 's talk about debbiemarlin	N	00:05:59.366
68	you know what they say about nurses	N	00:06:00.822
69	what 's that	N	00:06:02.374
70	that-that they like to party	N	00:06:04.014
71	hey look	N	00:06:06.242
72	you see a stethoscope around this chest	N	00:06:06.970
73	no	N	00:06:07.698
74	you want to know why	N	00:06:08.426
75	i 'm not a doctor	N	00:06:09.666
76	so i could n't even get close to her	N	00:06:11.241
77	well who is getting close	N	00:06:13.077
78	it 's like a fricking doctor auto mall over there	N	00:06:14.991
79	you know hunky surgeons board certified lots of dough	N	00:06:17.175
80	and if you want my opinion i think they were dropping quarts	N	00:06:19.734
81	okay did you notice any automobiles any cars out front	N	00:06:24.035
82	you know as a matter of fact sir yes	N	00:06:27.034
83	black mercedes e320	N	00:06:29.295
84	2004 model been there about a month	N	00:06:31.456
85	rolls in all hours	N	00:06:33.331
86	i 'm figuring on call booty call	N	00:06:35.077
87	that kind of thing	N	00:06:36.512
88	when 's the last time you saw the mercedes	N	00:06:37.844
89	two days ago	N	00:06:38.894
90	around lunch	N	00:06:39.944
91	and uh i think he stayed for a little bit of dinner too thanks a lot	N	00:06:42.515
92	yeah this is detective jimbrass	N	00:06:45.534
93	see if you can find a 2004 mercedes black registered to a michaelclark m.d	N	00:06:48.277
94	thanks	N	00:06:51.632
95	i have absolutely nothing	N	00:06:55.894
96	how are you doing	N	00:06:57.124
97	i got a lot	N	00:06:58.376
98	check out the backseat	N	00:06:59.452
99	bananas	N	00:07:02.394
100	stuffed mushrooms	N	00:07:04.427
101	chocolate syrup a six-pack of soda a box of condoms	N	00:07:06.082
102	no surprises there	N	00:07:07.735
103	fresh bag of groceries in an unlocked car	N	00:07:09.517
104	maybe she was interrupted	N	00:07:11.431
105	one thing i can never get over with this job anything can happen to anybody	N	00:07:30.015
106	that 's why we 're here	N	00:07:35.914
107	i bet this bathroom was the reason she bought this place	N	00:07:48.534
108	what am i smelling	N	00:07:56.287
109	cleanser	N	00:07:58.994
110	bleach maybe	N	00:08:01.094
111	arterial spray is neck high	N	00:08:05.454
112	indicates she was standing when she was attacked	N	00:08:08.934
113	and the highest gush of blood has the most volume	N	00:08:13.747
114	definite lack of lividity	N	00:08:15.001
115	she must have bled out	N	00:08:17.075
116	the killer had to get something on him	Y	00:08:20.554
117	had to be a bloody mess but there 's no footprints there 's no handprints no smears	N	00:08:25.334
118	she looks like she was placed in this position	N	00:08:31.119
119	what 's the message	N	00:08:35.454
120	what do we got here	N	00:08:42.717
121	pendale 's milk	N	00:08:44.434
122	non-fat	N	00:08:45.927
123	half a gallon	N	00:08:47.142
124	unopened	N	00:08:49.454
125	groceries that made it inside	N	00:08:52.049
126	fancy crackers brie	N	00:08:54.644
127	coupons with no receipt	N	00:09:01.215
128	no receipt	N	00:09:02.934
129	this milk expires on the 23rd	N	00:09:05.255
130	eight days from now	N	00:09:07.054
131	milk is delivered daily to the supermarket	N	00:09:09.884
132	that 's a ten-day window	N	00:09:12.197
133	people usually reach back for a fresh one	N	00:09:14.192
134	hmm subtract ten from the 23rd	N	00:09:17.676
135	she was at pendale 's two days ago	N	00:09:19.751
136	well according to brass that was the last time her boyfriend 's car was seen out front	N	00:09:22.689
137	positive for both	N	00:10:02.754
138	same here	N	00:10:04.954
139	so there 's blood in all four drains followed by bleach	N	00:10:07.834
140	he kills debbie in the shower	Y	00:10:11.506
141	then he washes up in both sinks and in the tub	Y	00:10:13.962
142	why	N	00:10:16.890
143	the answer is in the drains	N	00:10:20.395
144	he cleaned everywhere but inside the shower	Y	00:11:26.254
145	we 're never going to know where the blood ends and the bleach begins	N	00:11:30.194
146	where 's all this blood coming from	N	00:11:34.174
147	dr clark is on my surgical rotation	Y	00:11:40.014
148	he was scheduled to assist this morning	N	00:11:42.910
149	no show	N	00:11:44.617
150	oh	N	00:11:45.452
151	was that like him	N	00:11:47.170
152	no	N	00:11:48.234
153	it 's completely out of character	N	00:11:49.298
154	see half these interns come in here so scared they could n't carve a turkey	N	00:11:51.689
155	i have to give them scalpels with training wheels	Y	00:11:54.934
156	clark was different	N	00:11:57.334
157	he uh he 's a real artist a steady hand	N	00:11:59.334
158	yeah he has a gift	N	00:12:01.814
159	how about outside the o.r	N	00:12:04.454
160	was he socially gifted	N	00:12:06.306
161	he turned a lot of nurses heads but it never interfered with his work	N	00:12:07.881
162	why the questions	N	00:12:11.194
163	debbiemarlin one of your nurses was murdered	Y	00:12:13.996
164	throat slashed	N	00:12:16.232
165	you did n't know this	Y	00:12:18.850
166	dr clark and his steady hand have n't been seen or heard from since so you do n't have to be a brain surgeon to guess what i 'm thinking	Y	00:12:21.670
167	uh all i can ask is that i	Y	00:12:26.407
168	i hope that you 're wrong about dr clark	Y	00:12:28.821
169	excuse me	Y	00:12:39.955
170	no cleansers	N	00:12:44.254
171	no rags no sponges no paper towels	N	00:12:45.947
172	you 'd think that she restocked when she went shopping	N	00:12:47.202
173	well i 'm thinking the killer used everything the victim had	Y	00:12:49.414
174	and then disposed of it	N	00:12:55.494
175	nothing	N	00:13:13.095
176	nothing here	N	00:13:26.215
177	i think i found the victim 's internal organs	N	00:14:34.655
178	this guy meant business	Y	00:14:38.814
179	i think i can confirm the victim 's male	N	00:14:43.795
180	it seems he vacuumed to remove any trace from the house	Y	00:14:49.714
