	sentence	killer_gold	medion_time
0	five	N	00:00:28.659
1	baby go	N	00:00:30.459
2	seven	N	00:00:32.514
3	whoo	N	00:00:34.834
4	changing 100	N	00:00:46.317
5	change 100 go ahead	N	00:00:48.076
6	section g-3 all clear	N	00:00:49.359
7	on route to h-4	N	00:00:49.519
8	and then soft count	N	00:00:50.794
9	section g-4	N	00:00:55.977
10	security security three intersect at g-5	N	00:01:15.078
11	security where the hell is metro	N	00:01:16.756
12	and the body count	N	00:01:31.396
13	five guards three civilians wounded	N	00:01:32.888
14	one dead bad guy	Y	00:01:34.264
15	armed robbers snatched the lock boxes from the two high-stakes tables right off the rolling cage	Y	00:01:37.417
16	cash on wheels	N	00:01:40.496
17	busiest time of night	N	00:01:41.730
18	three women-organized and muscled	Y	00:01:43.457
19	small time crooksjim	Y	00:01:45.436
20	hey they got away with 250k	Y	00:01:47.378
21	yeah	N	00:01:49.775
22	that 's a mere pittance to a vegas casino	N	00:01:51.959
23	cashiers alone are sitting on a million and change	N	00:01:53.477
24	small time or not these ladies are dangerous	Y	00:01:55.195
25	dangerous yes	N	00:02:02.178
26	ladies	N	00:02:03.995
27	no	N	00:02:07.618
28	these guys packed enough 45 caliber ammo for a small army	Y	00:02:52.236
29	security managed to return a few rounds	N	00:02:55.897
30	nine millimeter	N	00:02:58.093
31	less than a year ago security could n't even carry guns	N	00:03:00.958
32	times have changed	N	00:03:03.256
33	yeah	N	00:03:04.331
34	the same m.o	N	00:03:07.347
35	as laughlin last month cottage casino men dressed as women shot the place to hell	Y	00:03:08.763
36	in and out in under five	N	00:03:11.278
37	my bet was that that was the practice run	N	00:03:14.297
38	and the more you practice	N	00:03:17.334
39	i do n't know what the hell 's going on with the world	Y	00:03:19.144
40	everything 's crazy	N	00:03:19.887
41	i risk my life just coming into work	Y	00:03:21.343
42	makes you miss the mob days huh	N	00:03:22.998
43	back then this never would 've happened	N	00:03:24.676
44	and if it did those scumbags they 'd be dead every last one of them and we would never know about it	Y	00:03:27.277
45	mr mr duncan take a deep breath and tell us what happened	Y	00:03:33.395
46	we 'd just made a money transfer to the rolling cages	Y	00:03:37.216
47	then bang the chandelier comes crashing down	N	00:03:39.253
48	sounded like an explosion	N	00:03:43.428
49	so i dropped to my knees i took cover	Y	00:03:45.408
50	anything else	N	00:03:47.053
51	yeah i started praying for the gunfire to stop	Y	00:03:48.999
52	okay	N	00:03:50.938
53	thanks a lot	N	00:03:52.094
54	and check in with triage before you leave	Y	00:03:53.251
55	well that was helpful	N	00:03:57.748
56	actually it was	N	00:03:59.084
57	gives us a starting point	N	00:04:02.456
58	the falling chandelier distracts the guards	N	00:04:04.558
59	makes them easy targets	N	00:04:06.316
60	the armed robbers load up head for the exits	Y	00:04:10.376
61	quick escape	N	00:04:12.619
62	chaos moving in one direction the money moving in the other	N	00:04:15.197
63	can you imagine living out here	N	00:04:26.018
64	it 's peaceful	N	00:04:27.693
65	peaceful	N	00:04:29.337
66	the town just lost five percent of its population	N	00:04:31.214
67	i thought you said this was a single homicide	N	00:04:33.187
68	yeah in a population of 20	N	00:04:35.081
69	we made it	N	00:04:41.537
70	state trooper	Y	00:04:50.658
71	two hours to drive 75 miles	N	00:04:56.074
72	you guys got lost	N	00:04:59.379
73	what 's the rush	N	00:05:01.947
