	sentence	killer_gold	medion_time
0	you can breathalize me all you want but the broad came right at me ooh	N	00:00:30.569
1	i swear it was n't my fault this has got to be the coldest place in vegas	N	00:00:34.174
2	sir i understand let 's go	N	00:00:36.135
3	ooh that 's what happens when 6,000 pounds of thrust meets three feet of hood yeah he 's not going anywhere	N	00:00:40.275
4	this was not a fair fight sara and nick stand up and leave the freezer	N	00:00:43.494
5	well now how did she end up way over here not peter	N	00:00:55.194
6	there must be 20 feet of rubber burned into this asphalt p-e-t-e-y	N	00:00:57.794
7	she was braking hard hey how you doing	N	00:01:00.934
8	she definitely swerved out of her lane good	N	00:01:03.814
9	i think i may know why nick walks over to the vending machine	N	00:01:09.294
10	oh take was maybe uh 600	N	00:01:15.787
11	what kind of animal are we talking about here they shot a guy over a vending machine	Y	00:01:17.282
12	a big one so uh petey where were you when all this went down	N	00:01:19.704
13	the victim could have clipped the animal when it ran in front of her i was in the guard shack	N	00:01:22.134
14	well it ca n't have gone far you tell us	N	00:01:26.514
15	hmm you figure hey i 'll deck out and grab a bite to eat	N	00:02:45.631
16	ooh who 's going to know right	N	00:02:46.414
17	not much padding i was gone five minutes tops	N	00:02:47.197
18	whoa a little after 11:00	N	00:02:47.657
19	this is incredibly detailed grabbed a burger and came back	N	00:02:48.775
20	eyelashes nostrils what kind of burger	N	00:02:51.135
21	oh yeah in n out three blocks from here	N	00:02:53.719
22	that 's what you see out of i love in n out	N	00:02:54.999
23	i once dated the detroit lions mascot i always get the in n out double animal style	N	00:02:56.556
24	off-season that 's what i get	N	00:02:58.231
25	dutch was his name you grill the onions	N	00:03:00.754
26	the breadth of your social experience never ceases to impress me hell yeah	N	00:03:03.434
27	dutch never had furballs though you keep lying to us you 're going to be toast in a jumpsuit	N	00:03:10.975
28	are you all right david i told him he was back here	N	00:03:22.574
29	it 's just disturbing i came back	N	00:03:24.829
30	there was a big raccoon who hosted an after-school kids show when i was little everything was quiet	N	00:03:28.774
31	stripey so i ate my dinner in my shack	N	00:03:31.674
32	everybody loved him where 'd george go	N	00:03:33.495
33	i loved him beats me	N	00:03:35.754
34	stripey 's brother suffered blunt force trauma caused by a violent collision with a moving vehicle his car 's still in the parking lot	N	00:03:39.754
35	the eternal question why did the man in the raccoon suit cross the road david opens the door	N	00:03:56.014
36	unless he was slick the guy that did this definitely left behind a print and frankly nothing about this looks slick and then some	Y	00:06:22.355
37	anything unusual about our furry friend the last time this happened they tried to chop the guy out	N	00:06:36.645
38	we 're about to find out 1989 year the mirage opened	N	00:06:38.495
39	did you know that raccoons have opposable thumbs i miss the cold weather	N	00:06:53.054
40	well this one liked to wrap his around a bottle so what are we going to use hot water	N	00:06:55.974
41	30 days one day at a time he was a friend of bill w s boiling works best	N	00:06:59.434
42	i 'll send the blood work down to tox melt the ice	N	00:07:03.374
43	oh my hand stitching to preserve the body	N	00:07:06.374
44	lining looks like some kind of latex that 's right	N	00:07:09.295
45	whoa quick cgi pov of the heat working on melting the blood	N	00:07:19.026
46	that 's a lot of blood for blunt force trauma white flash to end of cgi pov	N	00:07:21.322
47	this is n't a costume resume to present	N	00:07:23.097
48	it 's a six-foot condom and up	N	00:07:24.171
49	explains why there was no blood on the road they lift the body onto the gurney and wrap the blanket around it	N	00:07:27.374
50	yeah his tailor did n't think of everything all right guys let 's go	N	00:07:31.114
51	his suit 's not bulletproof the coroners assistants wheel the body out of the freezer	N	00:07:33.434
52	shall we he extracts more pellets from the freezer	N	00:07:36.374
53	through and through warrick is looking through a scope	N	00:07:45.610
54	it 's a high-velocity round hi warrick	N	00:07:47.306
55	gives the bullet a smooth entry in and out hey	N	00:07:49.281
56	so he was shot and hit by a car anything on mr raccoon	N	00:07:51.534
57	bad night yeah	N	00:07:53.517
58	even for a raccoon i got an afis hit	N	00:07:54.952
59	oh that 's where he got the 30-day chip the one we gave hodges	N	00:10:06.355
60	maybe he fell off the wagon after he hit 31 yeah	N	00:10:09.749
61	if i had to walk around dressed like rocky raccoon i 'd be drinking too he bounced it back to me	N	00:10:12.955
62	i do n't get this whole thing i 'm lost	N	00:10:15.724
63	oh hey warrick it 's vegas it 's from a shotgun stock	N	00:10:17.316
64	people come here to be animals probably a momossberg 500	N	00:10:18.672
65	i hear you probably our murder weapon	N	00:10:19.937
66	take a look at this rich stops walking and turns around to look at them	N	00:10:20.931
67	oh yes the blue fur ball till we do anything else	N	00:10:24.257
68	yeah it 's synthetic not natural that 's up to hodges	N	00:10:26.291
69	your manimal died sober the gray stuff it 's adhesive	N	00:10:28.629
70	no alcohol sara looks up from the scope	N	00:10:31.397
71	really on the gun stock	N	00:10:32.512
72	all this schmohawk had in his system was trace amounts of ipecac and civet oil which if you ask me is even weirder than the raccoon suit he was wearing cheap repair	N	00:10:36.794
73	well ipecac 's an emetic so some budget-minded garage gunsmith glues his gun stock together	N	00:10:41.669
74	i once gave it to lindsey when she swallowed mothballs but civet oil and then kills alsesto for 600 in change	N	00:10:44.984
75	yeah there 's always the elusive george	N	00:10:47.134
76	civet 's a wild cat a tall husky man walks into the police department	N	00:10:48.134
77	its scent has been prized since the pharaohs for being an aphrodisiac he looks around then heads for the reception desk	N	00:10:50.994
78	pitt was a computer programmer he holds out his hands to show the officer behind reception the backs of his blood-stained hands	N	00:11:04.319
79	no next-of-kin samvega sara and nick interview george	N	00:11:05.599
80	ooh let 's start with what you were doing at big and best warehouse george	N	00:11:07.530
81	not an architectural digest reader it was the night shift there	N	00:11:09.275
82	if you want to know what the man really is all about check out his bedroom trash for cash	N	00:11:18.754
83	now this scares me it 's still good	N	00:11:29.295
84	a man lives alone oh	N	00:11:31.018
85	has no relatives go on please	N	00:11:32.654
86	no attachments i wanted to give al his piece of the action 88 bucks	N	00:11:34.291
87	so he forms his own furry little family we uh walked into the break room and someone was smashing up the candy machine	N	00:11:37.914
88	paf con meeting he looks up and sees george	Y	00:11:46.854
89	what 's paf con end of flashback	N	00:11:48.535
90	i do n't know but whatever it is it 's still going on resume to present	N	00:11:51.615
91	minus one raccoon yeah	N	00:11:54.834
92	paf con better chill bro	Y	00:12:05.514
93	the plushies and furries convention okay	N	00:12:07.414
94	and we 're looking for a bright blue plushie get back	N	00:12:09.206
95	i think do n't shoot	N	00:12:10.581
96	this is fascinating do n't shoot	N	00:12:18.615
97	a whole tribe of people who prefer to interact as furry animals rather than human beings the gunman fires	Y	00:12:24.255
98	i think i 'm having hunter thompson 's flashbacks end of flashback	N	00:12:29.617
99	this is weirding me out resume to present	N	00:12:31.891
100	it 's not that weird he shot al	Y	00:12:34.954
101	it 's instinctual then the guy hauls off and brains me	Y	00:12:37.197
102	many native american tribes wore entire bearskins including the bead when they performed their war dances and after that everything went black	N	00:12:39.351
103	they thought it made them brave sara checks the back of george 's head and finds the bruise	N	00:12:42.234
104	i 'm not getting the brave thing everything went black	N	00:12:45.554
105	well think of stuffed animals as a jungian archetype that 's a pretty nasty bruise	N	00:12:48.389
106	what 's the one quality they possess that a man like bobpitt might want yeah i told you	N	00:12:51.489
107	a full head of hair so you blacked out	N	00:12:54.115
108	they 're lovable then what happened	N	00:12:55.934
109	we better divide and mingle i was blindfolded shoved into the trunk of some car and uh drove around for almost an hour	N	00:12:58.974
110	i 'm going to take in a lecture oh yeah	N	00:13:03.454
111	so uh now how did you get out the speaker dressed in a costume gives a lecture to a room full of people	N	00:15:01.735
112	tire iron in the eight ages of man erikson states that the child often indulges in fantasies of being a tiger but in his dream runs in terror for dear life thus leaving the child forever divided in himself as his true potential is squashed by the observing superego of society	N	00:15:03.905
113	i felt around in the dark and uh there it was in his seat grissom listens captivated by the topic	N	00:15:05.795
114	where birth is-is not destiny	N	00:15:08.355
115	under the uh the trunk liner we gather here to embrace our inner animal and to bring our true nature to bear	N	00:15:09.937
116	i had to really twist to get at it so to speak	N	00:15:10.835
117	which hand did you use five-minute break	N	00:15:13.017
118	right the stage lights turn of and there 's a light smattering of applause in the room	N	00:15:14.091
119	and then what grissom turns to the animal next to him as asks	N	00:15:16.006
120	i popped the trunk excuse me	N	00:15:17.222
121	i-i was in pahrump hello guys	N	00:15:21.574
122	i got family out there but nobody was home pardon me	N	00:15:26.234
123	all right macgyver could you do me a favor uh can you help me out here	N	00:15:29.246
124	could you stand up and hold your arms out do you recognize this guy	N	00:15:30.941
125	i 'm just going to check you out here the man shakes his head	N	00:15:34.534
126	i 'm ticklish nice dog	N	00:15:45.194
127	oh the man possessively yanks the stuffed dog away from catherine not wanting her to touch it	N	00:15:46.569
128	george on the table in front of him grissom looks through some photographs of the animals at the paf-con	N	00:15:59.607
129	i 'm afraid you and your pants are going to be here for a while may i have your attention please	N	00:16:04.901
130	stop by the fur-bidden treasures in the next half-hour and get an added twenty percent off on all collars nick and sara check out george 's pants	N	00:17:30.415
131	there you go yeah	N	00:17:35.184
132	i 'm catherinewillows do you think george is telling the truth	N	00:18:07.234
133	i 'm with the crime lab sara turns and looks at nick	N	00:18:09.564
134	i guess we 're lucky that blue 's not a more popular color he squirts the syringe at the wall through a hole	N	00:18:25.287
135	hello that 's what blood spatter looks like at room temperature	N	00:18:26.582
136	this is racial profiling now for the good stuff	N	00:18:28.674
137	um we 're going to need samples of your fur changing one variable	N	00:18:32.324
138	we 're also going to need to talk to you without the masks on dropping temperature to 22 degrees	N	00:18:36.794
139	uh-uh that explains how only one drop of blood got on the inside of george 's pants	N	00:18:42.154
140	you have a problem with that quick cgi pov of al gets shot in the freezer and the blood freezes spattering all over the place	N	00:18:44.494
141	you would n't ask a human lady to take her makeup off a single drop of blood spatter falls into george 's pants cuff	N	00:18:46.974
142	if you want to talk to me this is the me you 're going to talk to end of cgi pov	N	00:18:58.709
143	take this chair right here george is not the shooter	N	00:19:15.324
144	do you a have a name miss uh well lone ranger had tonto	N	00:19:21.066
145	my friends call me sexy some doofus has george	N	00:19:22.982
146	oh lucky you tape lifts from your suspect 's clothing loaded with paint chips	N	00:19:24.876
147	now do you want some help with the your helmet what kind	N	00:19:26.552
148	i 'm a lawyer dual layers	N	00:19:28.710
149	i know my rights the bottom one 's burgundy vehicle paint	N	00:19:30.984
150	you ca n't sequester a domestic animal without due cause factory pigment used on 1984 monte carlo	N	00:19:32.874
151	well it 's coming off one way or the other so what 's the top layer	N	00:19:34.777
152	fine fine in an unprecedented move whoever it was painted over the burgundy with	N	00:19:36.491
153	hello sexy nick shakes his head	N	00:19:46.434
154	okay bright blue house paint	N	00:19:48.417
155	happy now doofus	N	00:19:49.491
156	thrilled why would somebody use house paint on a car	N	00:19:50.786
157	let 's start at the top maybe he remodeled the breakfast nook and had some left over	Y	00:19:52.141
158	what 's your human name sir who knows	N	00:19:53.894
159	bud i do n't try to figure out what people do anymore	N	00:19:55.975
160	budsimmons that 's smart	N	00:19:58.834
161	but i 'm no criminal and i do n't have to talk to you people yeah i know	N	00:20:02.344
162	you have a very musky odor bud oil and water	N	00:20:04.174
163	quite stimulating i imagine love to be there when his hood starts to peel	Y	00:20:05.175
164	look we found blue fibers similar to the ones on your costume in the stomach of a dead man okay first things first	N	00:20:13.229
165	bobpitt let 's go find a car	N	00:20:17.437
166	huh mm-hmm	N	00:20:18.551
167	you may know him as rocky raccoon nick finds sara and they take a lovely walk through the hallway as they talk about the case	N	00:20:20.479
168	you think my costume killed rocky hey sara no luck on the car but hodges ran the gunstock adhesive	N	00:20:24.410
169	we think it may have incapacitated him it 's primarily an epoxy posisin with traces of styrene and benzyl peroxide and ground terra-cotta	N	00:20:27.534
170	rocky was skritching me is that supposed to mean something to me	N	00:20:30.374
171	that 's one i have n't heard terra-cotta 's the giveaway	N	00:20:33.055
172	skritching is like grooming it 's a granite glue	N	00:20:35.315
173	it 's friendly scratching granite glue	N	00:20:37.455
174	people who do n't know each other ca n't just nuzzle and trade tummy-rubs but for animals skritching is perfectly normal yeah	N	00:20:43.134
175	well killing is perfectly normal for them too it 's used for adhering joints on big pieces of stone	N	00:20:48.526
176	it does n't make it legal for you house paint on his car granite glue on his gun	Y	00:20:51.361
177	well clearly this kitty costume is where bud felt safe enough to skritch that 's what people do	N	00:21:03.094
178	i wonder if he felt safe enough to explore some of the more aggressive aspects of his animus well i understand the house paint but where do you get granite glue	N	00:21:09.694
179	so if we follow the ipecac and civet oil maybe it 'll lead us to the shooter i already checked	Y	00:21:15.455
180	i do n't see a compartment for a concealed rifle there 's not too many places in clark county that specialize in granite installation so	N	00:21:21.634
181	okay well excellent	N	00:21:53.146
182	i 've heard of some guys getting off in some weird ways but humping an animal suit nick laughs then follows sara off camera frame	N	00:21:56.882
183	well whatever happened to normal sex saranick and samvega interview virgil	Y	00:22:00.974
184	what is normal sex you 're a triple threat robbery kidnapping murder	Y	00:22:03.014
185	uh you think it 's natural for a grown human to only be intimate with a talking animal big and best foods alsesto georgebartell	N	00:22:07.514
186	well freud said that the only unnatural sexual behavior was to have none at all any of this resonate	N	00:22:12.134
187	and after that it 's just a question of opportunity and preference i do n't know no alsesto	Y	00:22:15.494
188	and evidently many prefer the feel of fur to the texture of human skin nick puts photos of the shotgun on the table in front of virgil	Y	00:22:19.674
189	well i like hairy chests but i 'm not about to bop a six-foot weasel virgil is that ur shotgun	Y	00:22:24.334
190	bud is starting to look like a pretty bad cat if uh you look you 'll see a chip in the stock	Y	00:22:30.354
191	trace from his costume we found that in the freezer at the big and best foods	N	00:22:34.174
192	well identical to the trace we found in rocky raccoon 's vomit nick puts a photo of the car on the table	N	00:22:38.006
193	ipecac and civet oil is this your car	Y	00:22:40.502
194	well that 's what you get for eating it was also in your garage	Y	00:22:42.934
195	okay bud i 'm going to get right to it yeah	N	00:25:16.455
196	bobpitt 's semen was found all over your kitty costume i want a lawyer	Y	00:25:19.914
197	you lied to us as they walk virgil out into the hallway georgebartell walks into the police department	Y	00:25:22.207
198	you were doing a little more than grooming hey virgil	Y	00:25:23.822
