	sentence	killer_gold	medion_time
0	hi renee come on nick	N	00:00:12.326
1	hi it 's my last night in sin city	N	00:00:12.978
2	good afternoon mr ribero one more drink man	N	00:00:13.630
3	how 's the golf oh no	N	00:00:14.365
4	fine i just pulled a double and i still have to file my shift report	N	00:00:15.017
5	how are you nick hands the valet his ticket	N	00:00:15.669
6	hi you 'd have never passed up a wild night back at aandm	N	00:00:21.294
7	you look lost well i guess i grew up	N	00:00:22.898
8	okay the stairs are all the way back to the left and the real estate office is at the end of the hall check that out	N	00:00:26.696
9	okay he looks at them as they walk inside	N	00:00:30.008
10	bye they look at him as they walk by	N	00:00:30.986
11	hello they shake hands	N	00:00:31.506
12	oh you must really love your job man	N	00:00:31.527
13	those for me eric turns and round and calls out to the two women who just walked by	N	00:00:31.548
14	hi dominic they turn around as he approaches them	N	00:00:31.885
15	sign here ladies	N	00:00:32.537
16	okay nick chuckles then turns to leave	N	00:00:33.189
17	i 'll tell you though this is going to be worth a lot of money someday the valet brings nick 's car up to the drive	N	00:00:35.397
18	i know elvis thanks man	N	00:00:37.769
19	okay thank you	N	00:00:38.747
20	see you nick is just about to get into the car when he hears a disturbance off in the distance	N	00:00:39.917
21	okay bye-bye get your hands off me	Y	00:00:41.111
22	domino it 's your turn to pick up dinner you do n't own me	Y	00:00:42.914
23	okay jake-o nobody does	N	00:00:44.845
24	listen uh this goes to cooley real estate you 're not going anywhere	N	00:00:46.297
25	that 's on two all right you got that	N	00:00:47.749
26	and the fed ex is running a little bit late on the pickup nick looks up and sees kristyhopkins arguing with a man who has his hand grasping her upper arm	Y	00:00:49.777
27	i 'll be back in hmm about ten minutes all right come on	N	00:00:51.807
28	you got it relax a little bit	N	00:00:53.263
29	all right buddy settle down	N	00:00:54.994
30	oh these fire guys really know how to trash a crime scene jack tries to shush her	Y	00:01:33.397
31	that 's what they do i know him	N	00:01:36.814
32	put wet stuff on the red stuff he 's a cop	N	00:01:40.135
33	we 're all clear to go in but here 's what we got nobody tells me to do anything	Y	00:01:41.624
34	couple of head wounds hey we going to have a problem	N	00:01:42.288
35	elderly guy had his arm torn off no officer we 're not going to have a problem	Y	00:01:43.585
36	the only fatality so far is jakerichards a security guard see you around baby	N	00:01:45.607
37	body 's still inside he kisses her on the neck then lets her go	Y	00:01:48.184
38	how big you think this bomb was nick looks at her and notices	N	00:01:58.857
39	it 's not the size of the bomb you okay	N	00:02:00.759
40	it 's the overpressure in the air around it yeah	N	00:02:02.437
41	the van gogh effect i suppose you need a ride	N	00:02:20.697
42	in stereo do you mind	N	00:02:22.737
43	both ears gone no	N	00:02:24.795
44	a perfectly symmetrical amputation come on	N	00:02:27.016
45	means he was looking directly at the bomb when it went off thanks	N	00:02:29.292
46	so either it drew his attention or it was contained in something that seemed benign nick and kristy sit in his car parked in her driveway	N	00:02:32.897
47	smell the sulfur not every john is like that guy	Y	00:02:38.075
48	uh-huh besides i 'm making a change	N	00:02:40.137
49	translation yes i 'm going back to school	N	00:02:43.449
50	got your lighter jim he looks at her and nods	N	00:02:44.427
51	sure yeah	N	00:02:45.978
52	light this i 'm good with people	N	00:02:52.259
53	gunpowder you think so	N	00:02:56.416
54	well we know the propellant yeah	N	00:02:58.737
55	so would you care to make a preliminary call on this yeah	N	00:03:00.835
56	i 'd love to well i 'm going to go inside now	N	00:03:02.516
57	seat of the bomb is here i do n't think that 'd be a good idea	N	00:03:06.395
58	victim was thrown three meters come on	N	00:03:11.328
59	his clothes are torn but not burnt indicating a low-velocity propellant 6,000- 7,000 feet per second just cause you 're a crime scene analyst you do n't have to analyze everything	N	00:03:15.745
60	who she laughs	Y	00:03:18.536
61	why he laughs	N	00:03:19.532
62	will he do it again nick is driving and talking on his cell phone	Y	00:03:21.894
63	time will tell you in the shower	N	00:03:24.373
64	the dirty little secret of bombs is how easy they are to make and use so i thought since you 're between careers you might want to grab a late	N	00:04:05.436
65	our murder weapon 's here someplace in a thousand pieces breakfast	N	00:04:09.318
66	we have to find it and put it back together again officer arvington sees him	N	00:04:12.296
67	where do we start hey nick what 's up	N	00:04:14.388
68	if it 's not growing pick it up not a lot	N	00:04:15.406
69	we cart everything we find back to the lab what 's what 's going on	N	00:04:17.137
70	and then what it 's a 419	N	00:04:19.236
71	stay curious dead prostitute	N	00:04:21.296
72	can you fill in the blanks day shift 's got it covered	N	00:04:24.407
73	bombs explode you all right	N	00:04:26.102
74	weird thing is their components survive the explosion nick looks over and sees ecklie talking with the lead detective and they 're both walking down the driveway	N	00:04:28.409
75	if we can piece together this bomb we 're closer to finding who did this yeah i must 've uh	Y	00:04:31.147
76	so warrick when you 're photographing this debris can you uh i must 've got my wires crossed	N	00:04:34.379
77	uh i know looky-loos i 'll see you	N	00:04:37.218
78	f p i was n't till last night after i broke up her fight with this guy uh jack	Y	00:08:04.434
79	mr grissom yeah and i can tell you what he 's going to find	N	00:08:12.635
80	oh uh hi i ve what were you thinking nicky	N	00:08:19.858
81	i 've um i 've seen you on tv before i was n't	N	00:08:21.178
82	i admire your work quick flashback to that night kristy leans toward nick and kisses him	N	00:08:22.779
83	well thank you we had a connection you know	N	00:08:24.189
84	and your name is a chemistry thing i guess	N	00:08:25.127
85	dominic white flash to nick and kristy are in bed kissing	N	00:08:26.157
86	uh i-c rather than with the i-c-k uh kretzker she was irresistible man	N	00:08:28.317
87	i 'm the uh hansen building security detail end of flashback	N	00:08:31.359
88	did somebody from homicide talk to you yet resume to present	N	00:08:34.096
89	yeah i took off around four	N	00:08:36.789
90	as a matter of fact they said that i was going to be talking to you because well we are you know we 're both in law enforcement and ecklie 's going to be all over this	N	00:08:39.407
91	right catherine knocks lightly on the door and walks into the office	N	00:08:41.498
92	did you know the victim the other security guard hey nick	N	00:08:43.775
93	oh yeah i 'm sorry to hear about your friend	N	00:08:45.977
94	he was one of my best buddies she puts a reassuring hand on his shoulder	N	00:08:47.211
95	as a matter of fact you know two minutes difference it would 've been my face all over the news instead of his right who told you	N	00:08:51.638
96	would you uh like to be on the news it was the day shift coroner	N	00:08:55.388
97	yeah so people know i was with kristy last night	N	00:08:55.409
98	yeah not yet	N	00:08:55.409
99	i mean only if i could help people yes maybe i should just go to ecklie and tell him i was there	N	00:08:56.856
100	no no when you 're a suspect and you 're innocent keep your mouth shut	N	00:09:00.489
101	i know what you 're thinking i 'll talk to ecklie	N	00:09:01.308
102	uh you know my building blows up i 'm over at arby 's sucking down some extra sauce bad idea	N	00:09:03.636
103	you know how could i want to help people right you and ecklie oil and water	N	00:09:06.395
104	well i mean realistically what could you have done just let me get into it	N	00:09:08.514
105	well i know a lot about bombs nick stands up	N	00:09:10.697
106	you know pipe power powder i ca n't just sit here	N	00:09:12.796
107	the three ps of mass destruction okay go for a walk	N	00:09:15.032
108	huh maybe you 'll accidentally bump into your guy jack	Y	00:09:18.356
109	dominic with an i-c not i-c-k	N	00:09:19.408
110	yes sir yeah	N	00:09:20.386
111	would you be interested in helping me in my investigation nick gets it	N	00:09:21.875
112	are you serious i.d	N	00:09:24.715
113	yeah him but do n't approach him	Y	00:09:27.368
114	yes sir nick turns around to look at grissom	N	00:09:28.346
115	i 'd be honored sir okay	N	00:09:29.618
116	oh he shakes his head then leaves the office	N	00:09:31.297
117	but we ca n't tell anybody on the day shift though because they 're going to get real jealous if nick 's arrested	N	00:09:34.338
118	that 's good thinking it 's not going to matter that he 's cleared later	N	00:09:37.475
119	would you excuse me a minute catherine sits down	N	00:09:39.068
120	yes no	N	00:09:40.086
121	keep an eye on that guy she leans back and sighs	N	00:09:45.018
122	oh yes liver temp 's indicating time of death at 0600	N	00:09:48.194
123	well we got a live one out there can i help you catherine	N	00:09:50.519
124	i got a cop baby-sitting him catherine walks into the room	N	00:09:52.897
125	how you doing i just want to see the body david	N	00:09:54.938
126	well are his initials f.p unless i 'm mistaken this is ecklie 's case	N	00:09:57.297
127	no eyes no hands	N	00:09:59.168
128	dominickretzker dr robbins does n't say anything	N	00:10:00.146
129	why catherine turns to look at the body	N	00:10:01.214
130	i found this near the point of origin look at those ligature marks	N	00:10:02.817
131	whoever did this is playing with us she did n't give up easy	Y	00:10:08.497
132	or he wants to get caught struggled and strangled	Y	00:10:10.618
133	all right you cram this thing here with gunpowder all right did you check for fingerprints on the body	N	00:10:57.437
134	then you cap it here and you cap it here not yet	N	00:11:00.234
135	now the grains inside all right they 're going to ignite and cause smoke half-life of fingerprints on flesh they 're disappearing as we speak	N	00:11:04.958
136	lots and lots of smoke now the problem is all that smoke 's here man it 's got nowhere to go catherine i like nick too	N	00:11:10.374
137	okay i know you 're here for him	N	00:11:13.218
138	it starts cooking and then bob 's your uncle boom but what if i lift his prints from her	N	00:11:15.376
139	grissom was right you do know a lot about bombs then that 's what you report	N	00:11:17.816
140	how did you learn so much evidence doc	N	00:11:19.986
141	oh they do n't teach this stuff at universities all we got	N	00:11:21.641
142	no this is all trial and error ecklie leans against the door frame knocking on the door	N	00:11:23.235
143	so what you just uh blow up bombs and study them come on	N	00:11:24.728
144	yeah the hooker was a person	N	00:11:26.184
145	yeah her name was kristyhopkins	N	00:11:26.184
146	margaretfinn public defender i just came from the lab	N	00:11:30.398
147	cease and desist any conversation with my client his prints were all over kristyhopkins house	N	00:11:32.315
148	i 've been assigned to you let 's see wine glass oh bedside table	N	00:11:34.338
149	guess the pd was thinking of all the lawsuits richard jewell brought when he was wrongfully accused catherine nods	N	00:11:37.014
150	someone died in that office building nick walks up to them	N	00:11:40.238
151	ma'am you seem like a very nice person but these people they 've been very very good to me how 's it going cath	N	00:11:43.734
