	sentence	killer_gold	medion_time
0	that club was hot we got a call about ten minutes ago a shooting at vegas grounds coffee shop eighth and main multiple fatalities	N	00:00:13.298
1	we 're just warming up my girl we want this one	N	00:00:15.254
2	wait wait wait keep me in the loop	N	00:00:18.770
3	i do n't think this is the right way keep the media out of it	N	00:00:19.592
4	it 's a shortcut right	N	00:00:20.415
5	a shortcut to where grissom turns to let them leave	N	00:00:21.716
6	stop catherine and nick walks up the sidewalk to the coffee shop	N	00:00:25.145
7	stop the car one person dead it 's a shame more than one 's a party	N	00:00:25.835
8	it was just a pothole get ready to pull a double	N	00:00:26.525
9	i think you hit someone they walk into the crime scene and look around	N	00:00:29.675
10	blonde behind the wheel brass walks up to them	N	00:00:41.137
11	girlfriend in the passenger seat called it in vehicular manslaughter welcome to the caffeine wars	N	00:00:47.215
12	taillight one in the back room	N	00:00:53.578
13	yeah guy was n't light with the ammo	Y	00:00:55.459
14	you been drinking warrick catherine walks up to one of the bodies and recognizes him	N	00:01:00.410
15	no hey i know this guy	N	00:01:01.153
16	i 'm having a block party i bet you do	N	00:01:01.896
17	i marked it where i found it over on the sidewalk over there who does n't know frankieflynn	N	00:01:19.936
18	two distinct tire treads one wide one narrow who 's the muscle	N	00:01:37.195
19	given the extensive bruising from the wide tread mark victim was killed by a larger vehicle this is alrobson frankieflynn 's bodyguard	N	00:01:40.719
20	not that compact cash taken	N	00:01:44.996
21	hey o'riley i would n't book those suspects just yet or the coffee	N	00:01:47.198
22	i think they ran over a corpse nick and catherine both head for the back of the counter	N	00:01:49.898
23	printed your hit-and-run brass looks around	N	00:02:54.038
24	afis found a match brianclemonds 22 born in vegas and he 's deaf maybe	N	00:02:57.837
25	you can tell he 's deaf by his fingerprints frankie drives a bulletproof car	N	00:03:01.154
26	actually yes he was printed as part of a state aid program in 81 what does that tell you	N	00:03:03.758
27	to confirm i examined his ear canal catherine sees the dead girl behind the counter and closes her eyes for a moment	N	00:03:06.854
28	normally the malleus is shaped like a hammer a long smooth handle connecting to a blunt head but brian 's malleus is knotted both of them birth defect she 's probably still in high school	N	00:03:13.395
29	there 's a college for the deaf about a mile from where we found him nick groans at the sight	N	00:03:20.778
30	so brian takes a walk crosses the street does n't hear the car gets creamed catherine closes her eyes	N	00:03:24.634
31	the vehicle probably a truck or an suv based on the width of the tire tread takes off nick walks past catherine to check on the body	N	00:03:28.398
32	later along comes a compact thump runs over his dead body bless her heart	N	00:03:33.333
33	maybe maybe not he kneels down	N	00:03:37.159
34	see the dried blood on his knuckles assuming flynn was the target and it was a hit the shooter followed flynn	Y	00:03:39.578
35	no associated wounding quick flashback to [_shooter_'s_pov_] of frankieflynn and alrobson as they walk into the coffee shop	N	00:03:41.408
36	blood 's probably not his in the front door shot the muscle first	N	00:03:42.864
37	you know what that means smackdown the kid was in a fight the shooter raises his gun and points at alrobson first	Y	00:03:45.238
38	that ended in murder robson reaches for his gun but the shooter fires	N	00:03:47.618
39	did you send a sample of his blood to dna robson goes down	N	00:03:49.097
40	when you find the suspect you 'll nail him with his own body fluid then flynn	Y	00:03:51.335
41	has his family been notified the shooter turns and fires at flynn	Y	00:03:53.835
42	not yet cut to the boy with the ear phones on senses someone approach him from behind	N	00:03:55.516
43	and some poor kid minding his own business grissom rings the door bell	N	00:06:04.598
44	the girls were last yes	N	00:06:08.699
45	four dead crime lab	N	00:06:13.295
46	one is still alive may i come in for a minute	N	00:06:17.936
47	make that five grissom steps inside and looks around	N	00:06:23.306
48	guy died on the way to the hospital he notices the bell near the floorboards	N	00:06:24.882
49	that bell is connected to the doorbell davidphillips assists while dr robbins goes over the bodies with catheirne	N	00:06:55.334
50	the bell sets off vibrations which reverberate on the floorboards so that he knows someone 's at the door it 's been a hell of a night	N	00:06:58.938
51	yes first the deaf kid now a hit	N	00:07:02.578
52	mrs clemonds i 'm here about your son brian it 's going to take a while to process all the bodies	N	00:07:06.676
53	there 's no easy way to say this what do you know about flynn	N	00:07:12.477
54	oh god please no frankieflynn 38 gunshot wounds to the head and the abdomen	N	00:07:16.755
55	brian was killed tonight any bullets recovered	N	00:07:22.377
56	no no no only one out of the head nine-millimeter 357	N	00:07:24.417
57	this is my fault ballistics deals with the pins	N	00:07:26.259
58	no shooter could have saved himself a lot of trouble if he 'd waited a month or two	Y	00:07:30.475
59	no it 's not why	N	00:07:35.516
60	when i was pregnant i had the german measles and the virus took away his hearing invasive colon cancer	N	00:07:40.895
61	it 's my fault on his way out	N	00:07:45.377
62	no mrs clemonds we think he might have been murdered guess he got off easy	N	00:07:48.218
63	murdered hmmm	N	00:07:50.098
64	would you like to talk to a family services counselor catherine turns to the next body	N	00:07:54.934
65	talking is overrated mr grissom i.d	N	00:07:59.075
66	just find out who did this to my boy	N	00:08:03.495
67	please erinmccarty 20	N	00:08:06.473
68	just keeps getting better sara and warrick try to talk with dr gilbert with the use of an interpreter	N	00:08:48.034
69	someone notify the husband neither sara nor warrick have much experience in this area and do n't fare very well	N	00:08:51.176
70	cop said she 's single she lives at home with her mother dr gilbert	N	00:08:52.410
71	how far along was she sara turns around to look at the interpreter who stands behind them	N	00:08:55.014
72	about six weeks we need your help	N	00:08:57.577
73	she knew brianclemonds was murdered	N	00:08:58.731
74	another nine-millimeter just like our casings sara misinterprets the motion and then continues her questioning but she 's again looking at the interpreter	N	00:09:17.975
75	yeah we understand you do n't want a homicide investigation upsetting your students	N	00:09:20.377
76	nine bullets all the same caliber i 'm severely deaf and i can communicate fine	N	00:09:22.418
77	looks like robson never got a shot off i 'd appreciate it if you 'd look at me when you speak to me	N	00:09:24.714
78	i would n't want him as my bodyguard i wear a hearing aid and i can read lips	N	00:09:27.176
79	need help with the measurements i 'm sorry	N	00:09:29.007
80	sure i did n't mean to offend you	N	00:09:30.224
81	captain i got the manager outside we live together we study together we eat together	Y	00:09:32.176
82	okay dr gilbert we 're just following protocol	N	00:09:34.497
83	that 's the guy right there we need to speak with brian 's friends his roommates	Y	00:09:36.537
84	this one we 'll also need access to his records	Y	00:09:37.926
85	yep the crime did n't happen here it happened out there	N	00:09:38.578
86	that 's the one i 'm not accusing anybody of anything	Y	00:09:39.230
87	i 'm detective brass but we 're here now and evidence is time-sensitive	N	00:09:41.175
88	catherinewillows how can you solve a crime without understanding the victim	N	00:09:43.888
89	nickstokes from the crime lab frustrated dr gilbert signs to the interpreter	N	00:09:46.066
90	bradkendall sara turns to look back at halley	Y	00:09:47.729
91	i heard it on the news um she 's kicking us out	Y	00:09:48.707
92	they 're saying it was some kind of a hit warrick and sara both leave the office	N	00:09:50.027
93	where are erin and alice halley looks at dr gilbert and apologizes to her	N	00:09:51.523
94	they did n't make it sara and warrick drive in to the parking lot and park the car	N	00:09:54.938
95	did you call their parents hey	N	00:10:01.154
96	once the coroner makes a positive i.d how 'd it go at the college	N	00:10:03.297
97	their families will be notified they 're not cooperating	N	00:10:05.095
98	shooting occurred around closing time yeah we did n't have a warrant so she kicked us out	N	00:10:07.337
99	is it customary for your employees to close up what did you do	Y	00:10:11.034
100	erin locked up twice a week 10:00 on the nose what did we do	N	00:10:15.055
101	she was training alice moving on at the end of the month we met with the president asked a few questions	N	00:10:19.176
102	i ca n't believe they 're gone she was kind of hostile	Y	00:10:21.698
103	like it 's our fault we can hear brass holds up the lasvegas chronicle with the headline it 's a hit frankieflynn murdered	N	00:12:28.183
104	all right guess who used to sign bradkendall 's paychecks six years ago	Y	00:12:29.516
105	let 's go frankieflynn	N	00:12:30.472
106	dr gilbert hey brad thanks for coming in we just got a few more questions	Y	00:12:39.667
107	i 'm gilgrissom with the crime lab catherine sits down	N	00:12:41.163
108	you kicked my people out of your office the door closes behind him	Y	00:12:42.768
109	well i 'm kicking you out too sure	N	00:12:44.304
110	look your student is dead at the orpheus	N	00:12:50.678
111	do n't you want to know who 's responsible i was a waiter in the coffee shop	Y	00:12:54.816
112	i do he came in all the time	N	00:12:58.196
113	your people ca n't solve this crime sit down	N	00:13:00.058
114	why bradkendall sits down	Y	00:13:00.839
115	cause they do n't understand the victim did you see him outside the coffee shop	Y	00:13:02.357
116	help them understand once in a while	N	00:13:04.696
117	when a deaf person meets a hearing person the hearing person so much as says i 'm normal you 're not he owned the place	N	00:13:08.857
118	is that what you think i 'm saying he was everywhere	N	00:13:13.174
119	a student is dead why do n't you tell us about your ccw permit	Y	00:13:16.994
120	maybe you feel responsible i made cash deposits	Y	00:13:19.217
121	maybe you 're angry i carry a concealed weapon	Y	00:13:22.315
122	but do n't be angry with us what kind	N	00:13:24.479
123	we want to help you glock nine millimeter	N	00:13:27.678
124	if i agree to cooperate you will include me in your investigation we 'll need to see the weapon and any spare ammo	N	00:13:31.499
125	yes i will yeah of course i 'll bring it in	Y	00:13:35.477
126	i welcome your involvement catherine turns the corner and walks into the lab where nick is already there looking through a scope	N	00:13:38.674
127	now may i see brianclemonds file talk to me	N	00:13:40.978
128	please good news bad news	N	00:13:42.653
129	i did nothing wrong catherine looks over at bobbydawson standing inside the lab	N	00:13:46.759
130	brian filed six complaints against his roommate paularrington bobby	N	00:13:50.036
131	paul lost his hearing less than a year ago a tumor striations do n't match	N	00:13:52.708
132	he has n't adjusted bobby points the monitor	N	00:13:54.124
133	he 's angry the gun that killed those five people at the coffee house is n't your store manager s	Y	00:13:55.897
134	and he took it out on brian the good news is all of the nine millimeter bullets fired at the scene from the same gun	N	00:13:57.497
135	assaulted him quick cgi pov camera moves down and inside the barrel of a gun	N	00:13:58.572
136	brian requested a new roommate the gun fires and the bullet exits the barrel	N	00:14:01.567
137	request denied end of cgi pov	N	00:14:03.262
138	there were no other available beds resume to present	N	00:14:05.354
139	i want to speak to paul you 're looking for only one guy	N	00:14:07.817
140	he does n't read lips or sign well what about the breach-face marks on the casings	N	00:14:10.115
141	you do n't need to hear or speak to communicate indeterminate	N	00:14:13.014
142	or commit murder hmm	N	00:14:16.716
143	so you going to tell us how you learned to sign i got a ton of people out interviewing every two-bit stiff that ever had a beef against flynn	N	00:14:24.998
144	no they 're all doing the smart thing keeping their mouth shut	N	00:14:27.435
145	well the president of the college is a real whack job yeah why	N	00:14:30.798
146	sara you see deafness as a pathology you know something i do n't know	N	00:14:33.458
147	for dr gilbert her deafness is not her handicap it 's her way of life not yet	N	00:14:36.635
