	sentence	killer_gold	medion_time
0	i need one volunteer from the audience catherine and nick continue to walk to the bus	Y	00:00:18.124
1	here he does not look too happy	N	00:00:19.517
2	here well he just lost a lead singer	N	00:00:19.517
3	you catherine enters the bus first her flashlight held out so she can see inside	N	00:00:26.057
4	in the blue dress nick walks in behind her	N	00:00:27.531
5	step into the box heroin if this was an overdose why leave some in the syringe	N	00:00:50.639
6	hands by your sides nick looks down at the floor around the bed	N	00:00:53.199
7	do n't move no vomit around either	N	00:01:38.889
8	and ladies and gentleman i assure you she 's quite all right catherine stands up and notices an empty br black rush irish whiskey bottle next to the bed	Y	00:01:40.477
9	in fact she 's spotlight please she picks it up	N	00:01:42.312
10	i do n't know where she is you really should n't be in here sir	N	00:01:59.874
11	ladies and gentlemen you know this is a tragedy for all of us and his family	Y	00:02:01.895
12	i ca n't quite explain i just do n't want the press to see him like this	Y	00:02:08.735
13	welcome to the house of illusion it 's an o.d right	N	00:02:19.214
14	this is bizarre he killed himself	N	00:02:21.674
15	you 're not going to believe this then you knew he was a drug user	N	00:02:24.554
16	female volunteer goes on the stage disappears and does n't come back well he was a drug user	N	00:02:27.344
17	was she supposed to reappear i mean he 's been clean for a long time	N	00:02:30.275
18	the amazing zephyr wo n't say a health freak actually	Y	00:02:33.115
19	you know magicians they never reveal their tricks but we 're working on him camera holds on catherine	Y	00:02:37.354
20	well i can understand why he does n't want to reveal his trick but would he like to explain this blood you 're kidding me	Y	00:02:49.874
21	i got a bunch of police officers uh canvassing the theater right now no heroin in his system	N	00:03:28.834
22	no sign yet but we have traced the woman back to her aisle seat 8a lots of bourbon but no heroin at all	N	00:03:31.197
23	paid cash so what killed him	N	00:03:33.591
24	magic is fun jim but it 's not real embolism to the heart	N	00:03:36.454
25	the woman is somewhere air bubble	N	00:03:39.014
26	thanks for that i withdrew air from his right ventricle and air can be deadlier the heroin	N	00:03:40.277
27	thanks flash to white	N	00:03:40.832
28	excuse me the camera view travels through the bloodstream among a whir of red blood cells	N	00:03:41.436
29	yeah it travels through the vein into the right ventricle to prevent blood from entering or leaving the chamber which eventually leads to heart failure	N	00:03:41.912
30	um hi are we finished here and out directly through to the heart where the camera slows to regular motion	N	00:03:42.757
31	no shock	N	00:03:43.792
32	you were sitting in front of the volunteer is that right suffocation	N	00:03:45.495
33	mm-hmm and for a moment we watch the heart beat	N	00:03:47.031
34	you take any photos during the show white flash to end of cgi pov	N	00:03:47.734
35	uh resume to present	N	00:03:48.437
36	we 're going to need your camera explains why he did n't throw up	N	00:03:49.574
37	but our whole trip 's on there and why his pupils were n't pinpointed	N	00:03:51.047
38	we 'll get the negatives back to you they would have been bilaterally small after an overdose	N	00:03:52.422
39	michael there was heroin still in the needle	N	00:03:53.896
40	thanks for your help why did n't it make it into his system	N	00:03:55.292
41	dull as a spoon robbins stops her	N	00:04:00.615
42	from a distance it looks razor-sharp catherine wait	N	00:04:02.296
43	that 's the point that black mark	N	00:04:03.612
44	so is it real blood robbins lifts up the deceased 's right hand and shows catherine the index finger	N	00:04:04.994
45	well let 's see oh right on his index finger	N	00:04:06.414
46	that 's real blood all right standard black printing ink	N	00:04:12.615
