	sentence	killer_gold	medion_time
0	hey len	N	00:00:25.922
1	thanks	N	00:00:31.983
2	hi	N	00:00:34.784
3	thanks	N	00:00:43.224
4	some night huh	N	00:01:13.644
5	it 's ugly out there	N	00:01:18.317
6	we have two types of patients here the criminally insane and sexually violent predators all with multiple convictions	N	00:02:07.106
7	we get all the inmates the prisons ca n't handle	N	00:02:12.463
8	keep your kits closed and locked when not in use	N	00:02:15.367
9	um ms sidle best if you remove the vest	N	00:02:18.004
10	new uniforms upset them	N	00:02:20.399
11	we 're mostly concerned with maintaining psychiatric remission	N	00:02:30.645
12	we want to stabilize symptoms and reduce an individual 's risk of violence to himself and to others	N	00:02:36.424
13	oh uh could you actually stop here and put your backs against the wall please	N	00:02:41.083
14	it 's uh standard safety procedure	N	00:02:44.464
15	put your tongue in your mouth jake	N	00:02:57.482
16	we 're moving them all to the day room	N	00:03:00.198
17	this is not good	N	00:03:03.306
18	the hospital does n't need this	N	00:03:04.705
19	this is captain brass	N	00:03:06.704
20	dr grissom and ms sidle are from the crime lab	N	00:03:08.980
21	lt reedowens desert state hospital police	N	00:03:11.066
22	we have our own internal police team and lieutenant owens was the first officer on the scene after the call came in	N	00:03:14.646
23	the victim was found by nurse faber at approximately 12:10 a.m	N	00:03:19.221
24	joanne was coming off shift i was coming on	Y	00:03:22.862
25	doing bed checks i found robbie on the floor	N	00:03:25.756
26	kenny was in the corner covered in blood	N	00:03:27.815
27	are the patients locked in their rooms at night	N	00:03:29.752
28	no	N	00:03:31.242
29	the doors are left unlocked	N	00:03:32.732
30	so they 're free to roam around	N	00:03:34.682
31	locked rooms usually lead to patients trying to harm themselves	N	00:03:37.701
32	where 's kenny now	N	00:03:40.315
33	he 's been taken to seclusion	N	00:03:41.572
34	shh-shh-shh	N	00:03:43.442
35	leon let 's get a couple more milligrams of lorazepam into him	N	00:03:51.244
36	how did he get those wounds	N	00:03:55.686
37	oh kenny 's a self-mutilator	N	00:03:57.125
38	he suffers from renfield 's syndrome gets off on blood	N	00:04:00.305
39	shh	N	00:04:02.726
40	couple of weeks ago i caught him gouging himself with a carpet staple	N	00:04:04.883
41	he was wearing these clothes when you found him	N	00:04:08.503
42	yes	N	00:04:11.742
43	there was blood spatter all over the victim 's room	N	00:04:18.646
44	blood but no spatter on kenny 's clothes	N	00:04:21.344
45	i 'm not sure this is our guy	N	00:04:23.927
46	locked unit	N	00:04:26.135
47	finite number of suspects	N	00:04:27.671
48	crazy or not here we come	N	00:04:31.703
49	who 's this guy knitting an imaginary sweater	N	00:05:19.884
50	how 's he know when it 's finished	N	00:05:22.199
51	his brain tells him that what he 's doing is real	N	00:05:24.394
52	he has no reason to doubt it	N	00:05:26.129
53	or any desire to	N	00:05:28.225
54	they asked john nash how he could believe that extraterrestrials were sending him messages	N	00:05:31.403
55	he said that the messages came to him in the same way that his mathematical ideas did	N	00:05:35.882
56	so he had to take them seriously	N	00:05:39.601
57	hey	N	00:05:41.399
58	valeriedino	N	00:05:42.263
59	i 'm the on-call doctor	N	00:05:43.128
60	did you pronounce	N	00:05:44.344
61	yeah	N	00:05:45.578
62	the administration asked me to set up some rooms for your interviews but uh personally i do n't see what you hope to accomplish	N	00:05:48.682
63	these patients are criminals with severe mental disorders	N	00:05:52.885
64	they 're not going to give you a straight answer	N	00:05:55.495
65	no one ever does	N	00:05:56.951
66	i definitely heard something	N	00:06:57.282
67	he said i 'll get in	N	00:06:59.983
68	no no it was i 'm coming in i heard him say it	N	00:07:03.356
69	and it 's not like he is n't serious	N	00:07:05.654
70	who is n't serious	N	00:07:12.461
71	the uh perpetrator	N	00:07:16.320
72	can you tell me anything else about him	N	00:07:19.276
73	oh no i could n't	N	00:07:21.256
74	why not	N	00:07:23.146
75	he 's here	N	00:07:30.322
76	in this room	N	00:07:32.318
77	is his name ronald	N	00:07:33.499
78	no	N	00:07:34.803
79	my name is ronald	N	00:07:36.107
80	what 's his name	N	00:07:37.845
81	he does n't have a name	N	00:07:39.683
82	he 's a cricket	N	00:07:42.303
83	here	N	00:07:43.965
84	a cricket	N	00:07:44.675
85	yes	N	00:07:46.011
86	trying to burrow a hole in my head	N	00:07:48.206
87	i do n't sleep	N	00:07:56.585
88	never	N	00:08:00.442
89	so what do you do at night	N	00:08:04.424
90	day night it do n't make no difference	N	00:08:06.665
91	i think	N	00:08:08.463
92	about what	N	00:08:13.161
93	bitches	N	00:08:15.505
94	what 's so amusing	N	00:08:57.642
95	so let 's say you find out who did it and maybe it 's me	N	00:09:00.485
96	what are you going to do	N	00:09:05.322
97	are you going to convict me of murder and put me in a bad place	N	00:09:08.483
98	is it you	N	00:09:12.126
99	check the files sir	N	00:09:14.506
100	i 'm a rapist not a murderer	N	00:09:15.985
101	robertgarson	N	00:09:23.504
102	hmm	N	00:09:26.843
103	do you know what happened to robertgarson	N	00:09:33.381
104	female pig relation hanged it sped even well too	N	00:09:36.783
105	what	N	00:09:42.181
106	no	N	00:09:45.763
107	i ground it blindly	N	00:09:48.445
108	wet and dirty	N	00:09:52.015
109	cut the blood oven	N	00:09:53.471
110	it spoke justly repeatedly calmly	N	00:09:55.863
111	some thin rod dared your wash	N	00:09:59.504
112	they foretold this into some ready child which fell crossly	N	00:10:03.783
113	they hag-rode me again	N	00:10:08.325
