	sentence	killer_gold	medion_time
0	i do n't think i can get a clear shot hmm	N	00:00:40.854
1	it 's a peregrine falcon gingiva and lips	N	00:00:43.694
2	no it 's not okay	N	00:00:44.987
3	it 's a hawk david open him up	N	00:00:45.842
4	you ca n't see anything this time of day david takes the knife and makes the first cut	N	00:00:47.126
5	we should come back at dawn he sees blood and stops	N	00:00:48.661
6	but i 'm so behind on my life list uh d-dr robbins	N	00:00:50.295
7	i still do n't have a western wood-pewee or a solitary sandpiper hmm	N	00:00:52.654
8	what do you think they 're going to kick you out of the club sir i-i have blood	N	00:00:55.135
9	john saw a dickcissel earlier today i have bleeding	N	00:00:56.856
10	it could be gone tomorrow robbins turns around and heads back to the table	N	00:00:58.332
11	john 's full of he grabs a cloth to stop the bleeding	N	00:00:59.794
12	corvus corax come on	N	00:01:02.854
13	a common raven david turns and gets the kit and puts it near the head of the table	N	00:01:05.457
14	so what hold this	N	00:01:06.472
15	well someone 's missing a contact lens end of cgi	N	00:01:23.594
16	that 's not all they 're missing robbins puts the syringe on the side and checks his vitals	N	00:01:26.694
17	you know ravens like eagles have been known to travel 30 miles from roost to feeding ground pulse is rising	N	00:01:30.135
18	30 miles in every direction david string me a suture needle	N	00:01:34.574
19	pi-r-squared he waves him aside	N	00:01:38.164
20	that means that we 're looking at a 2,800 mile search area go	N	00:01:41.294
21	once upon a midnight dreary while i pondered weak and weary over many a quaint and curious volume of forgotten lore go	N	00:01:48.254
22	we 're up a tree and you 're quoting poe heard you got to be superhero today	N	00:01:52.774
23	give me something i consider myself a superhero every day	N	00:01:54.609
24	quoth the raven only this and nothing more grissom and warrick walk through the car lot to the building	N	00:01:59.389
25	you 'll be pleased to know the eyeball was only slightly desiccated he hands him a business card	Y	00:03:45.174
26	and what about the iris call me for anything	Y	00:03:47.895
27	still blue martygibson does n't close a sale he opens a relationship	Y	00:03:49.594
28	color distinction means the body 's been dead less than 48 hours yeah i sent some vitreous fluid to tox martygibson leads the customer past grissom and warrick	Y	00:03:51.994
29	the rest to dna that guy 's a charmer	Y	00:03:55.734
30	so can you get me an eye for an eye yeah real ricky roma	N	00:03:59.014
31	well i 've got foil a leaf a feather and plastic a dog yips in the background	N	00:04:02.294
32	feathers may i help you gentlemen	N	00:04:05.134
33	for warmth i 'm warrickbrown this is gilgrissom	N	00:04:13.134
34	seagull feathers we 're from the lasvegas crime lab	N	00:04:14.754
35	well the only place we 'd have seagulls around here would be lake mead oh	N	00:04:18.354
36	but only when the fishing 's good nancilinden	N	00:04:21.094
37	and we got some ground limestone it 's a pleasure to meet you	N	00:04:24.134
38	not found at lake mead we have a warrant to search your premises	N	00:04:27.454
39	you know ravens are incredibly intelligent what for	N	00:04:31.960
40	they have a brain capacity comparable to dolphins for evidence concerning the attempted murder of fredstearns	N	00:04:34.674
41	means they know where to shop oh he had a heart attack	N	00:04:37.194
42	we found the eye here no he did n't and he 's not	N	00:04:39.534
43	i bet she shopped here where limestone is used as ground cover nanci stares at them speechless	N	00:04:51.024
44	you know the average nevadan generates more waste more than three times waste than the average american shh	N	00:05:00.814
45	yeah well that 's tourist trash she kicks the bag lightly	N	00:05:03.364
46	thirteen million pounds per day the dog whimpers	N	00:05:05.474
47	i went to the recycling forum in march i 'm sorry	N	00:05:07.934
48	the landfill manager says this is the active cell i 'm not supposed to bring her in here	N	00:05:10.915
49	spotter says cell lift moves forward 20 feet a day nancylinden leads grissom and warrick up the stairs to the offices	N	00:05:13.749
50	that puts the active cell right pretty much in front of us she points the desks out to them	N	00:05:16.774
51	man so this was is fred 's desk	N	00:05:20.577
52	you find the best evidence in the nastiest places nobody 's touched it since they took him away	N	00:05:22.611
53	you are what you throw away it 's bad luck	N	00:05:24.695
54	it 's like peeling an onion into peoples lives middle desk is martygibson	Y	00:05:27.154
55	well this onion is our time line so peel back accordingly the one on the end is clydehinton	N	00:05:31.489
56	the electrolyte and glucose levels in the eye were normal poison could 've come from any of these sources here	N	00:05:41.414
57	means your victim was n't dehydrated or diabetic oral fixation you think	N	00:05:44.515
58	other than that constant need for gratification	N	00:05:47.054
59	we 're flying blind in every way	N	00:05:49.094
60	i think i may have something here warrick stands in front of the whiteboard that has the commission numbers on it	N	00:08:34.884
61	what 've you got it 's not about logic	N	00:08:40.877
62	whoa it 's about that smell	N	00:08:41.911
63	got a leg martygibson steps into the office and holds out his business card	Y	00:08:44.754
64	obviously female how right you are	N	00:08:46.715
65	obviously martygibson	Y	00:08:48.524
66	whew if we need any help we 'll let you know	Y	00:08:52.987
67	i 'll bag it sometimes it 's not about what you need sometimes it 's about what you want	N	00:08:53.761
68	all right grissom finds gum wrappers	N	00:08:56.246
69	i got a torso and head he checks the tips of the pens on the desk	N	00:08:57.701
70	missing an eye he picks up the phone to find that it 's stuck to the base	N	00:08:59.114
71	okay so uh how hot do you think it is underneath all this trash grissom collects the coffee in the mug	N	00:09:03.535
72	i do n't know what do you think ballpark at 120 degrees warrick collects something off of the sleeve	N	00:09:07.335
73	so this is yesterday 's trash grissom tries the drawers	N	00:09:09.924
74	dead body clydehinton leaning over the partition wall throws grissom the keys to the drawer	N	00:09:11.576
75	minimum 18 hours in this heat you always uh lock your drawers	N	00:09:12.652
76	she should be totally bloated grissom finds the glue bottle in the desk	N	00:09:13.946
77	yeah she 's not huh	N	00:09:15.282
78	yeah she 's really torn up clydehinton snickers	N	00:09:16.874
79	bulldozers are vicious clydehinton continues to chuckle	N	00:09:21.434
80	yeah i think they only finished the job warrick cell phone rings	N	00:09:25.494
81	how did she get here warrickbrown	N	00:09:27.384
82	got anything on our lady of the dump you 're the funny guy	N	00:09:40.036
83	c.o.d you know the definition of kismet mr grissom	N	00:09:41.012
84	is still indeterminate do you know the definition of attempted murder mr hinton	N	00:09:42.557
85	blunt force trauma is a possibility just go with me for a second	N	00:09:44.471
86	she has some perimortem bruising around the left eye go with you where	N	00:09:46.636
87	but limb removal is relatively clean come on kismet	N	00:09:48.872
88	definitely postmortem fate or destiny	N	00:09:51.035
89	so we 've got no arms no prints it 's from the arabic word meaning to distribute or divide up	N	00:09:53.054
90	what kind of identifying characteristics do we have smart guy	N	00:09:55.889
91	second degree midline episiotomy scar destiny is what you make of it.it 's what gets distributed to me while the other guy 's washing the stain off his lips	N	00:09:58.894
92	well that narrows it down to more than half the women in this country who gave birth quick flashback to fredstearns swings around in his chair and talks with clyde and marty	Y	00:10:02.055
93	but there might be one other thing well boys just closed another fatty	Y	00:10:04.895
