	sentence	killer_gold	medion_time
0	hey harlan girl 's name is lindadamen 23 apparent suicide	N	00:00:11.574
1	special delivery father stopped by with dinner found her dead called 9-1-1	Y	00:00:20.178
2	fresh shipment in from nebraska no signs of forced entry	N	00:00:21.574
3	great the detective ducks under the crime scene tape	N	00:00:22.971
4	just stack it in the freezer will you sara and warrick follow	N	00:00:24.537
5	i got to open up they all head up the stairs to lindadamen 's apartment	N	00:00:26.092
6	all right you got it boss nope	N	00:00:27.714
7	ever wonder what 's in that hot dog they enter the apartment	N	00:00:56.054
8	human body in a meat grinder inside the apartment hankpeddigrew is putting his things away	N	00:00:59.135
9	shop foreman found an arm hey	N	00:01:01.486
10	the rest of him is prime grade a sirloin hank looks up	N	00:01:03.662
11	body in a meat grinder you guys are fast	N	00:01:06.976
12	sounds kind of mob-ish except they left town in the 80s you pronounce	N	00:01:09.332
13	the last guy to operate the meat grinder is this guy over here looks like she bled out	N	00:01:12.164
14	mannysaldano age 37 her left wrist is transected	N	00:01:14.587
15	worked for meteor for eleven years it 's atypical for a female	N	00:01:16.081
16	shop foreman vouches for him women usually commit suicide in the tub	N	00:01:17.755
17	says he inspected all three of his machines before he clocked him out it 's easier cleanup for whoever 's left behind	N	00:01:20.569
18	well we 're going to need to process him yeah	N	00:01:23.217
19	sure sara looks down at the bed and sees something	N	00:01:24.531
20	check out the smorgasbord she lifts the sheet away to reveal a straight-edged razor	N	00:01:27.755
21	go ahead warrick	N	00:01:29.815
22	mike was dating a brodyjones	N	00:01:35.996
23	good god warrick looks at the streak of blood across the bed covering	N	00:01:39.914
24	looks like the elbow got stuck in the blade did someone move her	N	00:01:42.934
25	yup the ulna i checked for vitals	N	00:01:48.256
26	one of the strongest bones in the body you sure with all your life-saving efforts you did n't move her	N	00:01:50.052
27	probably what jammed this grinder hey man like i said i checked for vitals	N	00:01:51.834
28	possibly why whoever did this did n't finish the job it 's okay babe	N	00:01:54.174
29	it 's like that morrissey album meat is murder sara turns her back to the men and shakes her head slightly at herself	N	00:02:02.569
30	i 'm going to need a hand well someone moved her	N	00:02:07.194
31	the last remains of johndoe sara turns on her flashlight and checks out the closet	N	00:02:46.647
32	we 're going to need sifters she lets out a deep breath	N	00:02:48.341
33	blood 's everywhere hank walks up to sara	N	00:02:50.374
34	phenolphthalein and luminol are useless i 'm going to hit the road	N	00:02:52.614
35	we 're going to have to dismantle this piece by piece i 'm sorry	N	00:02:56.614
36	yeah hank leaves	N	00:02:58.657
37	i 'll get a foreman sara examines the clothes in the closet and finds something	N	00:02:59.732
38	i think i can handle this there 's a stain here	N	00:03:01.227
39	you know about meat grinders so cold stains	N	00:03:02.962
40	well everything 's pretty much plumbing is it recent	N	00:03:04.954
41	male into female parts sara checks	N	00:03:07.255
42	righty tighty lefty loosey it 's cool to the touch yeah	N	00:03:09.775
43	grinder plate sara turns to look at warrick	N	00:03:20.454
44	blade camera opens on warrick comparing the shoe print with johndamen 's shoe while janedamen stands near and watches	Y	00:03:26.734
45	the worm thank you	N	00:03:35.015
46	found an ear plug do you have any idea where your daughter 's boyfriend works	Y	00:03:49.994
47	ear wax is ripe with dna uh which one	N	00:03:51.856
48	except all the employees wear them all of them	N	00:03:56.234
49	this one 's different than the ones they use um used to drag linda out keep her up days at a time	N	00:03:58.234
50	whoever wore this brought it with them ran her health down her spirit	N	00:04:02.314
51	we just have to find out whose ear it fits she was getting better though	N	00:04:04.835
52	since i 'm the one who always seems to state the obvious this arm was dead before it was hacked off her eyes follow the gurney as they wheel the body away	N	00:06:01.214
53	what do you make of the uh scar tissue on the palm robbins fills sara in on the findings	N	00:06:07.434
54	occupational hazard maybe camera opens on the blade cut on lindadamen 's left wrist	N	00:06:10.114
55	i see this kind of thing a lot in bricklayers plumbers carpenters the trans-section of the left wrist is consistent with a self-inflicted wound particularly because she 's right-handed	N	00:06:13.295
56	looks like it 's blistered sara leans over and looks at the wound	N	00:06:18.255
57	gradual denaturation of the proteins in the epithelials is n't that uncommon for suicide	N	00:06:21.794
58	resulting in general scarring on the palm or surface people usually stutter-cut a few times	N	00:06:25.735
59	i 'll send this sample to trace trying to work up the courage	N	00:06:30.534
60	tips of the fingers look like they 're worn to the bone resume to present	N	00:06:35.015
61	can you get a partial this woman cut herself with one smooth motion	N	00:06:37.194
62	much more than that is all wrong	N	00:06:41.135
63	lansberry 's ridge builder someone moved her two feet from where she bled out	N	00:06:45.994
64	one application to the bulbs of the fingers and the ridges plump out temporarily like a chia pet on steroids what did the tox screen say	N	00:06:51.794
