	sentence	killer_gold	medion_time
0	help	N	00:01:05.605
1	help me	N	00:01:09.579
2	please somebody help me	N	00:01:10.424
3	somebody help me	N	00:01:12.115
4	victim 's stable	N	00:01:15.267
5	we 're transporting her to desert palms over	N	00:01:17.341
6	nobody knows who she is	N	00:01:19.774
7	the andersons they called the security company	N	00:01:32.595
8	they thought somebody was trying to break in their back door	N	00:01:35.754
9	southern highlands is a new development	N	00:01:38.284
10	there 's really not much around here	N	00:01:40.134
11	some of my guys are talking to everybody trying to find out what 's going on	N	00:01:43.034
12	she has severe lacerations on her feet	N	00:01:46.295
13	she was running hard from somewhere	N	00:01:48.830
14	no skid marks no signs of another vehicle	N	00:04:38.024
15	the engine 's running no flat tires	N	00:04:42.254
16	why 'd she stop	N	00:04:45.324
17	i 'm going to take the sae kit to greg	N	00:05:09.995
18	you do n't want to take the statement	N	00:05:36.854
19	do you mind	N	00:05:38.714
20	no	N	00:05:40.209
21	she 's ready	N	00:05:44.566
22	thanks	N	00:05:45.541
23	linleyparker i 'm catherinewillows	N	00:05:54.394
24	i 'm with the lasvegas crime lab	N	00:05:57.435
25	i know that you 've been through a horrific ordeal	N	00:06:00.234
26	4-4-6	N	00:06:04.009
27	that 's all i got	N	00:06:07.535
28	nevada plates	N	00:06:09.374
29	some kind of suv	N	00:06:11.186
30	black i think	N	00:06:12.762
31	can you start from the beginning	N	00:06:16.295
32	i was um driving home from work	N	00:06:21.599
33	there 's hardly any traffic once you cross horizon ranch	N	00:06:26.277
34	he was tailgating	Y	00:06:29.471
35	i slowed down to let him pass	Y	00:06:33.735
36	and he hit me	Y	00:06:36.245
37	i was n't going to stop but he did so i	Y	00:06:41.120
38	pulled over	N	00:06:46.656
39	you 're not supposed to leave the scene of an accident	N	00:06:48.052
40	he looked like a normal guy	Y	00:06:52.015
41	he asked if i was okay	Y	00:06:55.314
42	apologized	N	00:06:57.466
43	he went to his car to get his insurance information	Y	00:06:58.881
44	i was looking at my bumper	N	00:07:00.634
45	he punched me in the face threw me over his shoulder	Y	00:07:03.955
46	i lost my shoes	N	00:07:09.674
47	he threw me on the ground took off my jacket ripped open my shirt	Y	00:07:14.194
48	he kept trying to kiss me on the mouth and i kept turning away	Y	00:07:18.357
49	so he bit my ear	Y	00:07:21.232
50	he wanted me to look at him	Y	00:07:29.509
51	he was going to kill me	Y	00:07:31.735
52	he ripped off my skirt	Y	00:07:37.235
53	he raped me	Y	00:07:41.494
54	he did n't use a condom	Y	00:07:44.614
55	he got up to zip and i kicked him in the groin and i ran	Y	00:07:46.909
56	and the rest i guess you know	N	00:07:49.295
57	thank you	N	00:07:52.614
58	that was very specific	N	00:07:56.790
59	you said that you looked at him	Y	00:07:59.915
60	could you describe him to a forensic artist	Y	00:08:01.914
